age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
,?,244953.78125, 11th,,?,?,?,?,?,,51.178409576416016,, United-States,?
43.76185607910156,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,193235.6875,?,,?,?,?,?,?,,,,?,?
,?,, Some-college,,?,?,?, White,?,2835.73095703125,,,?, <=50K
, Never-worked,187331.375,?,,?, Adm-clerical,?,?, Female,,,,?,?
,?,,?,,?,?,?,?,?,,,, United-States,?
,?,237653.3125,?,,?, Adm-clerical,?,?,?,,,,?,?
,?,, Prof-school,,?, Prof-specialty,?, White,?,,,39.335289001464844,?, <=50K
,?,,?,,?,?,?, White,?,,,,?,?
,?,,?,,?,?,?, White,?,,67.00020599365234,,?,?
39.80620193481445,?,188956.171875,?,,?,?, Wife,?, Male,,,,?,?
,?,,?,,?,?,?, White,?,,,,?,?
,?,189473.75,?,, Never-married,?,?,?,?,82.960205078125,,, United-States,?
, Local-gov,,?,,?, Adm-clerical,?, White,?,,,37.317684173583984,?,?
61.946434020996094,?,211875.75,?,9.001106262207031,?,?,?,?,?,,17.01348876953125,35.156856536865234, United-States,?
,?,179923.28125,?,,?,?,?,?, Male,,313.7923583984375,,?,?
19.762948989868164,?,,?,,?,?,?, White,?,,,,?,?
,?,181470.9375,?,,?,?,?,?,?,,,38.09475326538086,?, <=50K
,?,181968.75,?,,?,?,?,?,?,,,,?,?
,?,,?,16.052072525024414,?, Craft-repair,?,?,?,,206.9890594482422,,?,?
,?,191496.171875,?,,?,?,?,?,?,2850.966064453125,,,?,?
24.83322525024414,?,, Some-college,,?,?,?, White,?,,65.10464477539062,,?,?
, Private,, Preschool,4.193029403686523,?,?,?,?,?,195.70635986328125,,,?,?
30.332061767578125,?,,?,,?, Sales,?,?, Male,,,,?,?
,?,,?,13.0673828125, Never-married,?, Wife,?, Female,,,,?,?
, Federal-gov,,?,, Married-civ-spouse, Exec-managerial,?, White,?,,,,?,?
,?,,?,, Never-married,?, Own-child,?,?,,,36.2198371887207, United-States,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White,?,,,,?,?
,?,,?,,?, Sales,?,?,?,,,,?, <=50K
,?,,?,,?,?,?, White,?,,-1.5682144165039062,46.51753616333008,?,?
, Federal-gov,138745.9375,?,,?, Farming-fishing,?, White, Female,,,,?,?
,?,,?,,?,?,?,?,?,,,,?,?
,?,,?,, Married-civ-spouse,?,?,?, Male,,67.69469451904297,,?,?
,?,,?,,?,?,?,?, Female,,,41.873897552490234, United-States,?
,?,,?,,?,?,?,?, Male,232.81884765625,,, United-States,?
,?,,?,, Married-civ-spouse,?,?,?,?,,,,?,?
,?,,?,,?,?, Own-child, White, Female,2728.67236328125,,35.542232513427734,?, <=50K
,?,,?,,?,?,?,?,?,,,27.20132827758789,?,?
,?,199665.25, HS-grad,,?,?,?,?,?,,,,?,?
59.42445373535156,?,,?,,?, Prof-specialty,?, White, Male,,,31.37191390991211,?,?
,?,, Assoc-voc,,?,?, Husband,?,?,4873.62451171875,,,?,?
,?,187856.828125, HS-grad,,?,?,?,?,?,14.285400390625,,,?,?
,?,162699.171875,?,,?,?,?, White,?,,59.29576873779297,40.54530715942383,?,?
, Private,,?,10.045540809631348,?,?,?,?,?,,,, United-States, <=50K
39.20687484741211,?,,?,,?,?,?,?, Female,2576.226806640625,,,?,?
39.843597412109375,?,,?,,?,?,?,?,?,,51.64807891845703,,?,?
42.411712646484375,?,196852.8125,?,,?,?,?,?,?,,,,?, <=50K
42.177860260009766,?,,?,6.891679763793945,?,?, Own-child,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White, Female,,,44.897457122802734,?,?
,?,,?,10.034138679504395,?,?,?,?,?,,34.90559768676758,,?,?
, Private,,?,9.00053596496582,?,?,?,?,?,,,40.35857009887695, Mexico, <=50K
, Private,,?,,?,?,?,?,?,,,29.949005126953125,?,?
,?,,?,,?,?, Own-child,?,?,2958.4326171875,,,?,?
38.907325744628906,?,, 9th,,?,?,?,?,?,,,,?,?
, Private,159823.984375,?,,?,?,?, White, Female,,48.30105972290039,, United-States,?
,?,,?,8.985742568969727,?,?,?,?,?,214.4039306640625,,,?,?
42.625919342041016,?,,?,,?,?,?, White,?,,,,?,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,,?,,?, Craft-repair,?,?,?,,52.37134552001953,,?,?
,?,,?,,?,?, Not-in-family,?,?,,,,?,?
,?,,?,10.033668518066406,?, Craft-repair,?,?, Female,,,,?,?
,?,,?,, Never-married, Prof-specialty,?,?,?,,,38.21957015991211, United-States,?
,?,,?,8.985631942749023,?, Other-service,?,?,?,,,36.16126251220703,?,?
,?,,?,8.98484992980957,?, Other-service,?,?,?,,,,?,?
,?,,?,,?,?,?, White,?,,,37.907005310058594,?,?
,?,, Assoc-acdm,,?, Exec-managerial,?, White,?,6809.93798828125,,,?,?
,?,, Some-college,, Never-married, Other-service,?, White, Female,,110.10826110839844,28.378393173217773,?,?
,?,181768.171875,?,,?, Craft-repair, Not-in-family,?,?,,,,?,?
,?,,?,, Never-married, Craft-repair, Not-in-family,?,?,,,, United-States,?
,?,,?,,?,?,?, White,?,3036.915283203125,,,?,?
,?,,?,, Married-civ-spouse,?,?, White,?,,,,?,?
, Private,,?,,?,?,?,?,?,,,,?, <=50K
36.628292083740234,?,,?,, Never-married,?, Own-child, White,?,,258.5008544921875,, United-States, <=50K
,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,, 10th,,?,?,?,?,?,1.5548095703125,,25.362796783447266,?,?
45.197425842285156, Private,,?,,?,?,?, White,?,,62.55120086669922,,?,?
54.8222770690918, Private,,?,8.985091209411621,?,?,?,?,?,,,,?,?
,?,,?,,?,?, Husband,?,?,,100.228515625,,?,?
53.21472930908203,?,,?,, Never-married,?,?,?,?,,,30.593809127807617,?, <=50K
,?,,?,,?,?,?, White,?,,,,?, <=50K
,?,,?,12.971916198730469, Never-married,?,?,?,?,,,,?,?
, Private,,?,,?,?, Not-in-family,?, Female,,,,?,?
, Local-gov,, Preschool,4.32570219039917,?, Craft-repair,?, White,?,3222.1318359375,,,?,?
,?,,?,,?,?,?,?, Male,,73.32636260986328,, United-States,?
, Private,,?,,?,?,?,?,?,,63.114830017089844,,?,?
, Private,,?,6.945312023162842, Never-married,?,?,?,?,,,,?, <=50K
44.14487838745117,?,, HS-grad,,?,?,?,?,?,,,,?, <=50K
34.45195388793945,?,173651.171875, Preschool,4.196627616882324,?,?, Own-child, White,?,,101.58612060546875,,?,?
,?,,?,,?, Prof-specialty,?,?, Female,3248.19189453125,,,?, <=50K
, Private,,?,, Divorced,?,?,?,?,,,, United-States,?
,?,, 7th-8th,,?,?, Not-in-family,?,?,,,,?, <=50K
