dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.7374315374360636,0.737606±0.005148,0.5740519702793128,0.574139±0.003592,,,,,,,,
adult,workclass,cat,,,,,0.7461809635722679,0.746125±0.003532,0.2887137833643954,0.284773±0.020233,0.5517379995436473,0.545946±0.031063,0.28305824107294464,0.275981±0.026335
adult,fnlwgt,num,0.9744565708532886,0.974424±0.011437,0.7173393762925977,0.716901±0.005183,,,,,,,,
adult,education,cat,,,,,1.0,1.000000±0.000000,1.0,1.000000±0.000000,1.0,1.000000±0.000000,1.0,1.000000±0.000000
adult,education.num,num,0.0445905547800874,0.044600±0.000571,0.02898721206746891,0.029001±0.000280,,,,,,,,
adult,marital.status,cat,,,,,0.8433757140224802,0.843399±0.002975,0.41887294632019795,0.418947±0.003543,0.48974578651741235,0.478034±0.056342,0.42336310580512004,0.423066±0.003640
adult,occupation,cat,,,,,0.3446294482533464,0.344574±0.003947,0.2058896308658802,0.205766±0.003249,0.2575184646814999,0.257848±0.007297,0.22884707076516025,0.228891±0.003338
adult,relationship,cat,,,,,0.7884650819974203,0.788400±0.003166,0.623957271315403,0.623641±0.003072,0.6251790368151837,0.625149±0.003582,0.6312443822561723,0.631227±0.002921
adult,race,cat,,,,,0.8726736686935692,0.872677±0.002544,0.32679305406544545,0.326973±0.003707,0.4450403761275054,0.443964±0.014503,0.3210289640950288,0.320849±0.004539
adult,sex,cat,,,,,0.8442356120631411,0.844378±0.002584,0.8273692720550778,0.827374±0.003303,0.8229802429253126,0.822838±0.002896,0.832751877545987,0.832969±0.003056
adult,capital.gain,num,0.9662626740403861,0.967915±0.047186,0.22465991784455802,0.224882±0.006859,,,,,,,,
adult,capital.loss,num,0.9801325393920373,0.980891±0.017166,0.39905620244556433,0.399883±0.006745,,,,,,,,
adult,hours.per.week,num,0.8663491784865207,0.866116±0.008906,0.5906984174897689,0.590721±0.005080,,,,,,,,
adult,native.country,cat,,,,,0.922658836758918,0.922667±0.002094,0.05171706219947745,0.051727±0.002418,0.10518398961049405,0.087046±0.017449,0.04773678236036376,0.047811±0.002002
adult,income,cat,,,,,0.8653645353479515,0.865533±0.002672,0.7959708370997141,0.796280±0.004085,0.8325921396217583,0.832610±0.004053,0.7727675017736535,0.772889±0.004015
