dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9050465996393178,0.906652±0.011237,0.7212950259466243,0.720471±0.010209,,,,,,,,
adult,workclass,cat,,,,,0.6220447284345048,0.622087±0.008179,0.173475418306986,0.172394±0.007251,0.4128041153827867,0.364715±0.078328,0.31255008232800197,0.261781±0.068251
adult,fnlwgt,num,0.9487643653523001,0.949875±0.017699,0.7125462261437886,0.713018±0.011220,,,,,,,,
adult,education,cat,,,,,0.8090161437709412,0.808415±0.007048,0.8358810472435942,0.835123±0.008847,0.9381900630914827,0.938194±0.000278,0.8170819984879634,0.818246±0.013262
adult,education.num,num,1.0807956879835432,1.081890±0.025414,0.46934289630215165,0.469228±0.016852,,,,,,,,
adult,marital.status,cat,,,,,0.7282775560331594,0.728713±0.007949,0.3411189839674252,0.343979±0.014905,0.36724098531780147,0.369847±0.016324,0.33957362290666376,0.342303±0.014893
adult,occupation,cat,,,,,0.28990765171503957,0.290453±0.008494,0.16735006720172502,0.171383±0.009142,0.19820513324790692,0.203467±0.016131,0.18463749245849367,0.190018±0.009313
adult,relationship,cat,,,,,0.5876227313299613,0.588103±0.008662,0.45840923571247155,0.457748±0.007209,0.4580695258892704,0.457556±0.007484,0.5280612531884022,0.529105±0.007735
adult,race,cat,,,,,0.8660522273425499,0.866442±0.005855,0.296221335314112,0.295625±0.010511,0.4870555032925682,0.486540±0.036841,0.28352747474868084,0.282277±0.009214
adult,sex,cat,,,,,0.7801592161665646,0.779414±0.006834,0.7681945933805923,0.768397±0.007956,0.7637190151896034,0.764067±0.007585,0.7913889085283532,0.790975±0.007502
adult,capital.gain,num,1.223511600781331,1.227481±0.097183,0.32305311067709874,0.323205±0.019554,,,,,,,,
adult,capital.loss,num,0.94809815643918,0.947366±0.036626,0.4652371651627105,0.465180±0.014182,,,,,,,,
adult,hours.per.week,num,0.9614753067979062,0.963082±0.018953,0.6820882792359368,0.682210±0.011548,,,,,,,,
adult,native.country,cat,,,,,0.8234379857009636,0.822869±0.006712,0.03210906959875516,0.034147±0.002655,0.03157182701523711,0.033597±0.002685,0.038805723174000814,0.041343±0.003534
adult,income,cat,,,,,0.8250078542255733,0.824740±0.006570,0.691484591117647,0.691234±0.010653,0.8032480597872952,0.803718±0.012435,0.6624860698723104,0.661899±0.009409
