year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
?,?,10,9,,,,,?,,,0.014187425374984741
?,11,?,3,,,,,cv,30.399456024169922,,
?,?,?,?,,,,,NW,,,
?,?,?,?,,,,,?,,,
2013,?,?,?,,-3.9411749839782715,,1024.2960205078125,?,,,-0.12339967489242554
?,1,12,?,,,8.252581596374512,,?,69.0776596069336,,
?,?,?,?,,,,,?,,,
?,?,?,?,99.57678985595703,,,,NW,,,
2013,?,?,?,,,,,?,,,
2014,?,?,13,,4.562748908996582,,,?,124.13562774658203,,0.07052963972091675
?,?,?,?,,,,,NW,,,
?,?,?,?,,,,,?,,,0.18740661442279816
?,?,5,?,,,0.2987031936645508,,NW,,,
?,9,?,20,,,,,?,,,
?,?,?,?,,2.659712553024292,,,?,,,
?,?,3,?,,-16.40631103515625,,,?,,-0.006175994873046875,
?,8,?,?,257.40240478515625,,,,?,15.253518104553223,,4.549698829650879
?,?,?,7,,,16.280803680419922,,NW,,8.737897872924805,
?,?,?,?,,-19.835540771484375,3.2626113891601562,1033.81396484375,?,,,0.42158955335617065
?,?,?,?,,,19.480403900146484,,NW,,,
2012,?,?,?,,,,,NW,,,
?,?,?,?,,16.838716506958008,,,?,,,
?,?,?,18,,12.070050239562988,,,cv,,,
?,?,?,?,,,,,?,,,
?,11,?,1,,,,,SE,,,
?,?,3,?,,,,,?,,-0.006763570010662079,
?,?,?,6,,,3.8341751098632812,,?,,,-0.0469401478767395
?,?,11,?,,,,1030.9521484375,?,44.76692199707031,0.05937424674630165,
?,?,?,?,156.82284545898438,,,,?,95.7261962890625,,
?,?,?,7,,,17.457443237304688,,?,,,
?,?,?,?,121.4825668334961,-12.79786205291748,,1032.5841064453125,?,19.858673095703125,,
?,?,?,?,71.18339538574219,,,,cv,36.79651641845703,,0.026884987950325012
?,?,?,?,,,,,?,,,-0.038135379552841187
?,3,?,?,,,15.992753982543945,1024.9136962890625,?,,,
2014,?,?,?,,,,,?,,,
?,?,?,10,,,,,SE,,,
?,?,?,?,,,,,?,6.986185073852539,,
?,?,?,?,,18.741117477416992,,,?,,,
