dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.34913793103448276,0.348749±0.006881,0.34232937104451455,0.342548±0.007050,0.3635970204016933,0.364108±0.007786,0.3499441632613981,0.349900±0.007300,,,,
beijing,month,cat,0.5514846743295019,0.552011±0.007520,0.5439596885775609,0.544681±0.007341,0.5465478766283648,0.545843±0.008684,0.5467195865930208,0.547114±0.007313,,,,
beijing,day,cat,0.09770114942528736,0.097129±0.004733,0.09540579736022547,0.094965±0.004706,0.14671961709736242,0.147028±0.010773,0.09828354541604935,0.098003±0.004433,,,,
beijing,hour,cat,0.09722222222222222,0.096948±0.004554,0.09080601839059484,0.090807±0.004440,0.09384440691289005,0.094054±0.005624,0.097654171928884,0.097386±0.004435,,,,
beijing,pm2.5,num,,,,,,,,,0.6643788992072543,0.664146±0.015625,0.44658609976514285,0.446131±0.008251
beijing,DEWP,num,,,,,,,,,0.2718134405030066,0.271593±0.003767,0.203640091472105,0.203583±0.002947
beijing,TEMP,num,,,,,,,,,0.2609209306431582,0.260851±0.003080,0.20503639687883238,0.204944±0.002499
beijing,PRES,num,,,,,,,,,0.3906459280839412,0.390624±0.004315,0.3100817034315458,0.309856±0.003457
beijing,cbwd,cat,0.6932471264367817,0.693040±0.007261,0.5731778922281814,0.573019±0.006436,0.6182819011733487,0.616888±0.016850,0.5955323002572194,0.595622±0.005783,,,,
beijing,Iws,num,,,,,,,,,0.7359237799730808,0.735104±0.030152,0.36308283710931655,0.363596±0.010242
beijing,Is,num,,,,,,,,,0.44804556828911113,0.444394±0.059794,0.08446911223397427,0.083873±0.006563
beijing,Ir,num,,,,,,,,,0.6238948507256642,0.625768±0.043461,0.19497624296987676,0.195146±0.009257
