dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.26962025316455696,0.269612±0.015960,0.26404917279209267,0.261865±0.015488,0.2858173336321762,0.284550±0.016741,0.2715605307187479,0.271779±0.016063,,,,
beijing,month,cat,0.35368956743002544,0.353427±0.016619,0.3471309556728732,0.344561±0.016077,0.3628627850739925,0.362434±0.019246,0.3498901668041325,0.350896±0.016184,,,,
beijing,day,cat,0.07589285714285714,0.076741±0.009287,0.06401227978657532,0.062251±0.008727,0.13092814214076678,0.116603±0.026998,0.07416079515311937,0.074600±0.008067,,,,
beijing,hour,cat,0.07211538461538461,0.071298±0.008698,0.059581646181171455,0.058924±0.007842,0.06431088758834778,0.063738±0.010305,0.07016801172827845,0.070482±0.008590,,,,
beijing,pm2.5,num,,,,,,,,,0.9926300232025816,0.994938±0.035638,0.7257074936424635,0.724869±0.024685
beijing,DEWP,num,,,,,,,,,0.5751497223340636,0.575691±0.017050,0.42749391057195163,0.426595±0.013598
beijing,TEMP,num,,,,,,,,,0.4641422153914933,0.464147±0.013402,0.3573526580364783,0.357747±0.010475
beijing,PRES,num,,,,,,,,,0.6326897186274253,0.632841±0.017406,0.48028048170124715,0.479156±0.013327
beijing,cbwd,cat,0.5749128919860628,0.575861±0.017548,0.4982389437936072,0.496640±0.016763,0.5415489422313547,0.539989±0.026046,0.5237340433071854,0.523661±0.014016,,,,
beijing,Iws,num,,,,,,,,,0.803240756434363,0.799637±0.046780,0.49758363153870255,0.499000±0.021298
beijing,Is,num,,,,,,,,,2.870684360283923,2.868240±0.160826,1.0185336457130576,1.022994±0.096730
beijing,Ir,num,,,,,,,,,1.355469349645446,1.345596±0.090419,0.576957940534698,0.572349±0.041890
