LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
163573.859375,2,2,1,37.55211639404297,0,0,0,-1,-2,-2,23925.09375,10951.19921875,8617.98828125,1564.72265625,8199.81640625,598.171875,2585.09326171875,2360.70947265625,1150.471923828125,1547.383056640625,1452.697265625,3091.0595703125,0
173962.421875,2,2,2,42.04014587402344,-1,-1,-1,-1,0,-1,4539.0546875,2147.06640625,3492.7734375,5674.5703125,4393.03515625,7063.69140625,941.5859375,1617.79345703125,2603.411376953125,487.5625,449.41748046875,2100.647705078125,0
314588.8125,2,2,1,31.71563148498535,-1,0,0,0,0,0,93806.1875,206339.21875,209989.359375,191434.703125,188100.546875,170233.578125,188477.1875,22673.859375,11559.93359375,9954.224609375,9800.4619140625,12064.0390625,0
195703.0625,2,3,1,34.766719818115234,1,-2,-2,-2,-1,0,4179.4296875,1032.19140625,890.80859375,1493.6875,7640.126953125,5360.27734375,583.58056640625,921.71826171875,699.96142578125,5023.548828125,634.0849609375,2043.303955078125,0
165024.515625,2,3,1,35.740211486816406,1,-2,-2,-2,-2,-2,3869.33203125,834.37890625,560.49609375,869.4765625,1111.2890625,-27.55859375,498.80712890625,750.267578125,514.10400390625,464.72021484375,261.41796875,1873.546630859375,0
67918.96875,2,3,1,44.0223274230957,0,0,0,0,0,2,37236.08203125,35203.125,37308.01953125,37699.98828125,40229.44921875,36253.3359375,2532.298095703125,3070.193359375,2701.017578125,2260.599365234375,2033.01123046875,2454.680908203125,1
275499.09375,2,1,1,39.97528839111328,-2,-2,-2,-2,-2,-2,14415.3828125,27263.609375,16097.5625,3810.21875,1049.62109375,-44.3203125,34064.953125,9272.921875,6529.216796875,1780.47265625,1307.84375,11038.6416015625,0
288991.59375,2,1,2,33.71849822998047,-2,-2,-1,0,0,0,37015.4296875,29500.822265625,248146.015625,181719.453125,176592.3125,91886.9609375,18785.65234375,201690.765625,19423.28515625,5206.60400390625,6509.71533203125,19662.341796875,0
145987.578125,2,2,1,37.93364715576172,-1,2,2,-1,0,-1,6098.37890625,4883.19921875,3315.3359375,6581.56640625,4606.42578125,4680.84765625,965.611328125,1294.60302734375,6735.845703125,2168.71875,864.1220703125,2740.787841796875,0
171659.34375,2,2,2,31.82288360595703,0,0,0,0,0,-2,178108.515625,187030.03125,85510.0,34092.1953125,7692.2421875,4024.0,6971.5517578125,6253.962890625,1560.44873046875,797.509765625,801.07177734375,7134.8837890625,0
127085.640625,2,2,1,38.0760612487793,0,0,0,0,0,0,16926.8671875,11988.53515625,11963.21484375,13490.76171875,11928.0,13753.912109375,1952.7783203125,2762.348388671875,2160.125244140625,2373.571533203125,2713.84375,5595.2763671875,0
331853.0625,2,1,2,33.528099060058594,0,0,0,0,0,0,313826.0625,269379.65625,262008.03125,218488.03125,182075.78125,179119.765625,13005.556640625,8710.728515625,9286.6015625,8918.3740234375,8379.240234375,11237.9033203125,0
91787.9140625,2,2,1,40.0629768371582,0,0,0,0,0,0,45445.33984375,43552.9296875,36268.296875,35221.29296875,28142.87890625,26885.771484375,2674.708984375,3107.484619140625,1825.0673828125,1459.41650390625,1593.960205078125,2425.420654296875,0
119760.1328125,2,2,1,38.099388122558594,0,0,0,0,0,-2,67801.1328125,99305.21875,57793.12890625,30034.97265625,24405.546875,7264.6328125,4308.3623046875,4386.431640625,3050.177490234375,601.8857421875,815.39990234375,26214.107421875,0
213882.703125,2,2,1,37.39509582519531,0,0,0,0,0,0,65791.640625,65243.17578125,69065.9296875,70430.6015625,78201.859375,75577.625,4604.48095703125,4146.6455078125,4062.8857421875,6666.54541015625,4996.345703125,5816.09912109375,0
171217.890625,1,2,1,37.212825775146484,0,0,0,0,0,0,48427.1484375,48167.02734375,48013.37890625,49891.1484375,44624.8125,44672.69140625,3179.482177734375,3390.76171875,2260.732177734375,2782.68115234375,2640.17431640625,2766.482421875,0
244489.953125,2,2,1,41.05253601074219,1,2,0,0,0,0,194812.609375,189300.1875,192319.109375,198457.5625,226332.71875,186919.125,11425.5859375,10997.5224609375,10585.62890625,11072.8203125,12174.2890625,8906.04296875,0
209573.515625,2,2,1,41.5794677734375,0,0,0,0,0,0,220965.46875,177530.25,180231.046875,129681.234375,132348.015625,129860.2109375,7039.69873046875,5578.9306640625,4705.841796875,3857.71826171875,6110.02587890625,4660.0751953125,0
233333.40625,2,1,1,41.76557922363281,1,-2,-2,-2,-1,-1,4069.55078125,828.8671875,742.4609375,777.7890625,1942.30859375,5086.9140625,579.63720703125,1109.08349609375,735.47607421875,1315.340087890625,2807.93212890625,3879.86767578125,0
80962.453125,2,2,2,39.742488861083984,0,0,0,2,0,0,20587.771484375,18518.134765625,21069.10546875,19504.8828125,19092.560546875,17636.6796875,1717.365234375,2464.682373046875,1867.691650390625,1269.650146484375,1473.555419921875,2357.05419921875,0
188565.5,2,1,1,37.21575164794922,-1,-1,-2,-2,-2,-2,3860.46484375,31524.2734375,3271.99609375,1196.73046875,942.30078125,506.60546875,868.79736328125,4989.20703125,749.78955078125,1180.7353515625,1056.5859375,5050.86181640625,0
196291.3125,2,2,1,42.52421188354492,1,-2,-2,-2,-2,-2,3848.73046875,793.83984375,535.62109375,836.53125,1103.953125,-52.28515625,475.23095703125,764.3955078125,502.66845703125,456.99169921875,300.64697265625,1569.284423828125,0
126295.8125,2,2,1,37.09465408325195,0,0,0,0,0,0,76227.9921875,75126.9609375,73212.6953125,67137.390625,66061.109375,65374.2421875,3455.42138671875,3688.0849609375,2989.353271484375,3094.27001953125,2975.7587890625,3041.391845703125,0
236136.09375,2,1,1,43.91327667236328,-2,-2,-2,-2,-2,-2,5013.98046875,412.4921875,-1215.24609375,491.6484375,765.58203125,-678.10546875,674.92041015625,3010.47265625,1058.81103515625,654.20751953125,1076.685546875,6866.0146484375,0
225839.09375,2,1,1,43.339027404785156,-2,-2,-2,-2,-2,-2,5911.43359375,1167.125,652.22265625,1596.9921875,5035.421875,1625.3671875,860.87890625,3635.9384765625,1344.771240234375,6593.8740234375,1682.177490234375,7874.744140625,0
