LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
,,3,1,,,,,,,,24678.869140625,,7320.2109375,,948.16015625,,,,,3611.529296875,498.287109375,,
,,,,,,,,-1,,,,,,,,,,,,,,,
287462.96875,,,,,1,,2,,,,85434.859375,,98863.96875,82859.609375,,,,6589.197265625,,,8747.345703125,,
,,,,,,,,,,,,,,,,5295.28515625,,,,4983.28076171875,,,
165933.671875,,,,,,,,,,,,808.97265625,,,1100.58984375,,290.68310546875,,,,363.5634765625,,0
,,,,,,,,0,,,,,,,,,,,,,,,1
,,1,,,,-2,,-2,,,,,18159.77734375,,1028.49609375,,,,,,,,
,,,,,1,,,,,,,,,181647.40625,,,18306.7578125,,,,,18412.833984375,
,2,,,40.36185836791992,,,,,0,,5938.38671875,,,,5159.63671875,,,1239.302734375,,679.19384765625,,2576.05615234375,
,,,,,1,6,2,,,,175011.953125,,,,,,,12259.51953125,,665.580078125,,,
123984.9140625,,,,,,,,0,,,,,,,,,1654.945068359375,,,,,,
,,,2,,0,,,0,,,,,,,,,,,,,,,
,2,,1,,,,,0,,,,,,34686.3359375,,,,,,,,2367.297119140625,
,,,1,,,0,,,,,67574.421875,,,27116.328125,,,,,194.720703125,,774.285888671875,16274.033203125,
,,,,37.28133773803711,,,,,0,,,,,,77355.1015625,,,4075.75732421875,,,,,
,,,,37.70222473144531,0,,0,,0,,,,,,,40097.37109375,,,,6088.02197265625,86.6982421875,,1
,,,,,,,,,,,186722.296875,,179365.734375,,,,,6322.41796875,185780.53125,,,,
210423.5625,,,,,,,,,,,,,,,130410.296875,,,,,844.40673828125,,,
,,,,,,,,,-1,,,,,,,,502.94970703125,,,,,,
,,2,,,1,2,,,,0,18530.25390625,,,,18059.478515625,,14112.59765625,2664.09521484375,,,,,
,,,,,,,,,,,,,,,,,,,,1180.7353515625,,,
215435.84375,,2,,,,,,,,,,,,,1103.953125,,,1118.30419921875,525.421875,,,,
,,,,,,0,0,,,0,,,,,,,9185.5283203125,,,,,,
,,,,,,,,,,-2,5048.51171875,354.203125,-1682.69140625,,1710.71484375,,1049.8916015625,,,,,,
,,,,,,-2,,,,,7382.5,1602.7421875,,,,,,,,,,,
126124.125,,,,,,-1,,-1,-1,,,8458.8203125,,,,,,25425.28125,,,,4636.51171875,
,2,,,,,,,2,0,,,,,,,257878.75,,,,,,,0
,,,,,-1,,,-1,2,,,,4732.2265625,,,10289.875,,,,,,,
,1,3,1,,,,,,,,,5432.203125,6256.328125,,,,,7636.767578125,,,,,
,,,,,1,,,,0,,177767.09375,,,,,,,,,,,,0
242716.25,,,,43.873592376708984,,,2,,,,,,,,,,,23654.67578125,,,,,0
99227.3203125,,,2,,,,,,,-2,,,,,,,424.68115234375,,,,,1552.75439453125,
,2,,,,,,,,0,0,129476.6875,,129900.984375,,,,,,,,,,
