dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.7133204450353877,0.713563±0.013951,0.5240770715894877,0.523425±0.008396,,,,,,,,
default,SEX,cat,,,,,0.6483333333333333,0.649337±0.008435,0.5488058751890132,0.548774±0.009257,0.6453224198444143,0.645205±0.012904,0.5731860960276165,0.573624±0.006678
default,EDUCATION,cat,,,,,0.5616666666666666,0.561321±0.009160,0.2378507587888314,0.237497±0.005314,0.2864571951347237,0.287067±0.008222,0.23924726302309055,0.239132±0.004324
default,MARRIAGE,cat,,,,,0.7256666666666667,0.725468±0.008300,0.3644137633027032,0.365890±0.012678,0.36311464771102847,0.363354±0.008118,0.3678287275914912,0.369229±0.012865
default,AGE,num,0.8558829051883036,0.854753±0.013068,0.662076195319642,0.662555±0.010296,,,,,,,,
default,PAY_0,cat,,,,,0.841,0.841066±0.006553,0.44966959100821136,0.492255±0.040073,0.5329193603987048,0.577004±0.050340,0.43873621332839624,0.482881±0.038424
default,PAY_2,cat,,,,,0.948,0.948338±0.004286,0.7260009912541427,0.738806±0.060194,0.8404492044913603,0.857296±0.069465,0.6945336371079733,0.706737±0.055882
default,PAY_3,cat,,,,,0.9376666666666666,0.938007±0.004483,0.7061506723853789,0.707072±0.059530,0.8233194124150395,0.809082±0.067915,0.6715377318199659,0.684646±0.063552
default,PAY_4,cat,,,,,0.9403333333333334,0.940426±0.004587,0.8542698414825713,0.844457±0.037960,0.9320050914347441,0.925934±0.032996,0.8078997706561969,0.807958±0.040476
default,PAY_5,cat,,,,,0.9513333333333334,0.951491±0.003947,0.6781439820713234,0.737545±0.074608,0.7291263081667512,0.803285±0.085392,0.6715927317445137,0.738420±0.067629
default,PAY_6,cat,,,,,0.931,0.931277±0.004555,0.5229701032495172,0.542961±0.055552,0.5634376046605237,0.588552±0.067874,0.5524791968741852,0.561104±0.061075
default,BILL_AMT1,num,0.28172778723913633,0.279764±0.022491,0.11795057615439852,0.117922±0.004512,,,,,,,,
default,BILL_AMT2,num,0.19002122733897525,0.188863±0.012598,0.07506891019106378,0.075132±0.003044,,,,,,,,
default,BILL_AMT3,num,0.21189210738949532,0.210678±0.014442,0.08383793433577211,0.083670±0.003530,,,,,,,,
default,BILL_AMT4,num,0.19686377412864461,0.196114±0.011824,0.08756506337929125,0.087502±0.003262,,,,,,,,
default,BILL_AMT5,num,0.1891125738144546,0.188709±0.012254,0.08116381457813462,0.081112±0.003351,,,,,,,,
default,BILL_AMT6,num,0.22850807892314026,0.227139±0.020517,0.09881159552275835,0.098798±0.003690,,,,,,,,
default,PAY_AMT1,num,0.583227494221167,0.573475±0.099681,0.15115110231224713,0.152237±0.010594,,,,,,,,
default,PAY_AMT2,num,0.49552174155691076,0.476882±0.117412,0.1309802750720703,0.130834±0.008757,,,,,,,,
default,PAY_AMT3,num,0.43626213521078383,0.432308±0.067039,0.1301750721077411,0.129860±0.007586,,,,,,,,
default,PAY_AMT4,num,0.3768378287809928,0.366470±0.063124,0.1333031736488028,0.132736±0.006648,,,,,,,,
default,PAY_AMT5,num,0.4432921889689166,0.435994±0.075757,0.13241665595336732,0.132044±0.007374,,,,,,,,
default,PAY_AMT6,num,1.109940944923739,1.101781±0.123104,0.31823715400206903,0.317576±0.020064,,,,,,,,
default,default payment next month,cat,,,,,0.8156666666666667,0.815020±0.007384,0.6736538318921842,0.673172±0.010618,0.748686857040368,0.749750±0.012620,0.6496943341445437,0.648604±0.009845
