dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.7754426672495724,0.775736±0.034037,0.5591270905552974,0.556926±0.020976,,,,,,,,
default,SEX,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,EDUCATION,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,MARRIAGE,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,AGE,num,0.8816455581534599,0.881889±0.027432,0.6991033644575152,0.700901±0.020937,,,,,,,,
default,PAY_0,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_2,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_3,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_4,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_5,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_6,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,BILL_AMT1,num,0.5091468145114431,0.502496±0.059359,0.21461316648723633,0.214040±0.019848,,,,,,,,
default,BILL_AMT2,num,0.46764169815237516,0.471300±0.049705,0.19215760686907182,0.192360±0.017857,,,,,,,,
default,BILL_AMT3,num,0.4442319007136408,0.441450±0.046857,0.19002478255905123,0.190288±0.016864,,,,,,,,
default,BILL_AMT4,num,0.5582269504084841,0.553329±0.066078,0.22145578862817317,0.220748±0.018946,,,,,,,,
default,BILL_AMT5,num,0.5156865446542899,0.519162±0.075069,0.1970146434280426,0.197770±0.020897,,,,,,,,
default,BILL_AMT6,num,0.39541770643263796,0.391121±0.037273,0.18000106107882632,0.179723±0.015677,,,,,,,,
default,PAY_AMT1,num,2.0278864570892416,2.000456±0.237874,0.60271148760048,0.601640±0.077668,,,,,,,,
default,PAY_AMT2,num,1.8783422833969292,1.831690±0.525454,0.5017191808155806,0.498038±0.070333,,,,,,,,
default,PAY_AMT3,num,1.5092674119995237,1.493243±0.171216,0.4739000352049404,0.477702±0.059898,,,,,,,,
default,PAY_AMT4,num,2.1468431081707404,2.133357±0.317010,0.615096770552698,0.616268±0.083597,,,,,,,,
default,PAY_AMT5,num,1.567915357819057,1.534659±0.256766,0.413598118263741,0.416523±0.058413,,,,,,,,
default,PAY_AMT6,num,0.815184515604449,0.802261±0.112580,0.38415698190763486,0.384120±0.027207,,,,,,,,
default,default payment next month,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
