dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,1.4327316281119895,1.431712±0.062231,0.9065632476023342,0.907657±0.056353,,,,,,,,
magic,Width,num,1.0978347399144572,1.100306±0.063896,0.6622100475547433,0.662802±0.047772,,,,,,,,
magic,Size,num,0.7953952522052922,0.791945±0.042693,0.5389437861464663,0.536910±0.030101,,,,,,,,
magic,Conc,num,0.624785031096433,0.625682±0.045851,0.37260629361555797,0.373887±0.025155,,,,,,,,
magic,Conc1,num,0.7417866071032257,0.741507±0.061740,0.36150376321698185,0.361634±0.031598,,,,,,,,
magic,Asym,num,0.9218351361647489,0.928386±0.081223,0.5624567108909756,0.561611±0.041590,,,,,,,,
magic,M3Long,num,1.5040587793229023,1.512473±0.084956,0.9248288808432276,0.920786±0.060866,,,,,,,,
magic,M3Trans,num,0.9951498319081213,0.996341±0.082348,0.7178357319372252,0.718306±0.037797,,,,,,,,
magic,Alpha,num,0.9337749308275106,0.934480±0.024501,0.7688849325647246,0.768022±0.025476,,,,,,,,
magic,Dist,num,0.9569473779702813,0.953690±0.036027,0.7445304852878311,0.745928±0.029303,,,,,,,,
magic,class,cat,,,,,0.7789473684210526,0.779412±0.020613,0.7617839338487715,0.760542±0.022347,0.758415725047081,0.759520±0.022616,0.7664118432229099,0.767031±0.022249
