dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.7422923722954663,0.742451±0.005144,0.5792150612079617,0.579337±0.003537,,,,,,,,
adult,workclass,cat,,,,,0.7006940605613906,0.701182±0.003840,0.14033920119460172,0.141277±0.004105,0.2977750989903265,0.295492±0.031875,0.13979803109374245,0.140785±0.004189
adult,fnlwgt,num,0.9745458730377276,0.974521±0.011431,0.7176102565845501,0.717176±0.005180,,,,,,,,
adult,education,cat,,,,,1.0,1.000000±0.000000,1.0,1.000000±0.000000,1.0,1.000000±0.000000,1.0,1.000000±0.000000
adult,education.num,num,0.04485576860810392,0.044868±0.000553,0.029209404744135827,0.029222±0.000282,,,,,,,,
adult,marital.status,cat,,,,,0.843252871445243,0.843269±0.002984,0.4188095306193817,0.418883±0.003535,0.48967960224706,0.477965±0.056346,0.42331052680517267,0.423011±0.003642
adult,occupation,cat,,,,,0.3241815613291567,0.324458±0.003746,0.18425593500440426,0.184261±0.002944,0.27464693863788614,0.273027±0.018633,0.2127197653037053,0.212827±0.002888
adult,relationship,cat,,,,,0.7884650819974203,0.788407±0.003163,0.624084833493097,0.623761±0.003057,0.6250990296999084,0.625051±0.003566,0.6313979387399246,0.631386±0.002908
adult,race,cat,,,,,0.8728579325594251,0.872840±0.002567,0.32912495195162017,0.329352±0.003765,0.4448873535105853,0.443890±0.012640,0.3227259144733818,0.322588±0.004497
adult,sex,cat,,,,,0.839690436705362,0.839700±0.002632,0.8194684104842498,0.819457±0.003330,0.8196167403719671,0.819387±0.003040,0.8193209138596476,0.819365±0.003280
adult,capital.gain,num,0.9664797386216968,0.968120±0.047170,0.22573976317993383,0.225959±0.006856,,,,,,,,
adult,capital.loss,num,0.9800902512800834,0.980850±0.017153,0.40048891423683847,0.401318±0.006741,,,,,,,,
adult,hours.per.week,num,0.8740778110074445,0.873838±0.008918,0.5929733944008967,0.593101±0.005219,,,,,,,,
adult,native.country,cat,,,,,0.9073766967630981,0.907545±0.002313,0.05524240096746102,0.055073±0.003698,0.10514417314299888,0.093887±0.013290,0.050695622899281784,0.050970±0.003072
adult,income,cat,,,,,0.8654259566365702,0.865594±0.002673,0.7960860531423328,0.796403±0.004091,0.8326624515012131,0.832678±0.004051,0.7728975069738616,0.773020±0.004009
