dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.5713440349231345,0.571035±0.028979,0.3057667163534458,0.303929±0.013659,,,,,,,,
shoppers,Administrative_Duration,num,0.8579265046587355,0.855354±0.085199,0.3359823252906617,0.336283±0.024225,,,,,,,,
shoppers,Informational,num,0.4881392634853541,0.486079±0.032383,0.1979020225607599,0.197878±0.012803,,,,,,,,
shoppers,Informational_Duration,num,0.6709180020420344,0.666667±0.070471,0.2056682493658366,0.206804±0.019126,,,,,,,,
shoppers,ProductRelated,num,0.4507380842213206,0.447831±0.028653,0.2573601081785059,0.257299±0.010706,,,,,,,,
shoppers,ProductRelated_Duration,num,0.42168610558496583,0.419391±0.021892,0.2589018871716483,0.259207±0.009921,,,,,,,,
shoppers,BounceRates,num,0.20931736519835303,0.209291±0.012482,0.12421951651029776,0.124286±0.004776,,,,,,,,
shoppers,ExitRates,num,0.2697373576735986,0.269870±0.009253,0.18746861131684686,0.187299±0.005885,,,,,,,,
shoppers,PageValues,num,0.596719808249378,0.593913±0.047261,0.2733776742067101,0.273915±0.014586,,,,,,,,
shoppers,SpecialDay,num,0.7742723613904344,0.770061±0.032794,0.3618148405150599,0.359903±0.018661,,,,,,,,
shoppers,Month,cat,,,,,0.44931062449310627,0.450089±0.013482,0.1733386254611986,0.172413±0.007291,0.2123575731052565,0.206652±0.039665,0.1950951830718234,0.195117±0.005894
shoppers,OperatingSystems,cat,,,,,0.7639902676399026,0.763058±0.011681,0.3895516716682499,0.416001±0.043148,0.43280287553617935,0.459358±0.054919,0.37573982987339966,0.407739±0.042524
shoppers,Browser,cat,,,,,0.8256285482562855,0.825931±0.010139,0.2666034215361823,0.274899±0.022297,0.2998758920260627,0.308158±0.036995,0.2636103449623166,0.274505±0.021103
shoppers,Region,cat,,,,,0.3957826439578264,0.395245±0.013795,0.09766528804865388,0.097595±0.008316,0.1344624642496983,0.132457±0.015887,0.13285024154589373,0.133120±0.006886
shoppers,TrafficType,cat,,,,,0.4233576642335766,0.422820±0.014133,0.14353788222478475,0.149286±0.012380,0.23145966926424186,0.216200±0.032420,0.1370566444832797,0.143255±0.010301
shoppers,VisitorType,cat,,,,,0.8872668288726683,0.886732±0.009043,0.7066948494152868,0.706008±0.039851,0.8226393266715847,0.822961±0.050920,0.6473341464811795,0.650325±0.051848
shoppers,Weekend,cat,,,,,0.7672343876723439,0.767372±0.012450,0.48054336768770745,0.479412±0.011539,0.8512479457682827,0.851908±0.033711,0.5243804628348995,0.524469±0.006207
shoppers,Revenue,cat,,,,,0.9042984590429846,0.904366±0.008253,0.7935903983656794,0.793861±0.017224,0.8172595512357543,0.817135±0.017886,0.7747421368980103,0.774925±0.018662
