dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,0.858036225101519,0.857839±0.090765,0.43968572245011495,0.441731±0.050208,,,,,,,,
shoppers,Administrative_Duration,num,1.33449279067667,1.290661±0.258179,0.5663014927478961,0.559849±0.070622,,,,,,,,
shoppers,Informational,num,0.6859004624796662,0.668158±0.114138,0.2331957111790865,0.228483±0.036474,,,,,,,,
shoppers,Informational_Duration,num,0.618325309779042,0.597417±0.151562,0.17740770273772374,0.176715±0.038905,,,,,,,,
shoppers,ProductRelated,num,0.5189993938701546,0.513393±0.046036,0.3301078541829838,0.330533±0.025853,,,,,,,,
shoppers,ProductRelated_Duration,num,0.5030403378764797,0.491876±0.066901,0.275991211373197,0.274255±0.026008,,,,,,,,
shoppers,BounceRates,num,0.41238798922169473,0.400600±0.091554,0.18792645689816598,0.186503±0.022832,,,,,,,,
shoppers,ExitRates,num,0.49516700495956667,0.492149±0.030426,0.3516174770588871,0.351783±0.021802,,,,,,,,
shoppers,PageValues,num,1.1171859048298438,1.104034±0.094124,0.6275349473895929,0.626976±0.055134,,,,,,,,
shoppers,SpecialDay,num,0.9606903553155843,0.953341±0.086923,0.5041290755727638,0.505994±0.048673,,,,,,,,
shoppers,Month,cat,,,,,0.3371647509578544,0.336360±0.030753,0.1270474986220536,0.126785±0.013404,0.13475565230251604,0.134835±0.018178,0.1537785388127854,0.154598±0.011732
shoppers,OperatingSystems,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Browser,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Region,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,TrafficType,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,VisitorType,cat,,,,,0.8842975206611571,0.883485±0.019554,0.7190196078431373,0.710189±0.080175,0.8208350788995951,0.810592±0.063044,0.656841290893015,0.658753±0.091038
shoppers,Weekend,cat,,,,,0.7601809954751131,0.759729±0.030661,0.4497063659854358,0.448402±0.021346,0.6312785388127854,0.592755±0.192446,0.5064577717879605,0.505576±0.009272
shoppers,Revenue,cat,,,,,0.8745247148288974,0.874816±0.020922,0.768467386954782,0.765398±0.035717,0.7954385964912281,0.799372±0.040014,0.7488179669030732,0.750344±0.034059
