dataset,model,alpha_precision,beta_recall,c2st_logistic_detection
default,tabsyn,0.9845095785440613,0.4172888888888888,0.9095926666666667
default,tabdiff,0.8928191570881225,0.31986666666666663,0.9395693333333334
default,tabcsdi,0.9650850574712644,0.33228888888888874,0.8382753333333334
default,catboost,0.8642888888888889,0.3433111111111111,0.6493646666666668
shoppers,tabsyn,0.8768856447688564,0.4557447958907813,0.8570752008335258
shoppers,tabdiff,0.9367937280346039,0.4246012435793458,0.8710975347450386
shoppers,tabcsdi,0.9157610164909434,0.41297648012976473,0.8591116557444012
shoppers,catboost,0.4077318194106515,0.1942146526088132,0.16972430899651325
magic,tabsyn,0.9507378802712209,0.3810024535576587,0.8186368657265969
magic,tabdiff,0.9248159831756047,0.2907115317209955,0.9558790846095924
magic,tabcsdi,0.9695239131223032,0.4546091833158079,1.0
magic,catboost,0.7465124430424115,0.19509288468279007,0.9033277274129506
beijing,tabsyn,0.975462962962963,0.30903575989782894,0.9002651302461795
beijing,tabdiff,0.9223659003831417,0.3018518518518519,0.889867730765843
beijing,tabcsdi,0.00759897828863354,0.01369731800766294,0.0027084159069890035
beijing,catboost,0.8274106002554278,0.2582056194125161,0.7299091414541772
