dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,0.9299726596113377,0.929989±0.005163,0.7601117411035822,0.760226±0.004279,,,,,,,,
adult,workclass,cat,,,,,0.7318840579710145,0.731809±0.003636,0.11327685349350575,0.113797±0.003951,0.20284013405709655,0.205450±0.019761,0.12875002755838438,0.130098±0.004882
adult,fnlwgt,num,0.9971911162421649,0.997213±0.011566,0.7359906302090699,0.735587±0.005185,,,,,,,,
adult,education,cat,,,,,0.6358331797801118,0.635951±0.004104,0.20138820132570592,0.201205±0.003486,0.3061196907727496,0.286211±0.031273,0.22249724531911155,0.222495±0.002719
adult,education.num,num,0.901196868902581,0.901364±0.005835,0.6799555140703887,0.680577±0.004801,,,,,,,,
adult,marital.status,cat,,,,,0.6975615748418402,0.697165±0.003549,0.33368327782006085,0.333488±0.003812,0.36347650586796953,0.363711±0.004854,0.3244039759492143,0.324106±0.003252
adult,occupation,cat,,,,,0.31126346718903036,0.311181±0.003992,0.15021131949385738,0.150175±0.002369,0.1901619271358615,0.190294±0.009026,0.18282566216187873,0.182630±0.002306
adult,relationship,cat,,,,,0.693876297524722,0.693683±0.003496,0.4596673080653355,0.459218±0.004542,0.5562005379701821,0.555966±0.031494,0.45789420994796676,0.457440±0.003503
adult,race,cat,,,,,0.8530802776242246,0.853032±0.002819,0.20632835313585957,0.206299±0.003553,0.29345638533100377,0.290869±0.022494,0.21245112983305026,0.212472±0.002394
adult,sex,cat,,,,,0.7013696947361956,0.701131±0.003397,0.6003658804232316,0.600589±0.003992,0.6624517220962165,0.662033±0.005214,0.6004313591200987,0.600302±0.003530
adult,capital.gain,num,0.9949041461083741,0.996115±0.048723,0.26708663800813687,0.267343±0.007040,,,,,,,,
adult,capital.loss,num,0.9866930851412004,0.987464±0.017466,0.408312469867539,0.409187±0.006671,,,,,,,,
adult,hours.per.week,num,0.9480136903462564,0.947622±0.009355,0.6401813608834463,0.640052±0.005437,,,,,,,,
adult,native.country,cat,,,,,0.9180358593115512,0.917992±0.002196,0.032412313602599295,0.032326±0.000791,0.039682214948172395,0.039674±0.001157,0.030618729926464205,0.030651±0.000644
adult,income,cat,,,,,0.8253792764572201,0.825563±0.002902,0.7237842188771678,0.724036±0.004718,0.7726923133843262,0.772699±0.004688,0.7003463878000235,0.700617±0.003939
