dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.175393376855912,1.175586±0.014180,0.9482768125369825,0.947140±0.011967,,,,,,,,
adult,workclass,cat,,,,,0.7274760383386581,0.727176±0.007307,0.1322803503510977,0.139517±0.011583,0.1800075960905454,0.191403±0.034376,0.14837031008293128,0.157107±0.011913
adult,fnlwgt,num,0.965560906833805,0.966543±0.017189,0.7282647944257189,0.728697±0.011129,,,,,,,,
adult,education,cat,,,,,0.53396283886689,0.533373±0.008710,0.17435831631538903,0.172891±0.010492,0.23141969037724885,0.230073±0.026985,0.17863449779383914,0.178508±0.008685
adult,education.num,num,1.101790950192804,1.102916±0.014983,0.8547324044681698,0.855316±0.011968,,,,,,,,
adult,marital.status,cat,,,,,0.5809026711697881,0.581570±0.008185,0.2598633220255431,0.261488±0.012926,0.2820224149714768,0.283076±0.020078,0.25615255410288157,0.258095±0.011969
adult,occupation,cat,,,,,0.24802110817941952,0.248296±0.007679,0.12988395248650306,0.130588±0.006287,0.15692814680308828,0.158665±0.014560,0.14699489623870046,0.148289±0.006273
adult,relationship,cat,,,,,0.4941981553109194,0.494055±0.008158,0.32721403726956033,0.326984±0.007377,0.349399901795902,0.350060±0.007118,0.340258459774683,0.340019±0.009109
adult,race,cat,,,,,0.78678955453149,0.787289±0.007340,0.20405098444857503,0.204328±0.005719,0.22201143510265292,0.221914±0.011525,0.21492066612481056,0.215197±0.006344
adult,sex,cat,,,,,0.6769748928352725,0.676520±0.008010,0.5734484626216672,0.573775±0.009108,0.6206290753843009,0.621384±0.010962,0.577255480252238,0.576548±0.007456
adult,capital.gain,num,1.3016811464710336,1.306767±0.093984,0.48459176722181924,0.484404±0.020003,,,,,,,,
adult,capital.loss,num,0.9709529078539321,0.970113±0.036066,0.4848063611248676,0.484810±0.014319,,,,,,,,
adult,hours.per.week,num,1.0427791163375704,1.043940±0.020068,0.7487391915005192,0.748505±0.013224,,,,,,,,
adult,native.country,cat,,,,,0.7998134908299658,0.799858±0.006742,0.029259014571891263,0.030733±0.002015,0.030404571786849664,0.031926±0.002132,0.034773215614317,0.036831±0.005645
adult,income,cat,,,,,0.7681432610744581,0.768199±0.007412,0.6457385239414326,0.646166±0.010682,0.6658377339791064,0.665913±0.010443,0.6351167380453927,0.634743±0.009795
