dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.2139240506329114,0.214430±0.015211,0.2098143330538577,0.210101±0.015194,0.2185132942640279,0.218136±0.016015,0.21142646341211185,0.212791±0.014595,,,,
beijing,month,cat,0.3473282442748092,0.346696±0.017337,0.3317265528986621,0.330686±0.016426,0.36660384658851913,0.366641±0.019371,0.34276687153967034,0.342598±0.016074,,,,
beijing,day,cat,0.03794642857142857,0.038285±0.006423,0.028000919485818333,0.027692±0.004974,0.027588900776519123,0.027211±0.006331,0.0363314270213489,0.036986±0.006581,,,,
beijing,hour,cat,0.06490384615384616,0.064547±0.009003,0.05755531832369778,0.056882±0.007707,0.060207976717487316,0.061038±0.010957,0.06425230899593733,0.064457±0.009474,,,,
beijing,pm2.5,num,,,,,,,,,0.9577724068208457,0.958794±0.037426,0.706405910130145,0.707733±0.023550
beijing,DEWP,num,,,,,,,,,0.571441200644189,0.571686±0.014707,0.4546408127782676,0.455419±0.011558
beijing,TEMP,num,,,,,,,,,0.53822552193662,0.540030±0.012969,0.43073070196614227,0.430984±0.010928
beijing,PRES,num,,,,,,,,,0.6256540477352504,0.626729±0.014158,0.5057743597537426,0.505133±0.012440
beijing,cbwd,cat,0.5412311265969802,0.540163±0.016659,0.41966778269379923,0.419081±0.013900,0.3972062372065346,0.397235±0.013432,0.44653947517485226,0.445981±0.013366,,,,
beijing,Iws,num,,,,,,,,,0.9182066019837674,0.913099±0.063823,0.5424988120724856,0.541810±0.025301
beijing,Is,num,,,,,,,,,0.40314578933489353,0.394326±0.076248,0.19191252040568307,0.192569±0.011972
beijing,Ir,num,,,,,,,,,0.8142360867472879,0.797757±0.107152,0.35057120485624726,0.349720±0.024952
