dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,1.3435345228192748,1.342942±0.041304,1.0480326778544098,1.045333±0.034474,,,,,,,,
default,SEX,cat,,,,,0.6068222621184919,0.606804±0.021447,0.48370262205574244,0.482842±0.021440,0.5605906313645621,0.559515±0.034457,0.5265258977060874,0.526772±0.013786
default,EDUCATION,cat,,,,,0.5170178282009724,0.517396±0.019497,0.2640942138036666,0.288834±0.037256,0.31260023867679365,0.341167±0.043481,0.26445968645016793,0.288367±0.034088
default,MARRIAGE,cat,,,,,0.6111111111111112,0.611237±0.020018,0.4122230770748259,0.410812±0.013175,0.41198268398268406,0.411648±0.013091,0.4209877550280519,0.420705±0.013520
default,AGE,num,1.176755233017385,1.175470±0.032677,0.9369671384040097,0.939112±0.028432,,,,,,,,
default,PAY_0,cat,,,,,0.36379310344827587,0.365293±0.020027,0.13093148750171207,0.134858±0.011890,0.16193774712682274,0.166430±0.015885,0.16542318873697173,0.172057±0.014637
default,PAY_2,cat,,,,,0.4782608695652174,0.477843±0.021534,0.1713332921468786,0.178195±0.014380,0.21703694063112855,0.227353±0.017979,0.17427940944918358,0.183014±0.013928
default,PAY_3,cat,,,,,0.40445859872611467,0.405117±0.020350,0.16447131787633582,0.166407±0.011855,0.21784098431268553,0.219632±0.016291,0.19005443336894914,0.190344±0.018550
default,PAY_4,cat,,,,,0.4960998439937597,0.497441±0.020110,0.20977516268869545,0.221610±0.018768,0.2614541924215582,0.276495±0.022588,0.22463337437415187,0.236834±0.020125
default,PAY_5,cat,,,,,0.4930313588850174,0.492317±0.020965,0.23803584363799096,0.237937±0.013125,0.29881393944299733,0.297446±0.015911,0.2567470960015212,0.256693±0.014554
default,PAY_6,cat,,,,,0.5465116279069767,0.546301±0.020824,0.22118679478657347,0.229740±0.018309,0.2485335302413859,0.263078±0.022108,0.2296815959277762,0.241540±0.019383
default,BILL_AMT1,num,0.4925618988819983,0.486436±0.058292,0.24500675156977486,0.244114±0.018895,,,,,,,,
default,BILL_AMT2,num,0.393739065735733,0.397342±0.036771,0.20027215966877637,0.200268±0.013511,,,,,,,,
default,BILL_AMT3,num,0.3727396485947518,0.371154±0.036184,0.19762884702665273,0.197387±0.012848,,,,,,,,
default,BILL_AMT4,num,0.4547849445319034,0.451467±0.050107,0.2428711853718152,0.242708±0.013755,,,,,,,,
default,BILL_AMT5,num,0.4463361081930952,0.448555±0.072373,0.20425818190374884,0.205203±0.017532,,,,,,,,
default,BILL_AMT6,num,0.38451751087725056,0.380367±0.034249,0.20996080712139187,0.209909±0.013515,,,,,,,,
default,PAY_AMT1,num,1.2804576354850021,1.259411±0.174722,0.6380185946243068,0.636561±0.046237,,,,,,,,
default,PAY_AMT2,num,1.0275399840756898,1.026175±0.082836,0.5455118151313424,0.544383±0.035323,,,,,,,,
default,PAY_AMT3,num,0.9831921753827716,0.980724±0.084900,0.5248966453672782,0.525165±0.032107,,,,,,,,
default,PAY_AMT4,num,1.1100040615623454,1.111325±0.094825,0.5929044356982487,0.594375±0.037171,,,,,,,,
default,PAY_AMT5,num,1.188058792369571,1.177995±0.174225,0.5733542358529685,0.574231±0.039970,,,,,,,,
default,PAY_AMT6,num,0.7862971322366338,0.771067±0.128599,0.37067052610603474,0.369329±0.027211,,,,,,,,
default,default payment next month,cat,,,,,0.5842696629213483,0.584596±0.020673,0.5013890047680408,0.502023±0.020341,0.5203566330723647,0.521782±0.016130,0.5302409638554217,0.528357±0.023056
