age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
,?,189484.39, HS-grad,,?,?,?,?,?,,87.670456,, United-States,?
38.579506,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,189484.39,?,,?,?,?,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White,?,1082.9701,,,?, <=50K
, Private,189484.39,?,,?, Craft-repair,?,?, Male,,,,?,?
,?,,?,,?,?,?,?,?,,,, United-States,?
,?,189484.39,?,,?, Craft-repair,?,?,?,,,,?,?
,?,, HS-grad,,?, Craft-repair,?, White,?,,,40.425713,?, <=50K
,?,,?,,?,?,?, White,?,,,,?,?
,?,,?,,?,?,?, White,?,,87.670456,,?,?
38.579506,?,189484.39,?,,?,?, Husband,?, Male,,,,?,?
,?,,?,,?,?,?, White,?,,,,?,?
,?,189484.39,?,, Married-civ-spouse,?,?,?,?,1082.9701,,, United-States,?
, Private,,?,,?, Craft-repair,?, White,?,,,40.425713,?,?
38.579506,?,189484.39,?,10.067414,?,?,?,?,?,,87.670456,40.425713, United-States,?
,?,189484.39,?,,?,?,?,?, Male,,87.670456,,?,?
38.579506,?,,?,,?,?,?, White,?,,,,?,?
,?,189484.39,?,,?,?,?,?,?,,,40.425713,?, <=50K
,?,189484.39,?,,?,?,?,?,?,,,,?,?
,?,,?,10.067414,?, Craft-repair,?,?,?,,87.670456,,?,?
,?,189484.39,?,,?,?,?,?,?,1082.9701,,,?,?
38.579506,?,, HS-grad,,?,?,?, White,?,,87.670456,,?,?
, Private,, HS-grad,10.067414,?,?,?,?,?,1082.9701,,,?,?
38.579506,?,,?,,?, Craft-repair,?,?, Male,,,,?,?
,?,,?,10.067414, Married-civ-spouse,?, Husband,?, Male,,,,?,?
, Private,,?,, Married-civ-spouse, Craft-repair,?, White,?,,,,?,?
,?,,?,, Married-civ-spouse,?, Husband,?,?,,,40.425713, United-States,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White,?,,,,?,?
,?,,?,,?, Craft-repair,?,?,?,,,,?, <=50K
,?,,?,,?,?,?, White,?,,87.670456,40.425713,?,?
, Private,189484.39,?,,?, Craft-repair,?, White, Male,,,,?,?
,?,,?,,?,?,?,?,?,,,,?,?
,?,,?,, Married-civ-spouse,?,?,?, Male,,87.670456,,?,?
,?,,?,,?,?,?,?, Male,,,40.425713, United-States,?
,?,,?,,?,?,?,?, Male,1082.9701,,, United-States,?
,?,,?,, Married-civ-spouse,?,?,?,?,,,,?,?
,?,,?,,?,?, Husband, White, Male,1082.9701,,40.425713,?, <=50K
,?,,?,,?,?,?,?,?,,,40.425713,?,?
,?,189484.39, HS-grad,,?,?,?,?,?,,,,?,?
38.579506,?,,?,,?, Craft-repair,?, White, Male,,,40.425713,?,?
,?,, HS-grad,,?,?, Husband,?,?,1082.9701,,,?,?
,?,189484.39, HS-grad,,?,?,?,?,?,1082.9701,,,?,?
,?,189484.39,?,,?,?,?, White,?,,87.670456,40.425713,?,?
, Private,,?,10.067414,?,?,?,?,?,,,, United-States, <=50K
38.579506,?,,?,,?,?,?,?, Male,1082.9701,,,?,?
38.579506,?,,?,,?,?,?,?,?,,87.670456,,?,?
38.579506,?,189484.39,?,,?,?,?,?,?,,,,?, <=50K
38.579506,?,,?,10.067414,?,?, Husband,?,?,,,,?,?
,?,, HS-grad,,?,?,?, White, Male,,,40.425713,?,?
,?,,?,10.067414,?,?,?,?,?,,87.670456,,?,?
, Private,,?,10.067414,?,?,?,?,?,,,40.425713, United-States, <=50K
, Private,,?,,?,?,?,?,?,,,40.425713,?,?
,?,,?,,?,?, Husband,?,?,1082.9701,,,?,?
38.579506,?,, HS-grad,,?,?,?,?,?,,,,?,?
, Private,189484.39,?,,?,?,?, White, Male,,87.670456,, United-States,?
,?,,?,10.067414,?,?,?,?,?,1082.9701,,,?,?
38.579506,?,,?,,?,?,?, White,?,,,,?,?
,?,, HS-grad,,?,?,?,?,?,,,,?,?
,?,,?,,?, Craft-repair,?,?,?,,87.670456,,?,?
,?,,?,,?,?, Husband,?,?,,,,?,?
,?,,?,10.067414,?, Craft-repair,?,?, Male,,,,?,?
,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,40.425713, United-States,?
,?,,?,10.067414,?, Craft-repair,?,?,?,,,40.425713,?,?
,?,,?,10.067414,?, Craft-repair,?,?,?,,,,?,?
,?,,?,,?,?,?, White,?,,,40.425713,?,?
,?,, HS-grad,,?, Craft-repair,?, White,?,1082.9701,,,?,?
,?,, HS-grad,, Married-civ-spouse, Craft-repair,?, White, Male,,87.670456,40.425713,?,?
,?,189484.39,?,,?, Craft-repair, Husband,?,?,,,,?,?
,?,,?,, Married-civ-spouse, Craft-repair, Husband,?,?,,,, United-States,?
,?,,?,,?,?,?, White,?,1082.9701,,,?,?
,?,,?,, Married-civ-spouse,?,?, White,?,,,,?,?
, Private,,?,,?,?,?,?,?,,,,?, <=50K
38.579506,?,,?,, Married-civ-spouse,?, Husband, White,?,,87.670456,, United-States, <=50K
,?,,?,, Married-civ-spouse, Craft-repair,?,?,?,,,,?,?
,?,, HS-grad,,?,?,?,?,?,1082.9701,,40.425713,?,?
38.579506, Private,,?,,?,?,?, White,?,,87.670456,,?,?
38.579506, Private,,?,10.067414,?,?,?,?,?,,,,?,?
,?,,?,,?,?, Husband,?,?,,87.670456,,?,?
38.579506,?,,?,, Married-civ-spouse,?,?,?,?,,,40.425713,?, <=50K
,?,,?,,?,?,?, White,?,,,,?, <=50K
,?,,?,10.067414, Married-civ-spouse,?,?,?,?,,,,?,?
, Private,,?,,?,?, Husband,?, Male,,,,?,?
, Private,, HS-grad,10.067414,?, Craft-repair,?, White,?,1082.9701,,,?,?
,?,,?,,?,?,?,?, Male,,87.670456,, United-States,?
, Private,,?,,?,?,?,?,?,,87.670456,,?,?
, Private,,?,10.067414, Married-civ-spouse,?,?,?,?,,,,?, <=50K
38.579506,?,, HS-grad,,?,?,?,?,?,,,,?, <=50K
38.579506,?,189484.39, HS-grad,10.067414,?,?, Husband, White,?,,87.670456,,?,?
,?,,?,,?, Craft-repair,?,?, Male,1082.9701,,,?, <=50K
, Private,,?,, Married-civ-spouse,?,?,?,?,,,, United-States,?
,?,, HS-grad,,?,?, Husband,?,?,,,,?, <=50K
38.579506,?,,?,,?,?,?,?,?,,,,?,?
, Private,,?,,?,?,?,?,?,,,, United-States,?
,?,,?,10.067414,?,?,?,?,?,,87.670456,,?,?
,?,,?,,?, Craft-repair,?, White, Male,,,40.425713,?,?
, Private,189484.39,?,, Married-civ-spouse, Craft-repair,?,?,?,,87.670456,, United-States,?
,?,, HS-grad,10.067414, Married-civ-spouse,?,?, White, Male,,,,?,?
,?,189484.39,?,,?,?, Husband,?,?,,,, United-States,?
,?,189484.39,?,,?,?,?,?,?,,,,?,?
