dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.0153819897726863,1.015412±0.005418,0.8312732806569891,0.831400±0.004627,,,,,,,,
adult,workclass,cat,,,,,0.6885326454149008,0.689043±0.003834,0.09061551457244593,0.091122±0.002305,0.07650362726832231,0.076940±0.002018,0.1111111111111111,0.111852±0.003126
adult,fnlwgt,num,1.0015473039594915,1.001557±0.011572,0.7401896792768086,0.739822±0.005185,,,,,,,,
adult,education,cat,,,,,0.3244886677722499,0.324636±0.003828,0.030623956594323872,0.030610±0.000257,0.020280541735765618,0.020289±0.000233,0.0625,0.062500±0.000000
adult,education.num,num,0.9979754414601981,0.997858±0.006321,0.7386727521483057,0.739558±0.005401,,,,,,,,
adult,marital.status,cat,,,,,0.4547017996437565,0.454799±0.003655,0.08930682558448137,0.089326±0.000531,0.06495739994910807,0.064919±0.000517,0.14285714285714285,0.142857±0.000000
adult,occupation,cat,,,,,0.1236410539893127,0.123502±0.002440,0.014671476986990272,0.014667±0.000295,0.008242736932620847,0.008228±0.000173,0.06666666666666667,0.066683±0.000275
adult,relationship,cat,,,,,0.40065106565935754,0.400741±0.003625,0.09534876922177395,0.095377±0.000697,0.06677517760989292,0.066729±0.000603,0.16666666666666666,0.166667±0.000000
adult,race,cat,,,,,0.8565812910754868,0.856506±0.002687,0.18455023654348762,0.184583±0.000308,0.17131625821509736,0.171308±0.000543,0.2,0.200000±0.000000
adult,sex,cat,,,,,0.6670351943983784,0.666540±0.003690,0.40013264065436055,0.400188±0.001441,0.3335175971991892,0.333415±0.001786,0.5,0.500000±0.000000
adult,capital.gain,num,1.0268814693952537,1.028040±0.050970,0.26953101926652895,0.269762±0.007287,,,,,,,,
adult,capital.loss,num,1.0003448034271512,1.001081±0.018114,0.4153140509083127,0.416131±0.006881,,,,,,,,
adult,hours.per.week,num,1.0106707920178144,1.010273±0.009442,0.6177273134779199,0.617717±0.006186,,,,,,,,
adult,native.country,cat,,,,,0.9005589337264296,0.900702±0.002320,0.0231140972819417,0.023121±0.000066,0.02196485204210804,0.021970±0.000072,0.024390243902439025,0.024396±0.000061
adult,income,cat,,,,,0.7637737239727289,0.763951±0.003477,0.4330338487254492,0.432950±0.000970,0.38188686198636446,0.381939±0.001645,0.5,0.500000±0.000000
