dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
adult,age,num,1.010981797161186,1.010641±0.012105,0.8247061605078942,0.824281±0.010195,,,,,,,,
adult,workclass,cat,,,,,0.6921912832929782,0.692111±0.008185,0.10226256483634412,0.107798±0.007147,0.08652391041162227,0.091755±0.006247,0.125,0.131429±0.008586
adult,fnlwgt,num,0.9621595134485648,0.963060±0.017001,0.7247477201366682,0.725128±0.010948,,,,,,,,
adult,education,cat,,,,,0.326226012793177,0.326035±0.008705,0.0307475884244373,0.030733±0.000560,0.02038912579957356,0.020377±0.000510,0.0625,0.062500±0.000000
adult,education.num,num,1.0032252351046917,1.003458±0.014890,0.7408717704126313,0.741992±0.011522,,,,,,,,
adult,marital.status,cat,,,,,0.4620816702486951,0.463097±0.008620,0.09029819403611927,0.091018±0.003393,0.06601166717838501,0.066547±0.002518,0.14285714285714285,0.144127±0.005359
adult,occupation,cat,,,,,0.13089005235602094,0.130716±0.006040,0.0154320987654321,0.015865±0.000860,0.008726003490401396,0.008944±0.000475,0.06666666666666667,0.068381±0.002290
adult,relationship,cat,,,,,0.39720321332936626,0.397234±0.008053,0.09476149914821125,0.094889±0.001515,0.06620053555489437,0.066247±0.001362,0.16666666666666666,0.166667±0.000000
adult,race,cat,,,,,0.8528417818740399,0.853366±0.005906,0.1841154037473056,0.184120±0.000741,0.170568356374808,0.170557±0.001341,0.2,0.200000±0.000000
adult,sex,cat,,,,,0.6650336803429271,0.665164±0.007805,0.3994115483633689,0.399460±0.002914,0.33251684017146355,0.332645±0.004004,0.5,0.500000±0.000000
adult,capital.gain,num,1.282053633966428,1.286766±0.104512,0.31644736522910916,0.316605±0.020740,,,,,,,,
adult,capital.loss,num,0.9457569222810294,0.944872±0.039838,0.39662893433748836,0.397114±0.014637,,,,,,,,
adult,hours.per.week,num,0.9855462807808226,0.986108±0.020080,0.5951443133115101,0.594190±0.013913,,,,,,,,
adult,native.country,cat,,,,,0.8997854734906527,0.900156±0.005383,0.02368123890950153,0.025259±0.000900,0.022494636837266317,0.023908±0.000889,0.025,0.026676±0.000978
adult,income,cat,,,,,0.7656299088909834,0.765859±0.007345,0.43362989323843415,0.433546±0.002270,0.3828149544454917,0.382743±0.003588,0.5,0.500000±0.000000
