year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
,,17,18,,,,,,,,0.1981107
,7,,18,,,,,SE,23.827593,,
,,,,,,,,SE,,,
,,,,,,,,,,,
2013,,,,,1.7685937,,1016.43567,,,,0.1981107
,7,17,,,,12.41252,,,23.827593,,
,,,,,,,,,,,
,,,,98.53343,,,,SE,,,
2013,,,,,,,,,,,
2013,,,18,,1.7685937,,,,23.827593,,0.1981107
,,,,,,,,SE,,,
,,,,,,,,,,,0.1981107
,,17,,,,12.41252,,SE,,,
,7,,18,,,,,,,,
,,,,,1.7685937,,,,,,
,,17,,,1.7685937,,,,,0.061003193,
,7,,,98.53343,,,,,23.827593,,0.1981107
,,,18,,,12.41252,,SE,,0.061003193,
,,,,,1.7685937,12.41252,1016.43567,,,,0.1981107
,,,,,,12.41252,,SE,,,
2013,,,,,,,,SE,,,
,,,,,1.7685937,,,,,,
,,,18,,1.7685937,,,SE,,,
,,,,,,,,,,,
,7,,18,,,,,SE,,,
,,17,,,,,,,,0.061003193,
,,,18,,,12.41252,,,,,0.1981107
,,17,,,,,1016.43567,,23.827593,0.061003193,
,,,,98.53343,,,,,23.827593,,
,,,18,,,12.41252,,,,,
,,,,98.53343,1.7685937,,1016.43567,,23.827593,,
,,,,98.53343,,,,SE,23.827593,,0.1981107
,,,,,,,,,,,0.1981107
,7,,,,,12.41252,1016.43567,,,,
2013,,,,,,,,,,,
,,,18,,,,,SE,,,
,,,,,,,,,23.827593,,
,,,,,1.7685937,,,,,,
,,17,,,1.7685937,12.41252,,,,0.061003193,0.1981107
,,,18,,1.7685937,12.41252,,,,,
,,,,,,,,,,,
,,,,,,,,SE,,,
2013,,17,,,,,,,,,
,,,18,,,12.41252,1016.43567,,,,
,,,,,,12.41252,1016.43567,,,0.061003193,
,,,,,1.7685937,,,,,,
,,,,,,,,,,0.061003193,0.1981107
2013,7,,18,,1.7685937,,,,,,
,,,,,,12.41252,,,,,0.1981107
2013,,,,,,,,,,,
2013,,,,,,12.41252,,SE,23.827593,,
2013,,,,,,12.41252,,,,0.061003193,
,7,,,,,,,SE,23.827593,,
,,,,98.53343,,,,,,,0.1981107
,,,,,1.7685937,,,SE,23.827593,,
,7,,,98.53343,,,,,,,
,7,17,18,,,,,,,,
2013,7,,,,,12.41252,,,,,
,,,,,1.7685937,,,,23.827593,,0.1981107
,,,,,,,,,,,0.1981107
2013,,,,98.53343,,,1016.43567,,,,
,,,,,,12.41252,,,,,0.1981107
2013,,,18,,,,,,,0.061003193,
,,,,,1.7685937,,,,,0.061003193,
,7,,,,,,,,23.827593,0.061003193,0.1981107
,7,,,,,,,,,,
2013,,,,,,,,,,0.061003193,
,7,,,,,12.41252,,,23.827593,,
,,,,,,,,,,0.061003193,0.1981107
,,,,,1.7685937,12.41252,,SE,,0.061003193,
,,,,98.53343,,,,,,0.061003193,
,,,18,,,,,,,,0.1981107
,,,,,,,,,23.827593,,
,,,,,,,,,,,
,,,18,,,,,SE,,,
,,,,,,,1016.43567,,,,
,,,,,,,1016.43567,,23.827593,,
2013,,,,,,,,,,,0.1981107
2013,,,,,,12.41252,1016.43567,,,,
,7,,18,,,,,,23.827593,,
,,,,98.53343,,12.41252,,,,,
,,,,,,,,,,,0.1981107
,,,18,,,,,,23.827593,,
2013,,17,,98.53343,,,,,,,
2013,,17,18,,1.7685937,12.41252,,SE,23.827593,,
,,17,,,,12.41252,1016.43567,,,,
,,,,,,,,SE,23.827593,0.061003193,
,,,,98.53343,,,,,,,
,,17,,98.53343,,,,,,,
,,17,,,1.7685937,,,,,,
,7,,,,,,,,,,
,,17,18,,,,,SE,,0.061003193,0.1981107
,,17,,98.53343,1.7685937,,,,,,0.1981107
2013,,,,,,,,,,,
2013,,,,,,,1016.43567,,23.827593,,
2013,7,,,,,,,SE,,,0.1981107
,,,18,98.53343,,,1016.43567,,,,
,,,,,,,,,,,
,7,,,,1.7685937,,,,23.827593,,
,,17,,,,,,,23.827593,,0.1981107
,,,,,,,,SE,,,
,,17,,,,,1016.43567,SE,,,
,,,,,,,1016.43567,,,,
,7,,18,,,,,,,0.061003193,
2013,7,,18,,1.7685937,,1016.43567,,,,
,,,,,,,,,23.827593,,0.1981107
,7,,,98.53343,,,,,,,
,,17,,,,,1016.43567,,,0.061003193,0.1981107
,,,,,,,,SE,23.827593,,
2013,,,,,,,,,,,0.1981107
2013,,17,18,98.53343,,,1016.43567,SE,,,0.1981107
,,,,,,,,,23.827593,,
2013,7,,,,1.7685937,,1016.43567,,,,0.1981107
,,,,,,,1016.43567,,,,
2013,,,,98.53343,,,,,,,0.1981107
2013,,,,,,,,,,,
,,,,98.53343,,,,,,,
,,,,98.53343,,,,,,0.061003193,
,,,,,1.7685937,,,,,,
,,,18,,1.7685937,12.41252,,,23.827593,,
,7,17,,,1.7685937,12.41252,,,,,0.1981107
,7,,,,,12.41252,1016.43567,SE,,,0.1981107
2013,,,,,,,,SE,,,
,7,,,,,,1016.43567,,,,0.1981107
