dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.21216475095785442,0.212166±0.005962,0.07001185302252075,0.069821±0.001849,0.04243295019157088,0.042375±0.001256,0.2,0.200000±0.000000,,,,
beijing,month,cat,0.09195402298850575,0.091989±0.004510,0.014035087719298246,0.013998±0.000665,0.007662835249042145,0.007654±0.000407,0.08333333333333333,0.083333±0.000000,,,,
beijing,day,cat,0.030411877394636015,0.030389±0.002476,0.0019041478938175167,0.001913±0.000157,0.0009810283030527746,0.000978±0.000084,0.03225806451612903,0.032258±0.000000,,,,
beijing,hour,cat,0.035201149425287355,0.035405±0.002946,0.0028336803145963454,0.002862±0.000225,0.0014667145593869732,0.001470±0.000123,0.041666666666666664,0.041667±0.000000,,,,
beijing,pm2.5,num,,,,,,,,,1.0050872085855274,1.004881±0.018556,0.7441908566994919,0.743665±0.011251
beijing,DEWP,num,,,,,,,,,0.9896734993357658,0.989815±0.006609,0.8664059437242183,0.866916±0.007006
beijing,TEMP,num,,,,,,,,,0.9977169364074988,0.997422±0.007018,0.8695719038921942,0.868997±0.007591
beijing,PRES,num,,,,,,,,,0.999426518585419,0.999263±0.007957,0.846077373104013,0.846032±0.008460
beijing,cbwd,cat,0.3450670498084291,0.344699±0.007126,0.12827131920954246,0.128402±0.002214,0.08626676245210728,0.086340±0.001873,0.25,0.250000±0.000000,,,,
beijing,Iws,num,,,,,,,,,1.032589501860389,1.031054±0.039561,0.5671847644763734,0.568292±0.013839
beijing,Is,num,,,,,,,,,0.6592554884620899,0.645181±0.142023,0.11298062627438511,0.112075±0.009797
beijing,Ir,num,,,,,,,,,0.7277601553862215,0.729023±0.058441,0.23283505155325127,0.232856±0.010718
