dataset,column,type,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std,rmse,rmse_mean_std,mae,mae_mean_std
beijing,year,cat,0.21012658227848102,0.209987±0.014129,0.0694560669456067,0.069507±0.004373,0.0420253164556962,0.042019±0.002840,0.2,0.200000±0.000000,,,,
beijing,month,cat,0.0916030534351145,0.092273±0.009871,0.013986013986013986,0.013965±0.001433,0.007633587786259542,0.007626±0.000857,0.08333333333333333,0.083333±0.000000,,,,
beijing,day,cat,0.03125,0.030915±0.005889,0.0019550342130987292,0.001955±0.000355,0.0010080645161290322,0.001025±0.000186,0.03225806451612903,0.032258±0.000000,,,,
beijing,hour,cat,0.03365384615384615,0.033417±0.006461,0.0027131782945736434,0.002718±0.000466,0.0014022435897435897,0.001399±0.000267,0.041666666666666664,0.041667±0.000000,,,,
beijing,pm2.5,num,,,,,,,,,1.012490242153272,1.012770±0.043487,0.7660822810205296,0.766536±0.023517
beijing,DEWP,num,,,,,,,,,0.9860819154891253,0.985840±0.014962,0.8658683056436928,0.866689±0.016007
beijing,TEMP,num,,,,,,,,,0.9875485348389688,0.986811±0.016067,0.8559473857784776,0.856854±0.017614
beijing,PRES,num,,,,,,,,,0.983874748199191,0.983397±0.017486,0.8315848369775909,0.831061±0.018404
beijing,cbwd,cat,0.33797909407665505,0.337271±0.015105,0.12630208333333334,0.126680±0.004645,0.08449477351916376,0.084482±0.004010,0.25,0.250000±0.000000,,,,
beijing,Iws,num,,,,,,,,,0.9597436619292399,0.953480±0.072703,0.5474190329987916,0.547149±0.026770
beijing,Is,num,,,,,,,,,0.36435819615822884,0.351267±0.089390,0.10409894905375691,0.104312±0.011606
beijing,Ir,num,,,,,,,,,0.8053873476854883,0.786817±0.116335,0.25796860577090547,0.256633±0.025581
