LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
168102.88,2,2,2,35.4775,0,0,0,0,0,0,51207.887,49143.703,46950.88,43163.574,40111.27,38642.25,5675.807,5969.9854,5204.782,4827.0024,4759.8335,5217.3345,0
