dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9779117616198744,0.977936±0.013258,0.7956220153420897,0.794425±0.010118,,,,,,,,
default,SEX,cat,,,,,0.609,0.610086±0.008224,0.37849596022374143,0.378677±0.003609,0.3045,0.304189±0.004479,0.5,0.500000±0.000000
default,EDUCATION,cat,,,,,0.459,0.459339±0.009302,0.10486634681288554,0.104865±0.001479,0.0765,0.076669±0.001527,0.16666666666666666,0.166667±0.000000
default,MARRIAGE,cat,,,,,0.5423333333333333,0.542128±0.008959,0.1758158634104171,0.176375±0.006423,0.13558333333333333,0.135768±0.003642,0.25,0.250833±0.008305
default,AGE,num,1.0083343058205079,1.006925±0.012836,0.8218430255444362,0.822482±0.010578,,,,,,,,
default,PAY_0,cat,,,,,0.49566666666666664,0.495210±0.009302,0.06025487772757664,0.066219±0.005304,0.04506060606060606,0.049173±0.004051,0.09090909090909091,0.100025±0.007869
default,PAY_2,cat,,,,,0.53,0.529877±0.009047,0.06928104575163399,0.076451±0.006424,0.053000000000000005,0.057849±0.004990,0.1,0.109716±0.009299
default,PAY_3,cat,,,,,0.526,0.526298±0.009446,0.07659822338721421,0.079704±0.005449,0.058444444444444445,0.060789±0.004185,0.1111111111111111,0.115556±0.007442
default,PAY_4,cat,,,,,0.5483333333333333,0.547989±0.009153,0.08853606027987083,0.088720±0.001932,0.06854166666666667,0.068722±0.001758,0.125,0.125298±0.002290
default,PAY_5,cat,,,,,0.566,0.566292±0.009212,0.08031786575847878,0.087961±0.008097,0.06288888888888888,0.069313±0.006259,0.1111111111111111,0.122956±0.011085
default,PAY_6,cat,,,,,0.5503333333333333,0.550170±0.008949,0.07888387204663275,0.086237±0.008312,0.061148148148148146,0.067236±0.007220,0.1111111111111111,0.121362±0.011100
default,BILL_AMT1,num,1.0023170749027004,1.002380±0.027078,0.6948550383339751,0.694181±0.012586,,,,,,,,
default,BILL_AMT2,num,0.9911937996861083,0.990262±0.025866,0.6881697718857738,0.688115±0.012672,,,,,,,,
default,BILL_AMT3,num,0.9750885672869696,0.975012±0.027608,0.6775026322884928,0.677349±0.012242,,,,,,,,
default,BILL_AMT4,num,0.9796803300013566,0.980395±0.027794,0.6799800745673641,0.680083±0.012797,,,,,,,,
default,BILL_AMT5,num,0.9714416351069881,0.971437±0.026560,0.6758312040574783,0.675781±0.012732,,,,,,,,
default,BILL_AMT6,num,0.9684832679373631,0.969062±0.026590,0.6711676302484858,0.671477±0.013005,,,,,,,,
default,PAY_AMT1,num,1.0509820001509573,1.041448±0.111740,0.3788144645316255,0.381359±0.017801,,,,,,,,
default,PAY_AMT2,num,0.7411769232168635,0.736807±0.069597,0.2815812275067619,0.281197±0.012060,,,,,,,,
default,PAY_AMT3,num,0.9937293232264011,0.988945±0.110663,0.34549150592303945,0.345182±0.017333,,,,,,,,
default,PAY_AMT4,num,0.8035998383105916,0.794176±0.077744,0.3313492919148163,0.329909±0.013635,,,,,,,,
default,PAY_AMT5,num,0.9905047112362223,0.987434±0.116025,0.35851844595866034,0.358773±0.016231,,,,,,,,
default,PAY_AMT6,num,1.1946937396160104,1.185313±0.130389,0.38068889542199585,0.380233±0.021495,,,,,,,,
default,default payment next month,cat,,,,,0.7776666666666666,0.777224±0.007558,0.437464841552597,0.437114±0.002441,0.3888333333333333,0.388617±0.003758,0.5,0.500000±0.000000
