dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
default,LIMIT_BAL,num,0.9483146935677683,0.947958±0.027357,0.7839506432531648,0.781735±0.020913,,,,,,,,
default,SEX,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,EDUCATION,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,MARRIAGE,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,AGE,num,1.0098741761316095,1.010214±0.027347,0.8325442011560297,0.835119±0.022569,,,,,,,,
default,PAY_0,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_2,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_3,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_4,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_5,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,PAY_6,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
default,BILL_AMT1,num,1.0277872612665733,1.025652±0.056696,0.7015411369879992,0.701988±0.029429,,,,,,,,
default,BILL_AMT2,num,0.9496939021556061,0.951793±0.059985,0.6703428746241997,0.668047±0.028077,,,,,,,,
default,BILL_AMT3,num,1.0131584663842779,1.011649±0.060714,0.7217410376330414,0.721373±0.028502,,,,,,,,
default,BILL_AMT4,num,1.0501714309547445,1.045888±0.065072,0.7073395472968632,0.706396±0.029809,,,,,,,,
default,BILL_AMT5,num,1.0143129003350295,1.020450±0.063568,0.6966031866865423,0.697438±0.030856,,,,,,,,
default,BILL_AMT6,num,0.9683748510559447,0.973187±0.055751,0.6882879946364018,0.688411±0.028394,,,,,,,,
default,PAY_AMT1,num,1.1611566579410735,1.102913±0.254444,0.3893207671260984,0.391424±0.043458,,,,,,,,
default,PAY_AMT2,num,0.9096634905864944,0.885731±0.204178,0.2814583855782566,0.281842±0.033362,,,,,,,,
default,PAY_AMT3,num,0.7054204358093115,0.702721±0.137707,0.308015311613327,0.308477±0.025496,,,,,,,,
default,PAY_AMT4,num,0.8483532498337493,0.841514±0.132766,0.3586383270963289,0.358337±0.031123,,,,,,,,
default,PAY_AMT5,num,1.0008692244448378,0.975357±0.247613,0.36424527345001684,0.363819±0.035624,,,,,,,,
default,PAY_AMT6,num,0.747477361462344,0.726824±0.143131,0.3227368005404638,0.321562±0.026212,,,,,,,,
default,default payment next month,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
