dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,1.0032262957873874,1.002578±0.030490,0.7369520631887213,0.734794±0.015322,,,,,,,,
magic,Width,num,1.049848455834465,1.048922±0.071743,0.6146205537275335,0.614352±0.019366,,,,,,,,
magic,Size,num,0.9848749055818815,0.982706±0.019063,0.7757179033318043,0.775638±0.013063,,,,,,,,
magic,Conc,num,0.960189152958618,0.958430±0.012675,0.7926791493776243,0.793016±0.013214,,,,,,,,
magic,Conc1,num,0.9649124382399712,0.962584±0.014803,0.7866733096275841,0.787120±0.013444,,,,,,,,
magic,Asym,num,1.03899907894626,1.037134±0.037987,0.6742790069639308,0.671417±0.017830,,,,,,,,
magic,M3Long,num,1.0172182052275653,1.018212±0.030727,0.7045436778101632,0.701571±0.017057,,,,,,,,
magic,M3Trans,num,0.9986936456485971,0.995739±0.036614,0.7063172111100632,0.704801±0.016041,,,,,,,,
magic,Alpha,num,1.014762613788816,1.014321±0.013676,0.861964974351075,0.862697±0.012430,,,,,,,,
magic,Dist,num,1.0156219340683352,1.016179±0.017324,0.8058744818675458,0.805950±0.013839,,,,,,,,
magic,class,cat,,,,,0.6445846477392219,0.644488±0.011272,0.39194373401534527,0.391727±0.003970,0.32229232386961093,0.322475±0.005327,0.5,0.500000±0.000000
