dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
magic,Length,num,0.9894413479785428,0.989692±0.059972,0.739627939154436,0.742019±0.031852,,,,,,,,
magic,Width,num,1.0319897508370457,1.020970±0.140624,0.5904660648786162,0.592836±0.043199,,,,,,,,
magic,Size,num,0.9371706471114748,0.936350±0.031723,0.7661542532043368,0.767595±0.027187,,,,,,,,
magic,Conc,num,0.9367511634805716,0.934656±0.028926,0.7730304361461116,0.776364±0.027203,,,,,,,,
magic,Conc1,num,0.9455856003962265,0.943097±0.032750,0.7717571850908094,0.776361±0.026590,,,,,,,,
magic,Asym,num,1.0615852385502538,1.069219±0.091542,0.6615592037360839,0.661501±0.046563,,,,,,,,
magic,M3Long,num,1.0554343120814902,1.057544±0.059596,0.7219955189674477,0.717465±0.043192,,,,,,,,
magic,M3Trans,num,0.9909231369619583,0.992259±0.082185,0.7124571000448712,0.713026±0.037779,,,,,,,,
magic,Alpha,num,0.9728140208681282,0.971330±0.032377,0.8277528337484792,0.828532±0.025997,,,,,,,,
magic,Dist,num,1.0301515590364618,1.025757±0.038293,0.8106413741375323,0.814723±0.032974,,,,,,,,
magic,class,cat,,,,,0.6473684210526316,0.646272±0.024271,0.3929712460063898,0.392406±0.009274,0.3236842105263158,0.322864±0.012267,0.5,0.500000±0.000000
