Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
,,0.49284667,33.972824,,,,,,,,2,,1,,Returning_Visitor,,
,,0.49284667,33.972824,,,,,,,,,,,2,,,
,,,,,,,,,,,,2,,,,,False
,79.83657,,,,1193.2704,,0.043075442,5.862998,,,,2,,,Returning_Visitor,,
,,,,,,,,,,,,,,,,False,
,,0.49284667,,,,0.0222006,,,,,,,,,,,
2.3096766,,,33.972824,,1193.2704,,,,0.061281964,,2,,,,,,
,,0.49284667,,,,,,,,,,,,,,,False
,,0.49284667,,,,0.0222006,,5.862998,,,,,1,,Returning_Visitor,,
,,,,,,,,,,,2,,,,,,
,,0.49284667,,,1193.2704,,,,,May,,,1,,,False,
,,,33.972824,,1193.2704,,,,0.061281964,,,2,,2,,False,
,,,,,1193.2704,0.0222006,0.043075442,,,,2,,,,,,
2.3096766,,0.49284667,,,,0.0222006,,,,,,,,2,,,
,,,,,1193.2704,,,,,,,,,,Returning_Visitor,,False
,,0.49284667,,,,,,,,,,,,,,,
,79.83657,,33.972824,,,,,5.862998,,,,,,2,,,
,,,,31.531599,,,,,0.061281964,,,2,,,,,False
,,0.49284667,,,,,0.043075442,,0.061281964,May,,,,,,False,
,,,33.972824,,,,,,0.061281964,,,2,,,,,
,,,,31.531599,1193.2704,,0.043075442,,0.061281964,,,,,,,False,
,,0.49284667,33.972824,,1193.2704,,,,,,,,,,,,False
,79.83657,,,,,0.0222006,0.043075442,,,,,2,,,,,
,,,,,,,,,0.061281964,,,,,2,,,
,,,,,,,,,0.061281964,,,,,,,,False
,,,,,,,,5.862998,,,2,2,,,,False,False
,,,33.972824,,1193.2704,0.0222006,,,,,,,,,,,
,,,,,,,,,,,,,,2,,,
2.3096766,,0.49284667,,,,,,,,,,,,,Returning_Visitor,,
2.3096766,79.83657,,,,,,,,,,,2,1,,,False,
,,,,,1193.2704,,,,,,,,,,,,
,,,,31.531599,1193.2704,0.0222006,0.043075442,,0.061281964,,2,,,,,,
,,,,,,0.0222006,,,,,2,2,,,,,
,,,,,,0.0222006,,,,,,2,,2,Returning_Visitor,,
2.3096766,,,,,,0.0222006,,,,May,,,1,,,,
,,0.49284667,33.972824,,,,,,,May,,,,,,,False
,,,,,1193.2704,,,5.862998,0.061281964,,,,1,,,False,
,,,,,,,0.043075442,5.862998,0.061281964,,,,,,,,
2.3096766,79.83657,,,,,0.0222006,,,,,,,,,,,False
,,,33.972824,,1193.2704,,,,,,,,,,,,False
2.3096766,,,,31.531599,,,0.043075442,,,,,,,,,,
2.3096766,,,,,1193.2704,0.0222006,,,0.061281964,,,,,,,False,
,,,,,1193.2704,,,,,May,,,1,,,,
,,,33.972824,31.531599,1193.2704,,0.043075442,,,,,,,,,,
2.3096766,,,,,,,,,,May,,,1,,,,
2.3096766,,,33.972824,,,,,,,,,,,,,False,False
,,,,,1193.2704,0.0222006,,5.862998,,May,,,,,,False,
,,,,31.531599,,,,,0.061281964,,,,,,,,False
,,,,,,,,,0.061281964,,,,,,,,
,,,,,,,,,0.061281964,,,,,2,,,
,,,,,,,0.043075442,,,,,,,,,,
,79.83657,,33.972824,,,0.0222006,,,,,,,,,,,False
2.3096766,,,,,,0.0222006,0.043075442,,,,,,1,,Returning_Visitor,,
,,,33.972824,,,,,,,May,,2,,,,,
,,,,,,,,,,,2,,,,Returning_Visitor,,
,,,33.972824,,,0.0222006,,5.862998,,May,,,,,,,
2.3096766,,0.49284667,33.972824,,1193.2704,0.0222006,,5.862998,0.061281964,,,,,2,,,
2.3096766,79.83657,,,,,,,,,,,,,2,Returning_Visitor,False,
,,,,31.531599,,,,,,,,,,2,,False,
,,,,,,,,5.862998,,,2,,,,,,
,79.83657,,,,,,,,,,,,,2,Returning_Visitor,,
,,0.49284667,,31.531599,1193.2704,,,5.862998,,May,2,,,,,,False
2.3096766,,,,,,,,,,,,2,,,,,
,79.83657,,33.972824,,,0.0222006,0.043075442,,,,,,,2,,,False
,,,33.972824,31.531599,,,0.043075442,,,,,,,,,,
,,,,,,,0.043075442,,,,2,,,,Returning_Visitor,,
,,0.49284667,,,,,,,0.061281964,,2,,,,,,
,,0.49284667,,,,,,5.862998,,,,,1,2,,,
,,,,,,,0.043075442,,,,,,1,,Returning_Visitor,,
,,,,31.531599,,0.0222006,0.043075442,,0.061281964,,2,,1,,,,
,,,,,,,,,0.061281964,,2,,1,,,False,
,,,,,,,,5.862998,,,,,1,,,False,False
,,,,,,,,5.862998,0.061281964,,,2,,,,,
,,,,,1193.2704,0.0222006,,5.862998,0.061281964,May,,,1,2,,,False
,,,,,,,,,0.061281964,,,2,1,,,,False
,79.83657,,,,1193.2704,,,,,,,,1,,,,
2.3096766,,,,31.531599,,,,,,,2,2,,,,,
,,,,,,,,,,May,,,,,,,
,,,,31.531599,,,,,,May,,,,,,,False
,,,,,,,,,0.061281964,,2,2,,,Returning_Visitor,,
,79.83657,0.49284667,,,1193.2704,0.0222006,,,,,2,,1,,,,
2.3096766,79.83657,0.49284667,,,1193.2704,0.0222006,,,,,,,,2,,,
,79.83657,,,,,,0.043075442,,,,2,,,,,,
,,,,,,0.0222006,,5.862998,0.061281964,May,,,1,,,,
,,,,,,,,,,May,2,,,2,Returning_Visitor,,
,,,,,,,,5.862998,,May,,,1,,Returning_Visitor,,
2.3096766,,,,,,,0.043075442,,0.061281964,,,,,2,,,
,,,,,,,,,,,,,,2,,,
,,,33.972824,31.531599,,,,,,,,,,,Returning_Visitor,,
,,,,,1193.2704,,,,,,,,1,2,,,
