dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,1.028514535778924,1.027800±0.037618,0.7678275275067658,0.766327±0.020135,,,,,,,,
shoppers,Administrative_Duration,num,1.073278716969034,1.072282±0.088038,0.5862526576350077,0.586080±0.027643,,,,,,,,
shoppers,Informational,num,0.9954310178413162,0.991984±0.051397,0.6347231019553304,0.635503±0.021991,,,,,,,,
shoppers,Informational_Duration,num,0.9180864509425892,0.912844±0.085067,0.4053507157912126,0.407449±0.024330,,,,,,,,
shoppers,ProductRelated,num,0.9631359686613448,0.956716±0.061765,0.612260215073,0.614384±0.022846,,,,,,,,
shoppers,ProductRelated_Duration,num,0.8917744531699116,0.884291±0.054492,0.5663536834648466,0.568253±0.021264,,,,,,,,
shoppers,BounceRates,num,1.0075018191009444,1.006053±0.041866,0.6042648712921902,0.606274±0.023264,,,,,,,,
shoppers,ExitRates,num,1.0134603801297957,1.013200±0.032372,0.7002068301944172,0.702199±0.021322,,,,,,,,
shoppers,PageValues,num,0.7905121204638814,0.785320±0.056245,0.45864131952984616,0.460206±0.018354,,,,,,,,
shoppers,SpecialDay,num,0.946548123495667,0.941159±0.045848,0.5434482889542058,0.541835±0.019422,,,,,,,,
shoppers,Month,cat,,,,,0.28791565287915655,0.287718±0.013053,0.044710327455919394,0.044640±0.001506,0.028791565287915655,0.028712±0.001340,0.1,0.100000±0.000000
shoppers,OperatingSystems,cat,,,,,0.5344687753446877,0.534604±0.014118,0.09951676230745998,0.106594±0.009408,0.07635268219209825,0.081363±0.007299,0.14285714285714285,0.154429±0.013663
shoppers,Browser,cat,,,,,0.6626115166261152,0.663279±0.012982,0.07246119733924612,0.075285±0.003700,0.06023741060237411,0.062511±0.003304,0.09090909090909091,0.094727±0.004494
shoppers,Region,cat,,,,,0.3884833738848337,0.387926±0.013748,0.0621754932502596,0.062210±0.001664,0.04316481932053708,0.043138±0.001585,0.1111111111111111,0.111111±0.000000
shoppers,TrafficType,cat,,,,,0.31062449310624496,0.310757±0.012542,0.027882935352358765,0.029236±0.001678,0.018272029006249704,0.018953±0.001179,0.058823529411764705,0.061294±0.002437
shoppers,VisitorType,cat,,,,,0.8580697485806975,0.857905±0.010880,0.30787138076531356,0.307813±0.002044,0.28602324952689917,0.286296±0.003356,0.3333333333333333,0.333333±0.000000
shoppers,Weekend,cat,,,,,0.7558799675587997,0.755994±0.012603,0.43048498845265587,0.430346±0.003988,0.37793998377939986,0.377948±0.005661,0.5,0.500000±0.000000
shoppers,Revenue,cat,,,,,0.8548256285482563,0.855461±0.010418,0.46086576300830784,0.460864±0.002862,0.42741281427412814,0.427470±0.004951,0.5,0.500000±0.000000
