dataset,column,type,rmse,rmse_mean_std,mae,mae_mean_std,accuracy,accuracy_mean_std,f1,f1_mean_std,precision,precision_mean_std,recall,recall_mean_std
shoppers,Administrative,num,1.1239786818438653,1.123010±0.084313,0.8339907592164985,0.834533±0.053189,,,,,,,,
shoppers,Administrative_Duration,num,1.4857365996619671,1.448205±0.244255,0.7196518110749838,0.714130±0.075305,,,,,,,,
shoppers,Informational,num,1.0571634909937286,1.031276±0.142677,0.6175777668051688,0.612541±0.050472,,,,,,,,
shoppers,Informational_Duration,num,0.7679498146587518,0.746420±0.178164,0.3597873602886134,0.356654±0.044352,,,,,,,,
shoppers,ProductRelated,num,1.000913696836891,0.992375±0.137867,0.6137077679827682,0.616506±0.050693,,,,,,,,
shoppers,ProductRelated_Duration,num,0.7325364101026988,0.725307±0.059536,0.5218936218923471,0.519415±0.033248,,,,,,,,
shoppers,BounceRates,num,0.9980449583550837,0.990773±0.098652,0.5994044253899742,0.594857±0.051717,,,,,,,,
shoppers,ExitRates,num,1.0129344807699945,1.015720±0.080323,0.6871108824387695,0.687806±0.049268,,,,,,,,
shoppers,PageValues,num,0.8876996155213494,0.871612±0.159161,0.4752101175494401,0.476836±0.048095,,,,,,,,
shoppers,SpecialDay,num,1.04032490634488,1.029556±0.108240,0.5819932188533858,0.584437±0.052633,,,,,,,,
shoppers,Month,cat,,,,,0.2796934865900383,0.278914±0.028156,0.043712574850299404,0.043593±0.003297,0.02796934865900383,0.028003±0.002681,0.1,0.100037±0.000642
shoppers,OperatingSystems,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Browser,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,Region,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,TrafficType,cat,,,,,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000,0.0,0.000000±0.000000
shoppers,VisitorType,cat,,,,,0.859504132231405,0.858581±0.020415,0.3081481481481481,0.309696±0.018401,0.2865013774104683,0.286979±0.011144,0.3333333333333333,0.333889±0.009623
shoppers,Weekend,cat,,,,,0.7601809954751131,0.759608±0.030641,0.4318766066838046,0.431885±0.008702,0.38009049773755654,0.379020±0.012645,0.5,0.500000±0.000000
shoppers,Revenue,cat,,,,,0.8212927756653993,0.822053±0.022308,0.4509394572025052,0.450699±0.007539,0.41064638783269963,0.409417±0.010973,0.5,0.500000±0.000000
