,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.39022568275843317,0.09429916195062837,0.353806034920383,0.013563481222957474,0.43472336929741795,0.48345633698961643,0.44408999886912703,0.35933439603253337,0.32325563596908236,0.11944319981549945,0.13607024723241068,0.1623449646599412,0.3475719476533691,0.3373451974727626
workclass,0.39022568275843317,0.0,0.6061394761502705,0.2680753568668538,0.3061955127965005,0.3008436218895816,0.4999426792482152,0.2971933934112152,0.3431017174338402,0.2680753568668537,0.2714541841285595,0.29792610690785337,0.48236510001488486,0.32826892891359893,0.2680753568668537
fnlwgt,0.09429916195062837,0.6061394761502705,0.0,0.5003395938609524,0.0831608782855282,0.5225433972412751,0.6454797775594193,0.5155106521497554,0.5520872784967903,0.5003395938609525,0.06295106636796965,0.06773440830885247,0.02256920871922541,0.5390049891574942,0.5003395938609524
education,0.353806034920383,0.2680753568668538,0.5003395938609524,0.0,0.14685337817955046,0.06890784657226168,0.4569507271873914,0.08988706819772185,0.12118706565289927,0.014677518882632579,0.03297371436683472,0.04748266610280705,0.47527281226155726,0.08967617913501846,0.07371743676747744
education.num,0.013563481222957474,0.3061955127965005,0.0831608782855282,0.14685337817955046,0.0,0.18469044994628603,0.466442968236095,0.18318805399167415,0.2226632166628374,0.14037625394284348,0.14240669816639784,0.15197080291464005,0.08407491059754257,0.19173667361932112,0.19508908316304419
marital.status,0.43472336929741795,0.3008436218895816,0.5225433972412751,0.06890784657226168,0.18469044994628603,0.0,0.40412937337814236,0.11101694588530975,0.15146789674623418,0.06375324165921192,0.06667126213490115,0.09452888343830601,0.48837037204529077,0.12517906463412531,0.10556506148266465
occupation,0.48345633698961643,0.4999426792482152,0.6454797775594193,0.4569507271873914,0.466442968236095,0.40412937337814236,0.0,0.42875729191071366,0.408731473391692,0.3762428823338092,0.355510266314514,0.3734452109166386,0.5901471750194602,0.3940216028955479,0.38659282591955146
relationship,0.44408999886912703,0.2971933934112152,0.5155106521497554,0.08988706819772185,0.18318805399167415,0.11101694588530975,0.42875729191071366,0.0,0.14882959927584893,0.0765033648809097,0.0821651877158237,0.11084823161727264,0.512331185670565,0.13160029029235587,0.1230513764219554
race,0.35933439603253337,0.3431017174338402,0.5520872784967903,0.12118706565289927,0.2226632166628374,0.15146789674623418,0.408731473391692,0.14882959927584893,0.0,0.11832979498877583,0.128710652925349,0.15899068805431227,0.47118971496938356,0.18346661511533624,0.16234886928281522
sex,0.32325563596908236,0.2680753568668537,0.5003395938609525,0.014677518882632579,0.14037625394284348,0.06375324165921192,0.3762428823338092,0.0765033648809097,0.11832979498877583,0.0,0.012162120574629509,0.04615810216924743,0.48330515279946984,0.08540729395041946,0.060173246662696855
capital.gain,0.11944319981549945,0.2714541841285595,0.06295106636796965,0.03297371436683472,0.14240669816639784,0.06667126213490115,0.355510266314514,0.0821651877158237,0.128710652925349,0.012162120574629509,0.0,0.321602208496103,0.15910618225718975,0.095174169113729,0.06038822117286202
capital.loss,0.13607024723241068,0.29792610690785337,0.06773440830885247,0.04748266610280705,0.15197080291464005,0.09452888343830601,0.3734452109166386,0.11084823161727264,0.15899068805431227,0.04615810216924743,0.321602208496103,0.0,0.17240718827126944,0.1263755197996288,0.08274556645770226
hours.per.week,0.1623449646599412,0.48236510001488486,0.02256920871922541,0.47527281226155726,0.08407491059754257,0.48837037204529077,0.5901471750194602,0.512331185670565,0.47118971496938356,0.48330515279946984,0.15910618225718975,0.17240718827126944,0.0,0.47069830693700454,0.46523180093291716
native.country,0.3475719476533691,0.32826892891359893,0.5390049891574942,0.08967617913501846,0.19173667361932112,0.12517906463412531,0.3940216028955479,0.13160029029235587,0.18346661511533624,0.08540729395041946,0.095174169113729,0.1263755197996288,0.47069830693700454,0.0,0.12807536773120143
income,0.3373451974727626,0.2680753568668537,0.5003395938609524,0.07371743676747744,0.19508908316304419,0.10556506148266465,0.38659282591955146,0.1230513764219554,0.16234886928281522,0.060173246662696855,0.06038822117286202,0.08274556645770226,0.46523180093291716,0.12807536773120143,0.0
