,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.9211395016890327,0.9773661468508636,0.9213580184292687,0.9942140121709933,0.8488481652391253,0.8948822403154355,0.8612883150370548,0.9335852270099064,0.9364001342622139,0.9866726065361254,0.9962523452936284,0.9661087233012858,0.926277100879868,0.9435305905819489
workclass,0.9211395016890327,1.0,0.953587143963722,0.9559946117663407,0.7112703560437661,0.9609849047356266,0.8661418643451728,0.9569267652646973,0.9715753729106285,0.9696376372575486,0.9821455760590697,0.9826366785316663,0.8216245880290233,0.9712727932791273,0.9698955561203507
fnlwgt,0.9773661468508636,0.953587143963722,1.0,0.9463072839997332,0.9859805412953884,0.9562182287143038,0.9189034302903193,0.9397381145939872,0.9482738516703115,0.9608385680062265,0.9929374128334186,0.9995987804244986,0.9888264621096867,0.9477544075848057,0.9608385680062264
education,0.9213580184292687,0.9559946117663407,0.9463072839997332,1.0,0.6894039698824888,0.9577102130022538,0.8836406166993129,0.9333428577449231,0.9644838358535565,0.968834207419156,0.9709371075655161,0.9697707821035009,0.8329324351263951,0.9435744667033052,0.9652528581515062
education.num,0.9942140121709933,0.7112703560437661,0.9859805412953884,0.6894039698824888,1.0,0.7116692285025168,0.6923234691166315,0.7069408304455481,0.7125909552448397,0.7152005942255041,0.9932591476942352,0.9972385570447898,0.9933265762586908,0.6979726772365755,0.7111472343131473
marital.status,0.8488481652391253,0.9609849047356266,0.9562182287143038,0.9577102130022538,0.7116692285025168,1.0,0.9201613821913014,0.8948947267707437,0.9743409718676691,0.9583112868177941,0.9810014168844836,0.9774895428577435,0.8372009355320087,0.9632244429175508,0.965383411397822
occupation,0.8948822403154355,0.8661418643451728,0.9189034302903193,0.8836406166993129,0.6923234691166315,0.9201613821913014,1.0,0.9020430677686103,0.9284184713800749,0.8717890014488137,0.9341990702064794,0.934222194669029,0.7821126714200753,0.9171449827826871,0.9106884593110671
relationship,0.8612883150370548,0.9569267652646973,0.9397381145939872,0.9333428577449231,0.7069408304455481,0.8948947267707437,0.9020430677686103,1.0,0.9564666375004196,0.9075500132895872,0.9663985036292316,0.9645242829151318,0.8250668925062791,0.9574397737330566,0.9564868912099512
race,0.9335852270099064,0.9715753729106285,0.9482738516703115,0.9644838358535565,0.7125909552448397,0.9743409718676691,0.9284184713800749,0.9564666375004196,1.0,0.9807054124468201,0.9859021506587632,0.9860544854135228,0.8422560071751775,0.9357609710994692,0.9853676322906555
sex,0.9364001342622139,0.9696376372575486,0.9608385680062265,0.968834207419156,0.7152005942255041,0.9583112868177941,0.8717890014488137,0.9075500132895872,0.9807054124468201,1.0,0.9898646574624667,0.9889115485987816,0.8401382477697663,0.9817629586262775,0.9895738135900181
capital.gain,0.9866726065361254,0.9821455760590697,0.9929374128334186,0.9709371075655161,0.9932591476942352,0.9810014168844836,0.9341990702064794,0.9663985036292316,0.9859021506587632,0.9898646574624667,1.0,0.9639003582797386,0.9812845397389953,0.9800355952249109,0.9679227263604033
capital.loss,0.9962523452936284,0.9826366785316663,0.9995987804244986,0.9697707821035009,0.9972385570447898,0.9774895428577435,0.934222194669029,0.9645242829151318,0.9860544854135228,0.9889115485987816,0.9639003582797386,1.0,0.9953861449877266,0.9805257244330152,0.9732358488983789
hours.per.week,0.9661087233012858,0.8216245880290233,0.9888264621096867,0.8329324351263951,0.9933265762586908,0.8372009355320087,0.7821126714200753,0.8250668925062791,0.8422560071751775,0.8401382477697663,0.9812845397389953,0.9953861449877266,1.0,0.8332624623255163,0.8408736434022728
native.country,0.926277100879868,0.9712727932791273,0.9477544075848057,0.9435744667033052,0.6979726772365755,0.9632244429175508,0.9171449827826871,0.9574397737330566,0.9357609710994692,0.9817629586262775,0.9800355952249109,0.9805257244330152,0.8332624623255163,1.0,0.9743437483121123
income,0.9435305905819489,0.9698955561203507,0.9608385680062264,0.9652528581515062,0.7111472343131473,0.965383411397822,0.9106884593110671,0.9564868912099512,0.9853676322906555,0.9895738135900181,0.9679227263604033,0.9732358488983789,0.8408736434022728,0.9743437483121123,1.0
