,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.07689241038616257,0.02674011137122856,0.06417966353884352,0.006961340300695507,0.1435683502263756,0.08533888628257713,0.09842489515206465,0.05332989205116101,0.04089907125745418,0.023245471473901214,0.020579569852060997,0.02156670624428525,0.057965581006723776,0.07923122531864435
workclass,0.07689241038616257,0.0,0.021138735148936383,0.04240806503996142,0.03341055545781413,0.04335806172067691,0.1696826812962957,0.041051583312334605,0.02673112423871382,0.02953574431167838,0.013398988850621518,0.008060576525218077,0.06688006509192923,0.02424567456173543,0.01758094793562337
fnlwgt,0.02674011137122856,0.021138735148936383,0.0,0.022302480328344143,0.0053278803207686964,0.021982238586947922,0.03105021553621201,0.019120214770652733,0.02619158110973896,0.013173640397224351,0.00032304803833771434,0.0023064295670746082,0.01036842302185359,0.0335311874420573,0.013723444299141296
education,0.06417966353884352,0.04240806503996142,0.022302480328344143,0.0,0.42872497047594615,0.047391680962149074,0.16147622072283663,0.05958131700657254,0.025754683433614645,0.021168012302908212,0.017435592015401458,0.01304521475235687,0.06442820435696417,0.04363636632501533,0.06499224130899517
education.num,0.006961340300695507,0.03341055545781413,0.0053278803207686964,0.42872497047594615,0.0,0.037222700442143486,0.09560657015700513,0.043641504256172414,0.034050733380824094,0.03156697748584969,0.017310352735137036,0.02179373357742065,0.025190376970888106,0.04450514446108278,0.0442178994038499
marital.status,0.1435683502263756,0.04335806172067691,0.021982238586947922,0.047391680962149074,0.037222700442143486,0.0,0.07315863959986424,0.3435049129976613,0.028843941874803658,0.10454421642819012,0.016871434348394665,0.019071864650506254,0.06656946923156715,0.029002391597555688,0.10307148240653541
occupation,0.08533888628257713,0.1696826812962957,0.03105021553621201,0.16147622072283663,0.09560657015700513,0.07315863959986424,0.0,0.09124241445010772,0.030579974120369058,0.11433194510356703,0.019672214176191805,0.02127658410660138,0.11927876181985397,0.04080691669046821,0.07155634068575811
relationship,0.09842489515206465,0.041051583312334605,0.019120214770652733,0.05958131700657254,0.043641504256172414,0.3435049129976613,0.09124241445010772,0.0,0.03217965125609479,0.156414192879188,0.015394758228311822,0.01616324485355658,0.0795946679320011,0.02776494992542866,0.10350172566961935
race,0.05332989205116101,0.02673112423871382,0.02619158110973896,0.025754683433614645,0.034050733380824094,0.028843941874803658,0.030579974120369058,0.03217965125609479,0.0,0.020186739126434428,0.019848095895916407,0.014136621482523148,0.05014357876943776,0.0457230718029048,0.02538696298330345
sex,0.04089907125745418,0.02953574431167838,0.013173640397224351,0.021168012302908212,0.03156697748584969,0.10454421642819012,0.11433194510356703,0.156414192879188,0.020186739126434428,0.0,0.010903048287778438,0.007852018770484581,0.055695600016842706,0.013270329320488328,0.047690650461405415
capital.gain,0.023245471473901214,0.013398988850621518,0.00032304803833771434,0.017435592015401458,0.017310352735137036,0.016871434348394665,0.019672214176191805,0.015394758228311822,0.019848095895916407,0.010903048287778438,0.0,0.015667612594237323,0.027371495906684307,0.019076142487460812,0.01884178945133841
capital.loss,0.020579569852060997,0.008060576525218077,0.0023064295670746082,0.01304521475235687,0.02179373357742065,0.019071864650506254,0.02127658410660138,0.01616324485355658,0.014136621482523148,0.007852018770484581,0.015667612594237323,0.0,0.021514614670736343,0.013672091393972075,0.01764354996759898
hours.per.week,0.02156670624428525,0.06688006509192923,0.01036842302185359,0.06442820435696417,0.025190376970888106,0.06656946923156715,0.11927876181985397,0.0795946679320011,0.05014357876943776,0.055695600016842706,0.027371495906684307,0.021514614670736343,0.0,0.046947638468395336,0.060544430123876
native.country,0.057965581006723776,0.02424567456173543,0.0335311874420573,0.04363636632501533,0.04450514446108278,0.029002391597555688,0.04080691669046821,0.02776494992542866,0.0457230718029048,0.013270329320488328,0.019076142487460812,0.013672091393972075,0.046947638468395336,0.0,0.022312571345851517
income,0.07923122531864435,0.01758094793562337,0.013723444299141296,0.06499224130899517,0.0442178994038499,0.10307148240653541,0.07155634068575811,0.10350172566961935,0.02538696298330345,0.047690650461405415,0.01884178945133841,0.01764354996759898,0.060544430123876,0.022312571345851517,0.0
