,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.9231075896138374,0.9732598886287714,0.9358203364611565,0.9930386596993045,0.8564316497736244,0.9146611137174229,0.9015751048479353,0.946670107948839,0.9591009287425458,0.9767545285260988,0.979420430147939,0.9784332937557148,0.9420344189932762,0.9207687746813557
workclass,0.9231075896138374,1.0,0.9788612648510636,0.9575919349600386,0.9665894445421859,0.9566419382793231,0.8303173187037043,0.9589484166876654,0.9732688757612862,0.9704642556883216,0.9866010111493785,0.9919394234747819,0.9331199349080708,0.9757543254382646,0.9824190520643766
fnlwgt,0.9732598886287714,0.9788612648510636,1.0,0.9776975196716559,0.9946721196792313,0.9780177614130521,0.968949784463788,0.9808797852293473,0.973808418890261,0.9868263596027756,0.9996769519616623,0.9976935704329254,0.9896315769781464,0.9664688125579427,0.9862765557008587
education,0.9358203364611565,0.9575919349600386,0.9776975196716559,1.0,0.5712750295240538,0.9526083190378509,0.8385237792771634,0.9404186829934275,0.9742453165663854,0.9788319876970918,0.9825644079845985,0.9869547852476431,0.9355717956430358,0.9563636336749847,0.9350077586910048
education.num,0.9930386596993045,0.9665894445421859,0.9946721196792313,0.5712750295240538,1.0,0.9627772995578565,0.9043934298429949,0.9563584957438276,0.9659492666191759,0.9684330225141503,0.982689647264863,0.9782062664225794,0.9748096230291119,0.9554948555389172,0.9557821005961501
marital.status,0.8564316497736244,0.9566419382793231,0.9780177614130521,0.9526083190378509,0.9627772995578565,1.0,0.9268413604001358,0.6564950870023387,0.9711560581251963,0.8954557835718099,0.9831285656516053,0.9809281353494937,0.9334305307684329,0.9709976084024443,0.8969285175934646
occupation,0.9146611137174229,0.8303173187037043,0.968949784463788,0.8385237792771634,0.9043934298429949,0.9268413604001358,1.0,0.9087575855498923,0.9694200258796309,0.885668054896433,0.9803277858238082,0.9787234158933986,0.880721238180146,0.9591930833095318,0.9284436593142419
relationship,0.9015751048479353,0.9589484166876654,0.9808797852293473,0.9404186829934275,0.9563584957438276,0.6564950870023387,0.9087575855498923,1.0,0.9678203487439052,0.843585807120812,0.9846052417716882,0.9838367551464434,0.9204053320679989,0.9722350500745713,0.8964982743303807
race,0.946670107948839,0.9732688757612862,0.973808418890261,0.9742453165663854,0.9659492666191759,0.9711560581251963,0.9694200258796309,0.9678203487439052,1.0,0.9798132608735656,0.9801519041040836,0.9858633785174769,0.9498564212305622,0.9542769281970952,0.9746130370166965
sex,0.9591009287425458,0.9704642556883216,0.9868263596027756,0.9788319876970918,0.9684330225141503,0.8954557835718099,0.885668054896433,0.843585807120812,0.9798132608735656,1.0,0.9890969517122216,0.9921479812295154,0.9443043999831573,0.9867296706795117,0.9523093495385946
capital.gain,0.9767545285260988,0.9866010111493785,0.9996769519616623,0.9825644079845985,0.982689647264863,0.9831285656516053,0.9803277858238082,0.9846052417716882,0.9801519041040836,0.9890969517122216,1.0,0.9843323874057627,0.9726285040933157,0.9809238575125392,0.9811582105486616
capital.loss,0.979420430147939,0.9919394234747819,0.9976935704329254,0.9869547852476431,0.9782062664225794,0.9809281353494937,0.9787234158933986,0.9838367551464434,0.9858633785174769,0.9921479812295154,0.9843323874057627,1.0,0.9784853853292637,0.9863279086060279,0.982356450032401
hours.per.week,0.9784332937557148,0.9331199349080708,0.9896315769781464,0.9355717956430358,0.9748096230291119,0.9334305307684329,0.880721238180146,0.9204053320679989,0.9498564212305622,0.9443043999831573,0.9726285040933157,0.9784853853292637,1.0,0.9530523615316047,0.939455569876124
native.country,0.9420344189932762,0.9757543254382646,0.9664688125579427,0.9563636336749847,0.9554948555389172,0.9709976084024443,0.9591930833095318,0.9722350500745713,0.9542769281970952,0.9867296706795117,0.9809238575125392,0.9863279086060279,0.9530523615316047,1.0,0.9776874286541485
income,0.9207687746813557,0.9824190520643766,0.9862765557008587,0.9350077586910048,0.9557821005961501,0.8969285175934646,0.9284436593142419,0.8964982743303807,0.9746130370166965,0.9523093495385946,0.9811582105486616,0.982356450032401,0.939455569876124,0.9776874286541485,1.0
