,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.08184072472261794,0.018918384977426816,0.10860838033087994,0.022484371709268203,0.11074390747178997,0.07860954319333102,0.10557940015838252,0.06405724723636452,0.05305347739066224,0.021625266745975535,0.00851258853263781,0.04550122292111314,0.07376023777108065,0.0691911608480954
workclass,0.08184072472261794,0.0,0.05836585677706807,0.08876983600742283,0.040734959247869074,0.0408628907158044,0.10772425630351534,0.057663367292493106,0.04703554160482759,0.03511533761402219,0.0403996017280982,0.04098480529666526,0.08582585426725287,0.06663010587284313,0.04369352486605149
fnlwgt,0.018918384977426816,0.05836585677706807,0.0,0.0922783149254689,0.017517948343094503,0.04825857669906275,0.06021144540784806,0.06803966069404432,0.05986423895873494,0.04208843441813015,0.0038284303811375597,0.0011814149209098401,0.014632838508164436,0.06631202191163921,0.04494759879843635
education,0.10860838033087994,0.08876983600742283,0.0922783149254689,0.0,0.5485505447297233,0.08985496178650498,0.12950818659164287,0.10182892543730948,0.08071924110176532,0.07587150497420014,0.07729078112329524,0.07910271290988802,0.11318616759383693,0.09565436197038857,0.08535927202411342
education.num,0.022484371709268203,0.040734959247869074,0.017517948343094503,0.5485505447297233,0.0,0.03162171795502711,0.05886748785895923,0.05081052523832885,0.03099506388164841,0.017342720703246828,0.015003984462469533,0.013435533077437278,0.014508389706403668,0.049279685817546826,0.023112360873255522
marital.status,0.11074390747178997,0.0408628907158044,0.04825857669906275,0.08985496178650498,0.03162171795502711,0.0,0.04563147931502487,0.0736310350235565,0.03376001399569428,0.023635554667696845,0.0241123825944064,0.024512703632866617,0.06521594879319015,0.0437065583110936,0.028731748621836695
occupation,0.07860954319333102,0.10772425630351534,0.06021144540784806,0.12950818659164287,0.05886748785895923,0.04563147931502487,0.0,0.06205953510203255,0.049126230676918015,0.07834718051048262,0.03982136567703998,0.042278432245336006,0.10447346990769169,0.0649408016399371,0.051404258074404074
relationship,0.10557940015838252,0.057663367292493106,0.06803966069404432,0.10182892543730948,0.05081052523832885,0.0736310350235565,0.06205953510203255,0.0,0.05459167665262443,0.07107159461110546,0.04413920832900742,0.04527659992026323,0.0881916527691664,0.06361137515625892,0.05099877269838582
race,0.06405724723636452,0.04703554160482759,0.05986423895873494,0.08071924110176532,0.03099506388164841,0.03376001399569428,0.049126230676918015,0.05459167665262443,0.0,0.02303755908403915,0.034127670316174585,0.03271496558857401,0.07968410641203172,0.05887977060774574,0.03760989372698664
sex,0.05305347739066224,0.03511533761402219,0.04208843441813015,0.07587150497420014,0.017342720703246828,0.023635554667696845,0.07834718051048262,0.07107159461110546,0.02303755908403915,0.0,0.012745577548390674,0.01329952348291441,0.06014820962224954,0.03556616655282108,0.02106838095210939
capital.gain,0.021625266745975535,0.0403996017280982,0.0038284303811375597,0.07729078112329524,0.015003984462469533,0.0241123825944064,0.03982136567703998,0.04413920832900742,0.034127670316174585,0.012745577548390674,0.0,0.0382024719585653,0.009662048029926429,0.04625331233405794,0.019606990365835797
capital.loss,0.00851258853263781,0.04098480529666526,0.0011814149209098401,0.07910271290988802,0.013435533077437278,0.024512703632866617,0.042278432245336006,0.04527659992026323,0.03271496558857401,0.01329952348291441,0.0382024719585653,0.0,0.00837904708141246,0.04539343315511202,0.028298461077957082
hours.per.week,0.04550122292111314,0.08582585426725287,0.014632838508164436,0.11318616759383693,0.014508389706403668,0.06521594879319015,0.10447346990769169,0.0881916527691664,0.07968410641203172,0.06014820962224954,0.009662048029926429,0.00837904708141246,0.0,0.08459453510780435,0.06010859247613276
native.country,0.07376023777108065,0.06663010587284313,0.06631202191163921,0.09565436197038857,0.049279685817546826,0.0437065583110936,0.0649408016399371,0.06361137515625892,0.05887977060774574,0.03556616655282108,0.04625331233405794,0.04539343315511202,0.08459453510780435,0.0,0.04773977391186557
income,0.0691911608480954,0.04369352486605149,0.04494759879843635,0.08535927202411342,0.023112360873255522,0.028731748621836695,0.051404258074404074,0.05099877269838582,0.03760989372698664,0.02106838095210939,0.019606990365835797,0.028298461077957082,0.06010859247613276,0.04773977391186557,0.0
