,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.9181592752773821,0.9810816150225732,0.8913916196691201,0.9775156282907318,0.88925609252821,0.921390456806669,0.8944205998416175,0.9359427527636355,0.9469465226093378,0.9783747332540245,0.9914874114673622,0.9544987770788869,0.9262397622289193,0.9308088391519046
workclass,0.9181592752773821,1.0,0.9416341432229319,0.9112301639925772,0.9592650407521309,0.9591371092841956,0.8922757436964847,0.9423366327075069,0.9529644583951724,0.9648846623859778,0.9596003982719018,0.9590151947033347,0.9141741457327471,0.9333698941271569,0.9563064751339485
fnlwgt,0.9810816150225732,0.9416341432229319,1.0,0.9077216850745311,0.9824820516569055,0.9517414233009373,0.9397885545921519,0.9319603393059557,0.9401357610412651,0.9579115655818699,0.9961715696188624,0.9988185850790902,0.9853671614918356,0.9336879780883608,0.9550524012015636
education,0.8913916196691201,0.9112301639925772,0.9077216850745311,1.0,0.4514494552702767,0.910145038213495,0.8704918134083571,0.8981710745626905,0.9192807588982347,0.9241284950257999,0.9227092188767048,0.920897287090112,0.8868138324061631,0.9043456380296114,0.9146407279758866
education.num,0.9775156282907318,0.9592650407521309,0.9824820516569055,0.4514494552702767,1.0,0.9683782820449729,0.9411325121410408,0.9491894747616711,0.9690049361183516,0.9826572792967532,0.9849960155375305,0.9865644669225627,0.9854916102935963,0.9507203141824532,0.9768876391267445
marital.status,0.88925609252821,0.9591371092841956,0.9517414233009373,0.910145038213495,0.9683782820449729,1.0,0.9543685206849751,0.9263689649764435,0.9662399860043057,0.9763644453323032,0.9758876174055936,0.9754872963671334,0.9347840512068099,0.9562934416889064,0.9712682513781633
occupation,0.921390456806669,0.8922757436964847,0.9397885545921519,0.8704918134083571,0.9411325121410408,0.9543685206849751,1.0,0.9379404648979675,0.950873769323082,0.9216528194895174,0.96017863432296,0.957721567754664,0.8955265300923083,0.9350591983600629,0.9485957419255959
relationship,0.8944205998416175,0.9423366327075069,0.9319603393059557,0.8981710745626905,0.9491894747616711,0.9263689649764435,0.9379404648979675,1.0,0.9454083233473756,0.9289284053888945,0.9558607916709926,0.9547234000797368,0.9118083472308336,0.9363886248437411,0.9490012273016142
race,0.9359427527636355,0.9529644583951724,0.9401357610412651,0.9192807588982347,0.9690049361183516,0.9662399860043057,0.950873769323082,0.9454083233473756,1.0,0.9769624409159609,0.9658723296838254,0.967285034411426,0.9203158935879683,0.9411202293922543,0.9623901062730134
sex,0.9469465226093378,0.9648846623859778,0.9579115655818699,0.9241284950257999,0.9826572792967532,0.9763644453323032,0.9216528194895174,0.9289284053888945,0.9769624409159609,1.0,0.9872544224516093,0.9867004765170856,0.9398517903777505,0.9644338334471789,0.9789316190478906
capital.gain,0.9783747332540245,0.9596003982719018,0.9961715696188624,0.9227092188767048,0.9849960155375305,0.9758876174055936,0.96017863432296,0.9558607916709926,0.9658723296838254,0.9872544224516093,1.0,0.9617975280414347,0.9903379519700736,0.9537466876659421,0.9803930096341642
capital.loss,0.9914874114673622,0.9590151947033347,0.9988185850790902,0.920897287090112,0.9865644669225627,0.9754872963671334,0.957721567754664,0.9547234000797368,0.967285034411426,0.9867004765170856,0.9617975280414347,1.0,0.9916209529185875,0.954606566844888,0.9717015389220429
hours.per.week,0.9544987770788869,0.9141741457327471,0.9853671614918356,0.8868138324061631,0.9854916102935963,0.9347840512068099,0.8955265300923083,0.9118083472308336,0.9203158935879683,0.9398517903777505,0.9903379519700736,0.9916209529185875,1.0,0.9154054648921957,0.9398914075238672
native.country,0.9262397622289193,0.9333698941271569,0.9336879780883608,0.9043456380296114,0.9507203141824532,0.9562934416889064,0.9350591983600629,0.9363886248437411,0.9411202293922543,0.9644338334471789,0.9537466876659421,0.954606566844888,0.9154054648921957,1.0,0.9522602260881344
income,0.9308088391519046,0.9563064751339485,0.9550524012015636,0.9146407279758866,0.9768876391267445,0.9712682513781633,0.9485957419255959,0.9490012273016142,0.9623901062730134,0.9789316190478906,0.9803930096341642,0.9717015389220429,0.9398914075238672,0.9522602260881344,1.0
