,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,0.0,0.10669450570949757,0.19086071045961306,0.1161454922535553,0.28675718553573326,0.9392685300690572,0.8685027891512355,0.862012211312454,0.18733264350454193,0.0631489432788559,0.06047527171197731,0.05430420588445095
month,0.10669450570949757,0.0,0.23213871671587438,0.15797863287233493,0.29604011246934914,0.9617191523501839,0.9338951581441444,0.9129589770580603,0.2433219174002622,0.12595673484906178,0.09776430520639401,0.09374747539517991
day,0.19086071045961306,0.23213871671587438,0.0,0.2583923900019528,0.33191663494182133,0.9392686001416716,0.8748901563991452,0.8726273142006472,0.2531227382869261,0.1890751392084855,0.18770600313489583,0.18386688384420702
hour,0.1161454922535553,0.15797863287233493,0.2583923900019528,0.0,0.2928281940400388,0.9392686001416715,0.8822873146131838,0.8689288752388569,0.23150880213324487,0.10908044001066275,0.1036995894267152,0.10094840480776113
pm2.5,0.28675718553573326,0.29604011246934914,0.33191663494182133,0.2928281940400388,0.0,0.07696832212185156,0.034703213476594885,0.023326279039200926,0.30811026045646805,0.12045951346349204,0.0025186180730811802,0.018641469690161006
DEWP,0.9392685300690572,0.9617191523501839,0.9392686001416716,0.9392686001416715,0.07696832212185156,0.0,0.4063503616235762,0.3901283024228599,0.9410737726141367,0.13833561520641302,0.00894966889860438,0.06798397656101829
TEMP,0.8685027891512355,0.9338951581441444,0.8748901563991452,0.8822873146131838,0.034703213476594885,0.4063503616235762,0.0,0.4071833362858258,0.879145411466201,0.06960610289187408,0.04391867770473057,0.02298166512005806
PRES,0.862012211312454,0.9129589770580603,0.8726273142006472,0.8689288752388569,0.023326279039200926,0.3901283024228599,0.4071833362858258,0.0,0.8724390227153375,0.08399741544132044,0.031323294919762934,0.04361799815135847
cbwd,0.18733264350454193,0.2433219174002622,0.2531227382869261,0.23150880213324487,0.30811026045646805,0.9410737726141367,0.879145411466201,0.8724390227153375,0.0,0.19924917958027444,0.1953915802300794,0.19435448005502154
Iws,0.0631489432788559,0.12595673484906178,0.1890751392084855,0.10908044001066275,0.12045951346349204,0.13833561520641302,0.06960610289187408,0.08399741544132044,0.19924917958027444,0.0,0.005133514914726245,0.006691732626608826
Is,0.06047527171197731,0.09776430520639401,0.18770600313489583,0.1036995894267152,0.0025186180730811802,0.00894966889860438,0.04391867770473057,0.031323294919762934,0.1953915802300794,0.005133514914726245,0.0,0.016118519740377923
Ir,0.05430420588445095,0.09374747539517991,0.18386688384420702,0.10094840480776113,0.018641469690161006,0.06798397656101829,0.02298166512005806,0.04361799815135847,0.19435448005502154,0.006691732626608826,0.016118519740377923,0.0
