,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.952789098362547,0.9201202581113288,0.9282808638302198,0.955731447444004,0.9033324267635752,0.9025367840774942,0.915043892147952,0.9599962132759142,0.9547768418468863,0.9820522757756921,0.9812565821277096
month,0.952789098362547,1.0,0.8697420105976039,0.8955226172931797,0.9352134023889181,0.7515542583656541,0.7540176165355674,0.7719189080974346,0.9165415477667113,0.9390924949210413,0.9802176473242001,0.9778005816714986
day,0.9201202581113288,0.8697420105976039,1.0,0.8292817199009805,0.9163971918106721,0.8568244426325506,0.8660337805805012,0.8572219582041826,0.9264654798667555,0.9323557137662123,0.9607456653685863,0.9549990038859342
hour,0.9282808638302198,0.8955226172931797,0.8292817199009805,1.0,0.9324587141392406,0.8740467178197602,0.8557247357615856,0.8878693245625523,0.8841211531552036,0.9409861818460533,0.9677698334260564,0.9625165404813889
pm2.5,0.955731447444004,0.9352134023889181,0.9163971918106721,0.9324587141392406,1.0,0.9465729774590648,0.9662019087366163,0.9777335381075715,0.9262651167810445,0.9324663032083483,0.991878611924884,0.9818430490140799
DEWP,0.9033324267635752,0.7515542583656541,0.8568244426325506,0.8740467178197602,0.9465729774590648,1.0,0.994327521316527,0.9865115109790195,0.9047517857910243,0.9560405599082542,0.9989002524037873,0.9535220111931852
TEMP,0.9025367840774942,0.7540176165355674,0.8660337805805012,0.8557247357615856,0.9662019087366163,0.994327521316527,1.0,0.9735267170915773,0.8913059021640806,0.9885043463097007,0.9700965790750607,0.9987947479243235
PRES,0.915043892147952,0.7719189080974346,0.8572219582041826,0.8878693245625523,0.9777335381075715,0.9865115109790195,0.9735267170915773,1.0,0.919089343437057,0.9747152453146845,0.9705734691644609,0.9749839753432685
cbwd,0.9599962132759142,0.9165415477667113,0.9264654798667555,0.8841211531552036,0.9262651167810445,0.9047517857910243,0.8913059021640806,0.919089343437057,1.0,0.9291701044185153,0.9899128178189613,0.9841648950292488
Iws,0.9547768418468863,0.9390924949210413,0.9323557137662123,0.9409861818460533,0.9324663032083483,0.9560405599082542,0.9885043463097007,0.9747152453146845,0.9291701044185153,1.0,0.984460179796159,0.9867043327553714
Is,0.9820522757756921,0.9802176473242001,0.9607456653685863,0.9677698334260564,0.991878611924884,0.9989002524037873,0.9700965790750607,0.9705734691644609,0.9899128178189613,0.984460179796159,1.0,0.9978539602592573
Ir,0.9812565821277096,0.9778005816714986,0.9549990038859342,0.9625165404813889,0.9818430490140799,0.9535220111931852,0.9987947479243235,0.9749839753432685,0.9841648950292488,0.9867043327553714,0.9978539602592573,1.0
