,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,0.0,0.07405682866100394,0.10031575739316723,0.07628990910906652,0.05405982445637958,0.04922762970323091,0.04737791015867787,0.06001402828260671,0.04086646979149844,0.03418593146513538,0.020283238094245593,0.023929230889226494
month,0.07405682866100394,0.0,0.15019278823608717,0.12954082167428016,0.07768186974425928,0.17361308809667952,0.160694258824566,0.13602833542873816,0.07783343043911306,0.06446121861092458,0.050184534956150495,0.051303002177079615
day,0.10031575739316723,0.15019278823608717,0.0,0.18149625722418394,0.09633294465115794,0.12987308690136823,0.1195761646447554,0.1395815393416897,0.09110922234979546,0.08200008187029462,0.06378686525024768,0.06783939387341376
hour,0.07628990910906652,0.12954082167428016,0.18149625722418394,0.0,0.08183300327645537,0.10293591259330626,0.11671483224609724,0.10943719243138816,0.1338796160382557,0.07663720172683897,0.05506320696340361,0.058442484277011264
pm2.5,0.05405982445637958,0.07768186974425928,0.09633294465115794,0.08183300327645537,0.0,0.007657391635550903,0.012846433989899375,0.0008287499924420905,0.06100707826411578,0.01230522294378622,0.013917682828090139,0.01572255257188293
DEWP,0.04922762970323091,0.17361308809667952,0.12987308690136823,0.10293591259330626,0.007657391635550903,0.0,0.004200082401294214,0.0017563972027616614,0.05459021044551571,0.0171616385302229,0.007767877351424923,0.021609959434276793
TEMP,0.04737791015867787,0.160694258824566,0.1195761646447554,0.11671483224609724,0.012846433989899375,0.004200082401294214,0.0,0.001918136438525675,0.061776182540027036,0.012025206768706442,0.025759108648177653,0.0011295860070911212
PRES,0.06001402828260671,0.13602833542873816,0.1395815393416897,0.10943719243138816,0.0008287499924420905,0.0017563972027616614,0.001918136438525675,0.0,0.058265175081459786,0.012747951714753625,0.010497827094257284,0.007427956004374736
cbwd,0.04086646979149844,0.07783343043911306,0.09110922234979546,0.1338796160382557,0.06100707826411578,0.05459021044551571,0.061776182540027036,0.058265175081459786,0.0,0.05518824198856298,0.026904227438787176,0.033025019350552465
Iws,0.03418593146513538,0.06446121861092458,0.08200008187029462,0.07663720172683897,0.01230522294378622,0.0171616385302229,0.012025206768706442,0.012747951714753625,0.05518824198856298,0.0,0.00035089981675584525,0.004762623972891622
Is,0.020283238094245593,0.050184534956150495,0.06378686525024768,0.05506320696340361,0.013917682828090139,0.007767877351424923,0.025759108648177653,0.010497827094257284,0.026904227438787176,0.00035089981675584525,0.0,0.002699465631834541
Ir,0.023929230889226494,0.051303002177079615,0.06783939387341376,0.058442484277011264,0.01572255257188293,0.021609959434276793,0.0011295860070911212,0.007427956004374736,0.033025019350552465,0.004762623972891622,0.002699465631834541,0.0
