,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.9259431713389961,0.8996842426068328,0.9237100908909335,0.9459401755436204,0.9507723702967691,0.9526220898413221,0.9399859717173933,0.9591335302085016,0.9658140685348646,0.9797167619057544,0.9760707691107735
month,0.9259431713389961,1.0,0.8498072117639128,0.8704591783257198,0.9223181302557407,0.8263869119033205,0.839305741175434,0.8639716645712618,0.9221665695608869,0.9355387813890754,0.9498154650438495,0.9486969978229204
day,0.8996842426068328,0.8498072117639128,1.0,0.8185037427758161,0.9036670553488421,0.8701269130986318,0.8804238353552446,0.8604184606583103,0.9088907776502045,0.9179999181297054,0.9362131347497523,0.9321606061265862
hour,0.9237100908909335,0.8704591783257198,0.8185037427758161,1.0,0.9181669967235446,0.8970640874066937,0.8832851677539028,0.8905628075686118,0.8661203839617443,0.923362798273161,0.9449367930365964,0.9415575157229887
pm2.5,0.9459401755436204,0.9223181302557407,0.9036670553488421,0.9181669967235446,1.0,0.9923426083644491,0.9871535660101006,0.9991712500075579,0.9389929217358842,0.9876947770562138,0.9860823171719099,0.9842774474281171
DEWP,0.9507723702967691,0.8263869119033205,0.8701269130986318,0.8970640874066937,0.9923426083644491,1.0,0.9957999175987058,0.9982436027972383,0.9454097895544843,0.9828383614697771,0.9922321226485751,0.9783900405657232
TEMP,0.9526220898413221,0.839305741175434,0.8804238353552446,0.8832851677539028,0.9871535660101006,0.9957999175987058,1.0,0.9980818635614743,0.938223817459973,0.9879747932312936,0.9742408913518223,0.9988704139929089
PRES,0.9399859717173933,0.8639716645712618,0.8604184606583103,0.8905628075686118,0.9991712500075579,0.9982436027972383,0.9980818635614743,1.0,0.9417348249185402,0.9872520482852464,0.9895021729057427,0.9925720439956253
cbwd,0.9591335302085016,0.9221665695608869,0.9088907776502045,0.8661203839617443,0.9389929217358842,0.9454097895544843,0.938223817459973,0.9417348249185402,1.0,0.944811758011437,0.9730957725612128,0.9669749806494475
Iws,0.9658140685348646,0.9355387813890754,0.9179999181297054,0.923362798273161,0.9876947770562138,0.9828383614697771,0.9879747932312936,0.9872520482852464,0.944811758011437,1.0,0.9996491001832442,0.9952373760271084
Is,0.9797167619057544,0.9498154650438495,0.9362131347497523,0.9449367930365964,0.9860823171719099,0.9922321226485751,0.9742408913518223,0.9895021729057427,0.9730957725612128,0.9996491001832442,1.0,0.9973005343681655
Ir,0.9760707691107735,0.9486969978229204,0.9321606061265862,0.9415575157229887,0.9842774474281171,0.9783900405657232,0.9988704139929089,0.9925720439956253,0.9669749806494475,0.9952373760271084,0.9973005343681655,1.0
