,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.3255871118649005,0.30094617671299306,0.22194769564423422,0.03769097545653988,0.23410753752798308,0.2228021816265312,0.22354230256025787,0.22302321087222987,0.21942867802753696,0.21950334173141628,0.07037765061675672,0.08315513605707503,0.0940842126310828,0.09405475673270858,0.08943543770275131,0.094859888667854,0.08114659829544046,0.05962312172840167,0.08132771349884527,0.0965051757606239,0.05729176266444014,0.22866449482483753,0.24921986610860336
SEX,0.3255871118649005,0.0,0.3394805462238609,0.26532773953686606,0.45354763108049334,0.27337711621156213,0.26529070387152043,0.2625872977590116,0.2614756354254518,0.26151267109079757,0.2619944309268859,0.25814282045979486,0.2578094994716833,0.25777246380633767,0.25814282045979486,0.2580318121926224,0.2579946777984119,0.25818074468492236,0.2579206064677205,0.2578835708023748,0.2590317751569571,0.25899631915344545,0.26666112221817695,0.2958708960154153
EDUCATION,0.30094617671299306,0.3394805462238609,0.0,0.18361658418343096,0.38674320144707885,0.227332688790168,0.2391414384901711,0.22877431533044157,0.21737256303378305,0.20754142653904206,0.21068906317797031,0.16250133083424245,0.1755419329193888,0.17440300907808204,0.16705958080884142,0.17721505396501236,0.14803457795835395,0.14436933056436718,0.14555338583791944,0.1461085259026469,0.14414593182591706,0.145962555276286,0.1530062797358227,0.20722223611968116
MARRIAGE,0.22194769564423422,0.26532773953686606,0.18361658418343096,0.0,0.3333639475087752,0.08328963244119914,0.05723517145211443,0.057427976583635965,0.051826076122101994,0.056277970427274226,0.057118720756278885,0.05072923545934549,0.053652189884583645,0.0495150555409718,0.0543945815821969,0.05252829751291743,0.05018763359018097,0.05121899233346916,0.04966319820235465,0.05058869492053941,0.050738417243756384,0.0521459699846234,0.05614443963785709,0.11306780065324196
AGE,0.03769097545653988,0.45354763108049334,0.38674320144707885,0.3333639475087752,0.0,0.3529473114531987,0.3462473115358842,0.3465803363374018,0.34284151125704665,0.33831200372316417,0.3358183717657859,0.004190832238596842,0.0022368494189927146,0.0028488185626166507,0.00449756702087678,0.004124727034086506,0.0025538911473915737,0.003613485903086522,0.0010516271345109018,0.0035488510212565716,0.017202520028247292,0.016111799848030905,0.060268779484119794,0.34713824081033895
PAY_0,0.23410753752798308,0.27337711621156213,0.227332688790168,0.08328963244119914,0.3529473114531987,0.0,0.08614395796440877,0.12593230746720585,0.09224703082503971,0.08255118989817112,0.08140180079721338,0.06867880946959382,0.06456569092230424,0.06429240942499803,0.06322628578025069,0.0648567436152444,0.06504409397699495,0.06351980669480684,0.06214879597496237,0.0621124514116691,0.06270521951493002,0.0653363314163109,0.07274129245043448,0.12487179902663459
PAY_2,0.2228021816265312,0.26529070387152043,0.2391414384901711,0.05723517145211443,0.3462473115358842,0.08614395796440877,0.0,0.06098912673097456,0.05541964636036478,0.04213628233819222,0.046111451979372386,0.032159668861413415,0.030058582869818773,0.020256694801225605,0.026407268586853383,0.024797765953378237,0.024701764473629928,0.018630605718491844,0.01703728227770851,0.016444612903312228,0.018630408260762565,0.02137242970045139,0.028851659522995732,0.12431765859166166
PAY_3,0.22354230256025787,0.2625872977590116,0.22877431533044157,0.057427976583635965,0.3465803363374018,0.12593230746720585,0.06098912673097456,0.0,0.04148179635342719,0.04431338955555486,0.03816902334729089,0.03641214320113362,0.02619718590402087,0.02460813248663296,0.028066061605997006,0.03044466209496899,0.02999677860055805,0.022171380696391685,0.021058928531914933,0.020837701828486987,0.02239260739981974,0.024838244787878105,0.02959403887950096,0.11602621108199174
PAY_4,0.22302321087222987,0.2614756354254518,0.21737256303378305,0.051826076122101994,0.34284151125704665,0.09224703082503971,0.05541964636036478,0.04148179635342719,0.0,0.04291878263706306,0.05993582549752163,0.03322559504843148,0.026709403594848746,0.023456176435194598,0.026000295865725054,0.030855707381763464,0.024780982046390454,0.022516080186152254,0.020552696278505533,0.02081243958024881,0.02195975537504935,0.02610883591128177,0.03210752767977876,0.11373009855942118
PAY_5,0.21942867802753696,0.26151267109079757,0.20754142653904206,0.056277970427274226,0.33831200372316417,0.08255118989817112,0.04213628233819222,0.04431338955555486,0.04291878263706306,0.0,0.038772565237904955,0.02844740184564476,0.023287782015453784,0.017133073958619405,0.024049240725049437,0.02261542610618994,0.020399703561647442,0.01634100930098714,0.014580365116865779,0.015230136798344618,0.01678523982740665,0.020690657525723077,0.026450956109453805,0.10994081068813022
