,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.06902881563582852,0.10499358132798253,0.05964722868508909,0.024582376852917642,0.10725870532816606,0.10293883619722533,0.0768863991498655,0.07516804794313159,0.06798528855997432,0.07410052975317127,0.00466314618000907,0.0025741479203028605,0.0011790294098983356,0.0022199709926263855,0.0035074890208253162,0.002008015590475365,0.016257512478206393,0.008616706808590058,0.03717962792730323,0.01658731763087684,0.02593291245944751,0.03278444775606992,0.07162661888650357
SEX,0.06902881563582852,0.0,0.027640206989507532,0.02893544330574549,0.06486727058043595,0.05776998571183534,0.0668636299288704,0.040032567690576726,0.028312896108689478,0.03808929978909914,0.030625311235032537,0.022908527423071368,0.033123941341183016,0.02413228404131451,0.031203430443003444,0.029147340131465693,0.02265253581818416,0.019728495375435084,0.018135961765568753,0.019543415777571016,0.020173318275042318,0.021950931482772607,0.02172871749069827,0.03578774483786562
EDUCATION,0.10499358132798253,0.027640206989507532,0.0,0.06862605123255516,0.10162877821018412,0.11197535342496168,0.12008449808608546,0.10992990114858814,0.09282258308253011,0.08342125035886405,0.08604940039430575,0.03822717464856007,0.054486238991901303,0.05954234160752381,0.04103576402522813,0.053689521736523305,0.03629470521665179,0.008669258192407048,0.007770479973213895,0.008288880559189415,0.008891768371075304,0.011382376756974288,0.012641194463270389,0.03452539757465878
MARRIAGE,0.05964722868508909,0.02893544330574549,0.06862605123255516,0.0,0.18337646324353374,0.05667626734942277,0.0508447605720751,0.044809452735907085,0.04765358450384327,0.04884495805448652,0.03998848525251775,0.019595964215772366,0.02101914079946754,0.023250178659136367,0.029549006176119885,0.02332780422895464,0.019077662358661485,0.02107768701619539,0.020040490928785792,0.020003850178898608,0.02174492136560624,0.02355966896754691,0.023522435844472,0.029513809335877994
AGE,0.024582376852917642,0.06486727058043595,0.10162877821018412,0.18337646324353374,0.0,0.06893144429308351,0.07171234022322182,0.05470657713554761,0.05361299452532409,0.05437760021747995,0.0527705411234044,0.004257357872825107,0.0023388062141106447,0.005280390539675883,0.001963918480327509,0.005454940370022809,0.00033699070154213917,0.02717119286718006,6.406046573925739e-05,0.001346316180059648,0.014652165982431131,0.014206787194640857,0.012281512870791156,0.041594939632297434
PAY_0,0.10725870532816606,0.05776998571183534,0.11197535342496168,0.05667626734942277,0.06893144429308351,0.0,0.20576406015347337,0.10298864490943305,0.11053375156690426,0.09508079606218933,0.1038000727656414,0.06927768642135401,0.07658011752955551,0.06827355216248854,0.07473615852479132,0.06685533670424115,0.054682869866927386,0.05455933537505442,0.052040712673815714,0.054485264044363046,0.05430107300628073,0.05778252427764374,0.05622751997744646,0.08157335454062253
PAY_2,0.10293883619722533,0.0668636299288704,0.12008449808608546,0.0508447605720751,0.07171234022322182,0.20576406015347337,0.0,0.1395094268849879,0.11803438087085794,0.09731079726877956,0.1155712561326514,0.06622996339343501,0.07592501448938649,0.07127727914010518,0.06952120116597316,0.06946075441860111,0.0643868682662363,0.0467941373960985,0.04683117306144424,0.04716419786296189,0.046942280057481356,0.048386177361641636,0.04738670804163014,0.08312967933938442
PAY_3,0.0768863991498655,0.040032567690576726,0.10992990114858814,0.044809452735907085,0.05470657713554761,0.10298864490943305,0.1395094268849879,0.0,0.10863313453494838,0.07883928077453684,0.07764410616260509,0.047073453695255396,0.05089553189071294,0.04810303531898019,0.05473381396107846,0.041093224224444946,0.03443876299594273,0.024703652663166098,0.021666629375951763,0.02344453877027597,0.025555867881576377,0.02740844097977979,0.02711235311474325,0.05245579350295204
PAY_4,0.07516804794313159,0.028312896108689478,0.09282258308253011,0.04765358450384327,0.05361299452532409,0.11053375156690426,0.11803438087085794,0.10863313453494838,0.0,0.10551769584699877,0.07773596103003877,0.043815030929099996,0.05797331780854853,0.06612480481149197,0.06981159978018514,0.05940051759347753,0.0431089837947799,0.02768083391730436,0.025421263415756346,0.024273059061174163,0.026385079274527046,0.030940762298645397,0.031237047621411218,0.0547151788878788
PAY_5,0.06798528855997432,0.03808929978909914,0.08342125035886405,0.04884495805448652,0.05437760021747995,0.09508079606218933,0.09731079726877956,0.07883928077453684,0.10551769584699877,0.0,0.12438949618179074,0.03265663294265542,0.04774752501854218,0.05581536399092479,0.05870198619397771,0.05799444578558011,0.030814525104103097,0.01964409453728133,0.018125039884918648,0.01912579268017034,0.0186244228233442,0.023755349577251006,0.023052264308869974,0.052898950352968654
PAY_6,0.07410052975317127,0.030625311235032537,0.08604940039430575,0.03998848525251775,0.0527705411234044,0.1038000727656414,0.1155712561326514,0.07764410616260509,0.07773596103003877,0.12438949618179074,0.0,0.040936701950676224,0.05738734965583914,0.05785873062003288,0.07111296962713842,0.08825721228856953,0.048784708764843754,0.023647673409259773,0.022091681820416098,0.023203245425111096,0.02420380076263362,0.022981426348495315,0.024833209615781726,0.043088744377529964
BILL_AMT1,0.00466314618000907,0.022908527423071368,0.03822717464856007,0.019595964215772366,0.004257357872825107,0.06927768642135401,0.06622996339343501,0.047073453695255396,0.043815030929099996,0.03265663294265542,0.040936701950676224,0.0,0.010322194141145324,0.013818652098574247,0.017898421522155705,0.014558001749876204,0.027301941747629344,0.1084460813259378,0.08379519275549774,0.0074980148286911685,0.04718894263500051,0.01139123826788957,0.0006428103642952543,0.029400752444764255
