,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,0.0,0.02425131402873859,0.058646080974378845,0.033831802618390694,0.011556956427444587,0.05410936623337814,0.04086809773086386,0.041864494114963624,0.042690435114273284,0.03931267383299186,0.04166636996585993,0.009437773405935879,0.000875181071508857,0.005414893974655111,0.012318504234749561,0.002403583401905607,0.0028125054034305874,0.015415008294021093,0.011616951669533027,0.014092917331688826,0.012260909671061304,0.022017143887095747,0.047748944528635096,0.03047388583890054
SEX,0.02425131402873859,0.0,0.033334616397203254,0.01759862991979977,0.050644883985624056,0.030887979379390584,0.023587424119617117,0.017487782087032167,0.020832753044147223,0.018565987676589124,0.022132382794861405,0.013834197040180185,0.017569369152543923,0.013904689449528718,0.02130615795006585,0.014891126559408496,0.01328043917955768,0.010731494375768369,0.010286375289567107,0.01217391074695895,0.011509539534622526,0.012727866065310733,0.013916166680042474,0.022458768080232394
EDUCATION,0.058646080974378845,0.033334616397203254,0.0,0.07299517372584008,0.066080561939028,0.038450869573603996,0.03363919494459833,0.030468554480210353,0.031152387619987842,0.0279160801195103,0.029727544986701937,0.021153523125342244,0.02327286161578601,0.03423415976509736,0.02603424625405104,0.025782697448072378,0.01596164363863206,0.01188110561667155,0.01121367380953131,0.012694014405849496,0.013139627136373844,0.012622213839044605,0.012069245809339213,0.015930420635191567
MARRIAGE,0.033831802618390694,0.01759862991979977,0.07299517372584008,0.0,0.16438289319532406,0.03783745479652656,0.025473984629470703,0.020985449574411286,0.023946908256856636,0.024721004261125445,0.030168517460588462,0.018531124046265335,0.019096717029535748,0.01716840655105012,0.02960023411575674,0.019354275955149047,0.016052795062905134,0.014243082633060844,0.014464210607624262,0.01453768956512791,0.01453867685377419,0.015462297723530805,0.017761668298634237,0.013133789792252326
AGE,0.011556956427444587,0.050644883985624056,0.066080561939028,0.16438289319532406,0.0,0.04963098791026799,0.0424200167540415,0.04835442369055387,0.04664762376098208,0.04425936018438403,0.04283976252203181,0.00775627771328391,0.0025189386535966474,0.006439167867729578,0.004457337715930487,0.011020172233940029,0.010731395298268942,5.83937191408479e-05,0.0022655799009977384,0.00560132834437066,0.00955502130041197,0.00011156318657712383,0.001832743955251459,0.027106602158378346
PAY_0,0.05410936623337814,0.030887979379390584,0.038450869573603996,0.03783745479652656,0.04963098791026799,0.0,0.07249570439965813,0.05085091878500658,0.05385189369552146,0.04939318709868956,0.04584655009445204,0.03706711048911382,0.03215083262802876,0.028826434298081738,0.03725605285380662,0.0339750828831904,0.026651326340227932,0.025704096930715847,0.023630297129084377,0.025555756811603603,0.0264444153221719,0.02607326883779748,0.02740911974072413,0.06465215272550717
PAY_2,0.04086809773086386,0.023587424119617117,0.03363919494459833,0.025473984629470703,0.0424200167540415,0.07249570439965813,0.0,0.036287312892912316,0.036641181825975755,0.03864100902578049,0.03537456453937349,0.021494878174813326,0.03025731173321844,0.022582055749943764,0.03486959107898813,0.02589717356661514,0.019712624710445215,0.019703652724871623,0.017851671999855934,0.018185091716832136,0.019333394800278958,0.019592644457699038,0.022371602833868853,0.02068237664220196
PAY_3,0.041864494114963624,0.017487782087032167,0.030468554480210353,0.020985449574411286,0.04835442369055387,0.05085091878500658,0.036287312892912316,0.0,0.031826532989923106,0.034890521598290536,0.029739207333836726,0.021523386134476352,0.023878760658043174,0.02128569639287059,0.03104176192716568,0.02126602466659233,0.019506207336712267,0.015246414719901069,0.013801135211635951,0.015281771994548055,0.015134024248623645,0.01668873236222712,0.016468887862904014,0.016587399523788737
PAY_4,0.042690435114273284,0.020832753044147223,0.031152387619987842,0.023946908256856636,0.04664762376098208,0.05385189369552146,0.036641181825975755,0.031826532989923106,0.0,0.030377205598208,0.03690684885959705,0.023949277749607867,0.024967246390630082,0.021265358246756016,0.033831197904094834,0.025387856036185874,0.02247331824665777,0.020442477842250062,0.01944182377586301,0.0198488211792075,0.02092404022060923,0.022330901859423657,0.023072602454984548,0.02064642699436714
PAY_5,0.03931267383299186,0.018565987676589124,0.0279160801195103,0.024721004261125445,0.04425936018438403,0.04939318709868956,0.03864100902578049,0.034890521598290536,0.030377205598208,0.0,0.03717537903029278,0.022079933085524694,0.027370183544734195,0.023184881856289197,0.037983030507429016,0.02489227415904882,0.02316481521455238,0.020308539796266345,0.019011896593707278,0.01990006145995238,0.018788991499580465,0.021380599513999843,0.02034646402139373,0.02214373661429425
PAY_6,0.04166636996585993,0.022132382794861405,0.029727544986701937,0.030168517460588462,0.04283976252203181,0.04584655009445204,0.03537456453937349,0.029739207333836726,0.03690684885959705,0.03717537903029278,0.0,0.021667900510083937,0.02360254197701417,0.023714340075103757,0.03232368218778625,0.022265703785441127,0.019537998031124326,0.018982561779802953,0.018389201303354308,0.02057302208351197,0.020166814511084596,0.019684857217266982,0.021278279386914956,0.022696309728541086
