column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
LIMIT_BAL,SEX,ContingencySimilarity,0.9757486859712614,0.02425131402873859,True,False,
LIMIT_BAL,EDUCATION,ContingencySimilarity,0.9413539190256212,0.058646080974378845,True,False,
LIMIT_BAL,MARRIAGE,ContingencySimilarity,0.9661681973816093,0.033831802618390694,True,False,
LIMIT_BAL,AGE,CorrelationSimilarity,0.9884430435725554,0.011556956427444587,True,True,
LIMIT_BAL,PAY_0,ContingencySimilarity,0.9458906337666219,0.05410936623337814,True,False,
LIMIT_BAL,PAY_2,ContingencySimilarity,0.9591319022691361,0.04086809773086386,True,False,
LIMIT_BAL,PAY_3,ContingencySimilarity,0.9581355058850364,0.041864494114963624,True,False,
LIMIT_BAL,PAY_4,ContingencySimilarity,0.9573095648857267,0.042690435114273284,True,False,
LIMIT_BAL,PAY_5,ContingencySimilarity,0.9606873261670081,0.03931267383299186,True,False,
LIMIT_BAL,PAY_6,ContingencySimilarity,0.9583336300341401,0.04166636996585993,True,False,
LIMIT_BAL,BILL_AMT1,CorrelationSimilarity,0.9905622265940641,0.009437773405935879,True,True,
LIMIT_BAL,BILL_AMT2,CorrelationSimilarity,0.9991248189284911,0.000875181071508857,True,True,
LIMIT_BAL,BILL_AMT3,CorrelationSimilarity,0.9945851060253449,0.005414893974655111,True,True,
LIMIT_BAL,BILL_AMT4,CorrelationSimilarity,0.9876814957652504,0.012318504234749561,True,True,
LIMIT_BAL,BILL_AMT5,CorrelationSimilarity,0.9975964165980944,0.002403583401905607,True,True,
LIMIT_BAL,BILL_AMT6,CorrelationSimilarity,0.9971874945965694,0.0028125054034305874,True,True,
LIMIT_BAL,PAY_AMT1,CorrelationSimilarity,0.9845849917059789,0.015415008294021093,True,True,
LIMIT_BAL,PAY_AMT2,CorrelationSimilarity,0.988383048330467,0.011616951669533027,True,True,
LIMIT_BAL,PAY_AMT3,CorrelationSimilarity,0.9859070826683112,0.014092917331688826,True,True,
LIMIT_BAL,PAY_AMT4,CorrelationSimilarity,0.9877390903289387,0.012260909671061304,True,True,
LIMIT_BAL,PAY_AMT5,CorrelationSimilarity,0.9779828561129043,0.022017143887095747,True,True,
LIMIT_BAL,PAY_AMT6,CorrelationSimilarity,0.9522510554713649,0.047748944528635096,True,True,
LIMIT_BAL,default payment next month,ContingencySimilarity,0.9695261141610995,0.03047388583890054,True,False,
SEX,EDUCATION,ContingencySimilarity,0.9666653836027967,0.033334616397203254,False,False,
SEX,MARRIAGE,ContingencySimilarity,0.9824013700802002,0.01759862991979977,False,False,
SEX,AGE,ContingencySimilarity,0.9493551160143759,0.050644883985624056,False,True,
SEX,PAY_0,ContingencySimilarity,0.9691120206206094,0.030887979379390584,False,False,
SEX,PAY_2,ContingencySimilarity,0.9764125758803829,0.023587424119617117,False,False,
SEX,PAY_3,ContingencySimilarity,0.9825122179129678,0.017487782087032167,False,False,
SEX,PAY_4,ContingencySimilarity,0.9791672469558528,0.020832753044147223,False,False,
SEX,PAY_5,ContingencySimilarity,0.9814340123234109,0.018565987676589124,False,False,
SEX,PAY_6,ContingencySimilarity,0.9778676172051386,0.022132382794861405,False,False,
SEX,BILL_AMT1,ContingencySimilarity,0.9861658029598198,0.013834197040180185,False,True,
SEX,BILL_AMT2,ContingencySimilarity,0.9824306308474561,0.017569369152543923,False,True,
SEX,BILL_AMT3,ContingencySimilarity,0.9860953105504713,0.013904689449528718,False,True,
SEX,BILL_AMT4,ContingencySimilarity,0.9786938420499341,0.02130615795006585,False,True,
SEX,BILL_AMT5,ContingencySimilarity,0.9851088734405915,0.014891126559408496,False,True,
SEX,BILL_AMT6,ContingencySimilarity,0.9867195608204423,0.01328043917955768,False,True,
SEX,PAY_AMT1,ContingencySimilarity,0.9892685056242316,0.010731494375768369,False,True,
SEX,PAY_AMT2,ContingencySimilarity,0.9897136247104329,0.010286375289567107,False,True,
SEX,PAY_AMT3,ContingencySimilarity,0.987826089253041,0.01217391074695895,False,True,
SEX,PAY_AMT4,ContingencySimilarity,0.9884904604653775,0.011509539534622526,False,True,
SEX,PAY_AMT5,ContingencySimilarity,0.9872721339346893,0.012727866065310733,False,True,
SEX,PAY_AMT6,ContingencySimilarity,0.9860838333199575,0.013916166680042474,False,True,
SEX,default payment next month,ContingencySimilarity,0.9775412319197676,0.022458768080232394,False,False,
EDUCATION,MARRIAGE,ContingencySimilarity,0.9270048262741599,0.07299517372584008,False,False,
EDUCATION,AGE,ContingencySimilarity,0.933919438060972,0.066080561939028,False,True,
EDUCATION,PAY_0,ContingencySimilarity,0.961549130426396,0.038450869573603996,False,False,
EDUCATION,PAY_2,ContingencySimilarity,0.9663608050554017,0.03363919494459833,False,False,
EDUCATION,PAY_3,ContingencySimilarity,0.9695314455197896,0.030468554480210353,False,False,
EDUCATION,PAY_4,ContingencySimilarity,0.9688476123800122,0.031152387619987842,False,False,
EDUCATION,PAY_5,ContingencySimilarity,0.9720839198804897,0.0279160801195103,False,False,
EDUCATION,PAY_6,ContingencySimilarity,0.9702724550132981,0.029727544986701937,False,False,
EDUCATION,BILL_AMT1,ContingencySimilarity,0.9788464768746578,0.021153523125342244,False,True,
EDUCATION,BILL_AMT2,ContingencySimilarity,0.976727138384214,0.02327286161578601,False,True,
EDUCATION,BILL_AMT3,ContingencySimilarity,0.9657658402349026,0.03423415976509736,False,True,
EDUCATION,BILL_AMT4,ContingencySimilarity,0.973965753745949,0.02603424625405104,False,True,
EDUCATION,BILL_AMT5,ContingencySimilarity,0.9742173025519276,0.025782697448072378,False,True,
EDUCATION,BILL_AMT6,ContingencySimilarity,0.9840383563613679,0.01596164363863206,False,True,
EDUCATION,PAY_AMT1,ContingencySimilarity,0.9881188943833284,0.01188110561667155,False,True,
EDUCATION,PAY_AMT2,ContingencySimilarity,0.9887863261904687,0.01121367380953131,False,True,
EDUCATION,PAY_AMT3,ContingencySimilarity,0.9873059855941505,0.012694014405849496,False,True,
EDUCATION,PAY_AMT4,ContingencySimilarity,0.9868603728636262,0.013139627136373844,False,True,
EDUCATION,PAY_AMT5,ContingencySimilarity,0.9873777861609554,0.012622213839044605,False,True,
EDUCATION,PAY_AMT6,ContingencySimilarity,0.9879307541906608,0.012069245809339213,False,True,
EDUCATION,default payment next month,ContingencySimilarity,0.9840695793648084,0.015930420635191567,False,False,
MARRIAGE,AGE,ContingencySimilarity,0.8356171068046759,0.16438289319532406,False,True,
MARRIAGE,PAY_0,ContingencySimilarity,0.9621625452034734,0.03783745479652656,False,False,
MARRIAGE,PAY_2,ContingencySimilarity,0.9745260153705293,0.025473984629470703,False,False,
MARRIAGE,PAY_3,ContingencySimilarity,0.9790145504255887,0.020985449574411286,False,False,
MARRIAGE,PAY_4,ContingencySimilarity,0.9760530917431434,0.023946908256856636,False,False,
MARRIAGE,PAY_5,ContingencySimilarity,0.9752789957388746,0.024721004261125445,False,False,
MARRIAGE,PAY_6,ContingencySimilarity,0.9698314825394115,0.030168517460588462,False,False,
MARRIAGE,BILL_AMT1,ContingencySimilarity,0.9814688759537347,0.018531124046265335,False,True,
MARRIAGE,BILL_AMT2,ContingencySimilarity,0.9809032829704643,0.019096717029535748,False,True,
MARRIAGE,BILL_AMT3,ContingencySimilarity,0.9828315934489499,0.01716840655105012,False,True,
MARRIAGE,BILL_AMT4,ContingencySimilarity,0.9703997658842433,0.02960023411575674,False,True,
MARRIAGE,BILL_AMT5,ContingencySimilarity,0.980645724044851,0.019354275955149047,False,True,
MARRIAGE,BILL_AMT6,ContingencySimilarity,0.9839472049370949,0.016052795062905134,False,True,
MARRIAGE,PAY_AMT1,ContingencySimilarity,0.9857569173669392,0.014243082633060844,False,True,
MARRIAGE,PAY_AMT2,ContingencySimilarity,0.9855357893923757,0.014464210607624262,False,True,
MARRIAGE,PAY_AMT3,ContingencySimilarity,0.9854623104348721,0.01453768956512791,False,True,
MARRIAGE,PAY_AMT4,ContingencySimilarity,0.9854613231462258,0.01453867685377419,False,True,
MARRIAGE,PAY_AMT5,ContingencySimilarity,0.9845377022764692,0.015462297723530805,False,True,
MARRIAGE,PAY_AMT6,ContingencySimilarity,0.9822383317013658,0.017761668298634237,False,True,
MARRIAGE,default payment next month,ContingencySimilarity,0.9868662102077477,0.013133789792252326,False,False,
AGE,PAY_0,ContingencySimilarity,0.950369012089732,0.04963098791026799,True,False,
AGE,PAY_2,ContingencySimilarity,0.9575799832459585,0.0424200167540415,True,False,
AGE,PAY_3,ContingencySimilarity,0.9516455763094461,0.04835442369055387,True,False,
AGE,PAY_4,ContingencySimilarity,0.9533523762390179,0.04664762376098208,True,False,
AGE,PAY_5,ContingencySimilarity,0.955740639815616,0.04425936018438403,True,False,
AGE,PAY_6,ContingencySimilarity,0.9571602374779682,0.04283976252203181,True,False,
AGE,BILL_AMT1,CorrelationSimilarity,0.9922437222867161,0.00775627771328391,True,True,
AGE,BILL_AMT2,CorrelationSimilarity,0.9974810613464034,0.0025189386535966474,True,True,
AGE,BILL_AMT3,CorrelationSimilarity,0.9935608321322704,0.006439167867729578,True,True,
AGE,BILL_AMT4,CorrelationSimilarity,0.9955426622840695,0.004457337715930487,True,True,
AGE,BILL_AMT5,CorrelationSimilarity,0.98897982776606,0.011020172233940029,True,True,
AGE,BILL_AMT6,CorrelationSimilarity,0.9892686047017311,0.010731395298268942,True,True,
AGE,PAY_AMT1,CorrelationSimilarity,0.9999416062808592,5.83937191408479e-05,True,True,
AGE,PAY_AMT2,CorrelationSimilarity,0.9977344200990023,0.0022655799009977384,True,True,
AGE,PAY_AMT3,CorrelationSimilarity,0.9943986716556293,0.00560132834437066,True,True,
AGE,PAY_AMT4,CorrelationSimilarity,0.990444978699588,0.00955502130041197,True,True,
AGE,PAY_AMT5,CorrelationSimilarity,0.9998884368134229,0.00011156318657712383,True,True,
AGE,PAY_AMT6,CorrelationSimilarity,0.9981672560447485,0.001832743955251459,True,True,
AGE,default payment next month,ContingencySimilarity,0.9728933978416217,0.027106602158378346,True,False,
PAY_0,PAY_2,ContingencySimilarity,0.9275042956003419,0.07249570439965813,False,False,
PAY_0,PAY_3,ContingencySimilarity,0.9491490812149934,0.05085091878500658,False,False,
PAY_0,PAY_4,ContingencySimilarity,0.9461481063044785,0.05385189369552146,False,False,
PAY_0,PAY_5,ContingencySimilarity,0.9506068129013104,0.04939318709868956,False,False,
PAY_0,PAY_6,ContingencySimilarity,0.954153449905548,0.04584655009445204,False,False,
PAY_0,BILL_AMT1,ContingencySimilarity,0.9629328895108862,0.03706711048911382,False,True,
PAY_0,BILL_AMT2,ContingencySimilarity,0.9678491673719712,0.03215083262802876,False,True,
PAY_0,BILL_AMT3,ContingencySimilarity,0.9711735657019183,0.028826434298081738,False,True,
PAY_0,BILL_AMT4,ContingencySimilarity,0.9627439471461934,0.03725605285380662,False,True,
