,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
LIMIT_BAL,1.0,0.9757486859712614,0.9413539190256212,0.9661681973816093,0.9884430435725554,0.9458906337666219,0.9591319022691361,0.9581355058850364,0.9573095648857267,0.9606873261670081,0.9583336300341401,0.9905622265940641,0.9991248189284911,0.9945851060253449,0.9876814957652504,0.9975964165980944,0.9971874945965694,0.9845849917059789,0.988383048330467,0.9859070826683112,0.9877390903289387,0.9779828561129043,0.9522510554713649,0.9695261141610995
SEX,0.9757486859712614,1.0,0.9666653836027967,0.9824013700802002,0.9493551160143759,0.9691120206206094,0.9764125758803829,0.9825122179129678,0.9791672469558528,0.9814340123234109,0.9778676172051386,0.9861658029598198,0.9824306308474561,0.9860953105504713,0.9786938420499341,0.9851088734405915,0.9867195608204423,0.9892685056242316,0.9897136247104329,0.987826089253041,0.9884904604653775,0.9872721339346893,0.9860838333199575,0.9775412319197676
EDUCATION,0.9413539190256212,0.9666653836027967,1.0,0.9270048262741599,0.933919438060972,0.961549130426396,0.9663608050554017,0.9695314455197896,0.9688476123800122,0.9720839198804897,0.9702724550132981,0.9788464768746578,0.976727138384214,0.9657658402349026,0.973965753745949,0.9742173025519276,0.9840383563613679,0.9881188943833284,0.9887863261904687,0.9873059855941505,0.9868603728636262,0.9873777861609554,0.9879307541906608,0.9840695793648084
MARRIAGE,0.9661681973816093,0.9824013700802002,0.9270048262741599,1.0,0.8356171068046759,0.9621625452034734,0.9745260153705293,0.9790145504255887,0.9760530917431434,0.9752789957388746,0.9698314825394115,0.9814688759537347,0.9809032829704643,0.9828315934489499,0.9703997658842433,0.980645724044851,0.9839472049370949,0.9857569173669392,0.9855357893923757,0.9854623104348721,0.9854613231462258,0.9845377022764692,0.9822383317013658,0.9868662102077477
AGE,0.9884430435725554,0.9493551160143759,0.933919438060972,0.8356171068046759,1.0,0.950369012089732,0.9575799832459585,0.9516455763094461,0.9533523762390179,0.955740639815616,0.9571602374779682,0.9922437222867161,0.9974810613464034,0.9935608321322704,0.9955426622840695,0.98897982776606,0.9892686047017311,0.9999416062808592,0.9977344200990023,0.9943986716556293,0.990444978699588,0.9998884368134229,0.9981672560447485,0.9728933978416217
PAY_0,0.9458906337666219,0.9691120206206094,0.961549130426396,0.9621625452034734,0.950369012089732,1.0,0.9275042956003419,0.9491490812149934,0.9461481063044785,0.9506068129013104,0.954153449905548,0.9629328895108862,0.9678491673719712,0.9711735657019183,0.9627439471461934,0.9660249171168096,0.9733486736597721,0.9742959030692842,0.9763697028709156,0.9744442431883964,0.9735555846778281,0.9739267311622025,0.9725908802592759,0.9353478472744928
PAY_2,0.9591319022691361,0.9764125758803829,0.9663608050554017,0.9745260153705293,0.9575799832459585,0.9275042956003419,1.0,0.9637126871070877,0.9633588181740242,0.9613589909742195,0.9646254354606265,0.9785051218251867,0.9697426882667816,0.9774179442500562,0.9651304089210119,0.9741028264333849,0.9802873752895548,0.9802963472751284,0.9821483280001441,0.9818149082831679,0.980666605199721,0.980407355542301,0.9776283971661311,0.979317623357798
PAY_3,0.9581355058850364,0.9825122179129678,0.9695314455197896,0.9790145504255887,0.9516455763094461,0.9491490812149934,0.9637126871070877,1.0,0.9681734670100769,0.9651094784017095,0.9702607926661633,0.9784766138655236,0.9761212393419568,0.9787143036071294,0.9689582380728343,0.9787339753334077,0.9804937926632877,0.9847535852800989,0.986198864788364,0.984718228005452,0.9848659757513764,0.9833112676377729,0.983531112137096,0.9834126004762113
PAY_4,0.9573095648857267,0.9791672469558528,0.9688476123800122,0.9760530917431434,0.9533523762390179,0.9461481063044785,0.9633588181740242,0.9681734670100769,1.0,0.969622794401792,0.963093151140403,0.9760507222503921,0.9750327536093699,0.978734641753244,0.9661688020959052,0.9746121439638141,0.9775266817533422,0.9795575221577499,0.980558176224137,0.9801511788207925,0.9790759597793908,0.9776690981405763,0.9769273975450155,0.9793535730056329
PAY_5,0.9606873261670081,0.9814340123234109,0.9720839198804897,0.9752789957388746,0.955740639815616,0.9506068129013104,0.9613589909742195,0.9651094784017095,0.969622794401792,1.0,0.9628246209697072,0.9779200669144753,0.9726298164552658,0.9768151181437108,0.962016969492571,0.9751077258409512,0.9768351847854476,0.9796914602037337,0.9809881034062927,0.9800999385400476,0.9812110085004195,0.9786194004860002,0.9796535359786063,0.9778562633857057
PAY_6,0.9583336300341401,0.9778676172051386,0.9702724550132981,0.9698314825394115,0.9571602374779682,0.954153449905548,0.9646254354606265,0.9702607926661633,0.963093151140403,0.9628246209697072,1.0,0.9783320994899161,0.9763974580229858,0.9762856599248962,0.9676763178122137,0.9777342962145589,0.9804620019688757,0.981017438220197,0.9816107986966457,0.979426977916488,0.9798331854889154,0.980315142782733,0.978721720613085,0.9773036902714589
BILL_AMT1,0.9905622265940641,0.9861658029598198,0.9788464768746578,0.9814688759537347,0.9922437222867161,0.9629328895108862,0.9785051218251867,0.9784766138655236,0.9760507222503921,0.9779200669144753,0.9783320994899161,1.0,0.9797432821974226,0.9964718750088908,0.9878060179415428,0.9959734816517878,0.9922159451353356,0.9980027912251913,0.9991096543569193,0.9986264878827122,0.9647161423918829,0.9982191812879655,0.9968532491842282,0.9829321611386874
BILL_AMT2,0.9991248189284911,0.9824306308474561,0.976727138384214,0.9809032829704643,0.9974810613464034,0.9678491673719712,0.9697426882667816,0.9761212393419568,0.9750327536093699,0.9726298164552658,0.9763974580229858,0.9797432821974226,1.0,0.9970652216011566,0.9971867280671953,0.9850375290661159,0.994519500741523,0.9933640207301897,0.9943388232073107,0.9903093703320545,0.920496530224651,0.9800296284047413,0.9844733732016415,0.9820131805255685
