,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.045467585368644814,0.030706205909046602,0.010249172807727414,0.019137313803949896,0.16103211644647453,0.01696744668749528,0.2571233217488458,0.00308402979489919,0.13218510757142,0.06844718588669285
Width,0.045467585368644814,0.0,0.03274141064874192,0.01813998177570797,0.025364096039307338,0.1599218791333683,0.04048805364870678,0.29652768378110306,0.009422396598149918,0.11611677611019,0.058692478414948845
Size,0.030706205909046602,0.03274141064874192,0.0,0.025211577430147125,0.04116166476508676,0.09335606636359184,0.031195706857299443,0.16829079109909406,0.051161668712860875,0.12602610958926075,0.09415901261418302
Conc,0.010249172807727414,0.01813998177570797,0.025211577430147125,0.0,0.004817751426255623,0.06103052740530979,0.04010159847490735,0.12287550865291619,0.06972347009683022,0.11522445804320114,0.06173132159164507
Conc1,0.019137313803949896,0.025364096039307338,0.04116166476508676,0.004817751426255623,0.0,0.0614706210562862,0.043250388359726166,0.11972969180029114,0.07725783523729557,0.12131125371537554,0.0641125243794779
Asym,0.16103211644647453,0.1599218791333683,0.09335606636359184,0.06103052740530979,0.0614706210562862,0.0,0.13066729596407245,0.1616834099722756,0.05967650200525765,0.1318264455911773,0.14614637098727468
M3Long,0.01696744668749528,0.04048805364870678,0.031195706857299443,0.04010159847490735,0.043250388359726166,0.13066729596407245,0.0,0.14452260468680345,0.14741209722150006,0.015531759202597195,0.14140744927929694
M3Trans,0.2571233217488458,0.29652768378110306,0.16829079109909406,0.12287550865291619,0.11972969180029114,0.1616834099722756,0.14452260468680345,0.0,0.08234271824946238,0.0981608362430334,0.23542469914709663
Alpha,0.00308402979489919,0.009422396598149918,0.051161668712860875,0.06972347009683022,0.07725783523729557,0.05967650200525765,0.14741209722150006,0.08234271824946238,0.0,0.05620151264222473,0.37785619854692265
Dist,0.13218510757142,0.11611677611019,0.12602610958926075,0.11522445804320114,0.12131125371537554,0.1318264455911773,0.015531759202597195,0.0981608362430334,0.05620151264222473,0.0,0.3735835467295505
class,0.06844718588669285,0.058692478414948845,0.09415901261418302,0.06173132159164507,0.0641125243794779,0.14614637098727468,0.14140744927929694,0.23542469914709663,0.37785619854692265,0.3735835467295505,0.0
