,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,0.0,0.003690036400516128,0.007622483933674595,0.004464328863418521,0.004190182513845397,0.02691866638810947,0.008399295071817137,0.01659475224779916,0.02120638761526583,0.005821836494040333,0.0824932401763605
Width,0.003690036400516128,0.0,0.005406118857557152,0.014068824636938038,0.003282146996592683,0.004560047635529085,0.01303328222148159,0.018637397413862722,0.014222190568166537,0.009761532693374875,0.069445050727303
Size,0.007622483933674595,0.005406118857557152,0.0,0.00023347643613758073,0.014415493966057569,0.0070401388198434445,0.029270622429079518,0.0158999512487894,0.022496781935570365,0.0006503408897062801,0.08010623549180462
Conc,0.004464328863418521,0.014068824636938038,0.00023347643613758073,0.0,0.005402090626464684,0.0011505347275220235,0.012372858661154895,0.004946370794135402,0.007412007699712619,0.018128150928843567,0.052323561404358676
Conc1,0.004190182513845397,0.003282146996592683,0.014415493966057569,0.005402090626464684,0.0,0.00032832447051522884,0.009962503223932329,0.0025195354062839126,0.00032537519856468133,0.016244579188366526,0.0608307689870754
Asym,0.02691866638810947,0.004560047635529085,0.0070401388198434445,0.0011505347275220235,0.00032832447051522884,0.0,0.07032725821909347,0.00837983458741931,0.01392492125310374,0.030195151639631157,0.06510553895721927
M3Long,0.008399295071817137,0.01303328222148159,0.029270622429079518,0.012372858661154895,0.009962503223932329,0.07032725821909347,0.0,0.032855778590289875,0.0007179383345330415,0.025083184859409302,0.07090504124657404
M3Trans,0.01659475224779916,0.018637397413862722,0.0158999512487894,0.004946370794135402,0.0025195354062839126,0.00837983458741931,0.032855778590289875,0.0,0.01235825042550287,0.0004619722141578908,0.04632074714677148
Alpha,0.02120638761526583,0.014222190568166537,0.022496781935570365,0.007412007699712619,0.00032537519856468133,0.01392492125310374,0.0007179383345330415,0.01235825042550287,0.0,0.03388885446235934,0.17915397540130862
Dist,0.005821836494040333,0.009761532693374875,0.0006503408897062801,0.018128150928843567,0.016244579188366526,0.030195151639631157,0.025083184859409302,0.0004619722141578908,0.03388885446235934,0.0,0.07591877025330096
class,0.0824932401763605,0.069445050727303,0.08010623549180462,0.052323561404358676,0.0608307689870754,0.06510553895721927,0.07090504124657404,0.04632074714677148,0.17915397540130862,0.07591877025330096,0.0
