column_1,column_2,metric,score,divergence,is_numeric_1,is_numeric_2,error
Length,Width,CorrelationSimilarity,0.9963099635994839,0.003690036400516128,True,True,
Length,Size,CorrelationSimilarity,0.9923775160663254,0.007622483933674595,True,True,
Length,Conc,CorrelationSimilarity,0.9955356711365815,0.004464328863418521,True,True,
Length,Conc1,CorrelationSimilarity,0.9958098174861546,0.004190182513845397,True,True,
Length,Asym,CorrelationSimilarity,0.9730813336118905,0.02691866638810947,True,True,
Length,M3Long,CorrelationSimilarity,0.9916007049281829,0.008399295071817137,True,True,
Length,M3Trans,CorrelationSimilarity,0.9834052477522008,0.01659475224779916,True,True,
Length,Alpha,CorrelationSimilarity,0.9787936123847342,0.02120638761526583,True,True,
Length,Dist,CorrelationSimilarity,0.9941781635059597,0.005821836494040333,True,True,
Length,class,ContingencySimilarity,0.9175067598236395,0.0824932401763605,True,False,
Width,Size,CorrelationSimilarity,0.9945938811424428,0.005406118857557152,True,True,
Width,Conc,CorrelationSimilarity,0.985931175363062,0.014068824636938038,True,True,
Width,Conc1,CorrelationSimilarity,0.9967178530034073,0.003282146996592683,True,True,
Width,Asym,CorrelationSimilarity,0.9954399523644709,0.004560047635529085,True,True,
Width,M3Long,CorrelationSimilarity,0.9869667177785184,0.01303328222148159,True,True,
Width,M3Trans,CorrelationSimilarity,0.9813626025861373,0.018637397413862722,True,True,
Width,Alpha,CorrelationSimilarity,0.9857778094318335,0.014222190568166537,True,True,
Width,Dist,CorrelationSimilarity,0.9902384673066251,0.009761532693374875,True,True,
Width,class,ContingencySimilarity,0.930554949272697,0.069445050727303,True,False,
Size,Conc,CorrelationSimilarity,0.9997665235638624,0.00023347643613758073,True,True,
Size,Conc1,CorrelationSimilarity,0.9855845060339424,0.014415493966057569,True,True,
Size,Asym,CorrelationSimilarity,0.9929598611801566,0.0070401388198434445,True,True,
Size,M3Long,CorrelationSimilarity,0.9707293775709205,0.029270622429079518,True,True,
Size,M3Trans,CorrelationSimilarity,0.9841000487512106,0.0158999512487894,True,True,
Size,Alpha,CorrelationSimilarity,0.9775032180644296,0.022496781935570365,True,True,
Size,Dist,CorrelationSimilarity,0.9993496591102937,0.0006503408897062801,True,True,
Size,class,ContingencySimilarity,0.9198937645081954,0.08010623549180462,True,False,
Conc,Conc1,CorrelationSimilarity,0.9945979093735353,0.005402090626464684,True,True,
Conc,Asym,CorrelationSimilarity,0.998849465272478,0.0011505347275220235,True,True,
Conc,M3Long,CorrelationSimilarity,0.9876271413388451,0.012372858661154895,True,True,
Conc,M3Trans,CorrelationSimilarity,0.9950536292058646,0.004946370794135402,True,True,
Conc,Alpha,CorrelationSimilarity,0.9925879923002874,0.007412007699712619,True,True,
Conc,Dist,CorrelationSimilarity,0.9818718490711564,0.018128150928843567,True,True,
Conc,class,ContingencySimilarity,0.9476764385956413,0.052323561404358676,True,False,
Conc1,Asym,CorrelationSimilarity,0.9996716755294848,0.00032832447051522884,True,True,
Conc1,M3Long,CorrelationSimilarity,0.9900374967760677,0.009962503223932329,True,True,
Conc1,M3Trans,CorrelationSimilarity,0.9974804645937161,0.0025195354062839126,True,True,
Conc1,Alpha,CorrelationSimilarity,0.9996746248014353,0.00032537519856468133,True,True,
Conc1,Dist,CorrelationSimilarity,0.9837554208116335,0.016244579188366526,True,True,
Conc1,class,ContingencySimilarity,0.9391692310129246,0.0608307689870754,True,False,
Asym,M3Long,CorrelationSimilarity,0.9296727417809065,0.07032725821909347,True,True,
Asym,M3Trans,CorrelationSimilarity,0.9916201654125807,0.00837983458741931,True,True,
Asym,Alpha,CorrelationSimilarity,0.9860750787468963,0.01392492125310374,True,True,
Asym,Dist,CorrelationSimilarity,0.9698048483603688,0.030195151639631157,True,True,
Asym,class,ContingencySimilarity,0.9348944610427807,0.06510553895721927,True,False,
M3Long,M3Trans,CorrelationSimilarity,0.9671442214097101,0.032855778590289875,True,True,
M3Long,Alpha,CorrelationSimilarity,0.999282061665467,0.0007179383345330415,True,True,
M3Long,Dist,CorrelationSimilarity,0.9749168151405907,0.025083184859409302,True,True,
M3Long,class,ContingencySimilarity,0.929094958753426,0.07090504124657404,True,False,
M3Trans,Alpha,CorrelationSimilarity,0.9876417495744971,0.01235825042550287,True,True,
M3Trans,Dist,CorrelationSimilarity,0.9995380277858421,0.0004619722141578908,True,True,
M3Trans,class,ContingencySimilarity,0.9536792528532285,0.04632074714677148,True,False,
Alpha,Dist,CorrelationSimilarity,0.9661111455376407,0.03388885446235934,True,True,
Alpha,class,ContingencySimilarity,0.8208460245986914,0.17915397540130862,True,False,
Dist,class,ContingencySimilarity,0.924081229746699,0.07591877025330096,True,False,
