,Length,Width,Size,Conc,Conc1,Asym,M3Long,M3Trans,Alpha,Dist,class
Length,1.0,0.9963099635994839,0.9923775160663254,0.9955356711365815,0.9958098174861546,0.9730813336118905,0.9916007049281829,0.9834052477522008,0.9787936123847342,0.9941781635059597,0.9175067598236395
Width,0.9963099635994839,1.0,0.9945938811424428,0.985931175363062,0.9967178530034073,0.9954399523644709,0.9869667177785184,0.9813626025861373,0.9857778094318335,0.9902384673066251,0.930554949272697
Size,0.9923775160663254,0.9945938811424428,1.0,0.9997665235638624,0.9855845060339424,0.9929598611801566,0.9707293775709205,0.9841000487512106,0.9775032180644296,0.9993496591102937,0.9198937645081954
Conc,0.9955356711365815,0.985931175363062,0.9997665235638624,1.0,0.9945979093735353,0.998849465272478,0.9876271413388451,0.9950536292058646,0.9925879923002874,0.9818718490711564,0.9476764385956413
Conc1,0.9958098174861546,0.9967178530034073,0.9855845060339424,0.9945979093735353,1.0,0.9996716755294848,0.9900374967760677,0.9974804645937161,0.9996746248014353,0.9837554208116335,0.9391692310129246
Asym,0.9730813336118905,0.9954399523644709,0.9929598611801566,0.998849465272478,0.9996716755294848,1.0,0.9296727417809065,0.9916201654125807,0.9860750787468963,0.9698048483603688,0.9348944610427807
M3Long,0.9916007049281829,0.9869667177785184,0.9707293775709205,0.9876271413388451,0.9900374967760677,0.9296727417809065,1.0,0.9671442214097101,0.999282061665467,0.9749168151405907,0.929094958753426
M3Trans,0.9834052477522008,0.9813626025861373,0.9841000487512106,0.9950536292058646,0.9974804645937161,0.9916201654125807,0.9671442214097101,1.0,0.9876417495744971,0.9995380277858421,0.9536792528532285
Alpha,0.9787936123847342,0.9857778094318335,0.9775032180644296,0.9925879923002874,0.9996746248014353,0.9860750787468963,0.999282061665467,0.9876417495744971,1.0,0.9661111455376407,0.8208460245986914
Dist,0.9941781635059597,0.9902384673066251,0.9993496591102937,0.9818718490711564,0.9837554208116335,0.9698048483603688,0.9749168151405907,0.9995380277858421,0.9661111455376407,1.0,0.924081229746699
class,0.9175067598236395,0.930554949272697,0.9198937645081954,0.9476764385956413,0.9391692310129246,0.9348944610427807,0.929094958753426,0.9536792528532285,0.8208460245986914,0.924081229746699,1.0
