,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.12950847793376052,0.059656081305054176,0.1241090819987658,0.04726758158241651,0.06929998469289778,0.03968526578042331,0.04676918415094289,0.053882153705216096,0.06474311567484015,0.2946066471889017,0.18858815801348994,0.1729198801425227,0.6114714552799532,0.28994039546892236,0.10850364207722973,0.23816386967091185,0.09038117166262671
Administrative_Duration,0.12950847793376052,0.0,0.09451069586092686,0.1349616338069144,0.09817093011701916,0.04174891317896412,0.06412706366055532,0.08259517304689112,0.0613766195236265,0.06300077773776869,0.2875701755948843,0.16439161581817274,0.1613821813792139,0.609755930149927,0.2686833348278035,0.08789923162816726,0.23023100808386632,0.04505126421949379
Informational,0.059656081305054176,0.09451069586092686,0.0,0.13466295179124765,0.03209302931430891,0.042350850135708384,0.018644758734438605,0.021675163160990274,0.03646983414058147,0.02019043404874299,0.2859494300519345,0.168167903279841,0.1659787722932834,0.6102076300926504,0.2725579068227575,0.09268070845477727,0.2319441965830863,0.05098776686149298
Informational_Duration,0.1241090819987658,0.1349616338069144,0.13466295179124765,0.0,0.10164856318567839,0.08325236524041657,0.036600006097152415,0.04606316397813848,0.04101997912457056,0.03845971407370219,0.2880242121684138,0.16790167340735973,0.1616530845133075,0.6092158763548445,0.2672381286741694,0.08907587127851391,0.22887999735960718,0.04432632451187046
ProductRelated,0.04726758158241651,0.09817093011701916,0.03209302931430891,0.10164856318567839,0.0,0.010962433710060226,0.020773462897669237,0.018788000208089795,0.05557167268122165,0.05050215831795546,0.28460835000860174,0.1659304332434801,0.15878487019869825,0.6062429517722322,0.2696803459849235,0.08431133502524879,0.22293356403668163,0.040552957838709935
ProductRelated_Duration,0.06929998469289778,0.04174891317896412,0.042350850135708384,0.08325236524041657,0.010962433710060226,0.0,0.02224194495394194,0.028527945265722887,0.04668367698413056,0.029029483407569945,0.27711842599875625,0.16052639034644345,0.15436265035854135,0.6041699221288577,0.26147249215987345,0.08205750857324445,0.22078035874876922,0.03839040602757282
BounceRates,0.03968526578042331,0.06412706366055532,0.018644758734438605,0.036600006097152415,0.020773462897669237,0.02224194495394194,0.0,0.011483081225774794,0.04705519753575138,0.02820078389179881,0.28487326552625447,0.17159836938219186,0.16781244331844802,0.6034484873674437,0.32764733698568194,0.09504742338260608,0.22881559397301132,0.05511907616627809
ExitRates,0.04676918415094289,0.08259517304689112,0.021675163160990274,0.04606316397813848,0.018788000208089795,0.028527945265722887,0.011483081225774794,0.0,0.05940548785716504,0.037054018759893004,0.31481850366252273,0.20043896530482952,0.17537553308041243,0.6085014514858489,0.3624261880234235,0.10493619099386553,0.23871385414692092,0.08207517934371633
PageValues,0.053882153705216096,0.0613766195236265,0.03646983414058147,0.04101997912457056,0.05557167268122165,0.04668367698413056,0.04705519753575138,0.05940548785716504,0.0,0.04957569340463597,0.2873958045209717,0.165833901183299,0.1626483431973228,0.6086752384020602,0.26949078681077054,0.08611579816533599,0.22815914675589477,0.04313975418059757
SpecialDay,0.06474311567484015,0.06300077773776869,0.02019043404874299,0.03845971407370219,0.05050215831795546,0.029029483407569945,0.02820078389179881,0.037054018759893004,0.04957569340463597,0.0,0.40851243365063805,0.2800297219438548,0.25651547594394775,0.6310256962210545,0.4438151281072443,0.25363616263300903,0.2935740024119873,0.25363616263300903
Month,0.2946066471889017,0.2875701755948843,0.2859494300519345,0.2880242121684138,0.28460835000860174,0.27711842599875625,0.28487326552625447,0.31481850366252273,0.2873958045209717,0.40851243365063805,0.0,0.34469627158426197,0.37388969875863576,0.6764690762977136,0.45388586084253646,0.3086836794808474,0.420035820550259,0.28579141539366537
OperatingSystems,0.18858815801348994,0.16439161581817274,0.168167903279841,0.16790167340735973,0.1659304332434801,0.16052639034644345,0.17159836938219186,0.20043896530482952,0.165833901183299,0.2800297219438548,0.34469627158426197,0.0,0.3091365477389738,0.6253390670358931,0.3235142752077922,0.19510867231761353,0.2991417555048832,0.15700348128782238
Browser,0.1729198801425227,0.1613821813792139,0.1659787722932834,0.1616530845133075,0.15878487019869825,0.15436265035854135,0.16781244331844802,0.17537553308041243,0.1626483431973228,0.25651547594394775,0.37388969875863576,0.3091365477389738,0.0,0.6568792017368177,0.3512565086120909,0.20242612376607627,0.3355670550244426,0.15759581719719384
Region,0.6114714552799532,0.609755930149927,0.6102076300926504,0.6092158763548445,0.6062429517722322,0.6041699221288577,0.6034484873674437,0.6085014514858489,0.6086752384020602,0.6310256962210545,0.6764690762977136,0.6253390670358931,0.6568792017368177,0.0,0.6683221209130501,0.6047959931454936,0.6775252334221156,0.6034484873674436
TrafficType,0.28994039546892236,0.2686833348278035,0.2725579068227575,0.2672381286741694,0.2696803459849235,0.26147249215987345,0.32764733698568194,0.3624261880234235,0.26949078681077054,0.4438151281072443,0.45388586084253646,0.3235142752077922,0.3512565086120909,0.6683221209130501,0.0,0.2771901313566216,0.38634481719222846,0.2751692377881102
VisitorType,0.10850364207722973,0.08789923162816726,0.09268070845477727,0.08907587127851391,0.08431133502524879,0.08205750857324445,0.09504742338260608,0.10493619099386553,0.08611579816533599,0.25363616263300903,0.3086836794808474,0.19510867231761353,0.20242612376607627,0.6047959931454936,0.2771901313566216,0.0,0.254334961283488,0.0857260189389768
Weekend,0.23816386967091185,0.23023100808386632,0.2319441965830863,0.22887999735960718,0.22293356403668163,0.22078035874876922,0.22881559397301132,0.23871385414692092,0.22815914675589477,0.2935740024119873,0.420035820550259,0.2991417555048832,0.3355670550244426,0.6775252334221156,0.38634481719222846,0.254334961283488,0.0,0.21833697312261213
