,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.043923200172327315,0.003128168105442808,0.022378194654305572,0.03529781952850097,0.01250621503733651,0.004836158006831903,0.018729679374194008,0.03330748643587067,0.008550625306971593,0.07588646661407306,0.09227734756185713,0.06092794035048876,0.09606531817755648,0.11895159464829763,0.04347374634645862,0.034755046611403384,0.037037058672507506
Administrative_Duration,0.043923200172327315,0.0,0.04685260204362274,0.042708722151089784,0.020229079011782836,0.005989719444756569,0.01302343751102486,0.0029901978336844826,0.04362795406141584,0.012638377907206011,0.05728294233224385,0.07365994953461619,0.04007905990332772,0.07939900687349155,0.07046168611863135,0.035061145247015424,0.031065944686691327,0.03009711913867119
Informational,0.003128168105442808,0.04685260204362274,0.0,0.08006837699931146,0.025993923476330782,0.020323218239530094,0.009416441394212605,0.007602314823950351,0.04378960901753437,0.010226632834312022,0.04834080227634574,0.07717584870081873,0.04476984624677216,0.08078506705984378,0.07868297557081705,0.041710904442606944,0.029611392009832538,0.029385030900482056
Informational_Duration,0.022378194654305572,0.042708722151089784,0.08006837699931146,0.0,0.013029862677074067,0.051108677551218284,0.0032221613950416117,0.002797045676449672,0.07133680495106864,0.0003604823989965533,0.054098990779946954,0.0784350006265091,0.04116325659740405,0.08444729773028448,0.08299814851216492,0.043602553119650445,0.02934399382194819,0.03217073293974737
ProductRelated,0.03529781952850097,0.020229079011782836,0.025993923476330782,0.013029862677074067,0.0,0.09928635208501557,0.015120930624901718,0.00012243172165737892,0.027247256831356537,0.017908344448540836,0.07621374096636624,0.08186780335966626,0.048997833651163836,0.086035184402522,0.07823069147039208,0.04838052500005108,0.03079328907949308,0.02992625301096785
ProductRelated_Duration,0.01250621503733651,0.005989719444756569,0.020323218239530094,0.051108677551218284,0.09928635208501557,0.0,0.03220093707014926,0.02246450682768164,0.04472571788298807,0.013371444739507132,0.04818045098727031,0.08402392943608628,0.04495064305540186,0.0781544588903399,0.07047979500737944,0.0450500959040907,0.03484398462146432,0.0314568922284536
BounceRates,0.004836158006831903,0.01302343751102486,0.009416441394212605,0.0032221613950416117,0.015120930624901718,0.03220093707014926,0.0,0.007927369640890358,0.005963092009943605,0.011136998807597775,0.11936459414329326,0.14435004131455342,0.13007410332523006,0.1442013731795091,0.14399794025994428,0.13513758228226325,0.12301178275291913,0.15773908187349894
ExitRates,0.018729679374194008,0.0029901978336844826,0.007602314823950351,0.002797045676449672,0.00012243172165737892,0.02246450682768164,0.007927369640890358,0.0,0.030891785446328313,0.019936329210761605,0.1740306560120196,0.16513510253282015,0.1634676243737464,0.15851133835494768,0.19191026286220336,0.1601528214963024,0.14523474815355053,0.18752148605046015
PageValues,0.03330748643587067,0.04362795406141584,0.04378960901753437,0.07133680495106864,0.027247256831356537,0.04472571788298807,0.005963092009943605,0.030891785446328313,0.0,0.01357305303073486,0.05133417237851201,0.07962507590399137,0.0473946128392605,0.08025903304959825,0.08554624440632486,0.0338897630159829,0.040437002534952304,0.03802779013433588
SpecialDay,0.008550625306971593,0.012638377907206011,0.010226632834312022,0.0003604823989965533,0.017908344448540836,0.013371444739507132,0.011136998807597775,0.019936329210761605,0.01357305303073486,0.0,0.18691498431682607,0.11999738297349705,0.08244947839098438,0.109242893648541,0.1160730115344859,0.08841168397185173,0.10098553245828457,0.0818461895247089
