,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,1.0,0.9560767998276727,0.9968718318945572,0.9776218053456944,0.964702180471499,0.9874937849626635,0.9951638419931681,0.981270320625806,0.9666925135641293,0.9914493746930284,0.9241135333859269,0.9077226524381429,0.9390720596495112,0.9039346818224435,0.8810484053517024,0.9565262536535414,0.9652449533885966,0.9629629413274925
Administrative_Duration,0.9560767998276727,1.0,0.9531473979563773,0.9572912778489102,0.9797709209882172,0.9940102805552434,0.9869765624889751,0.9970098021663155,0.9563720459385842,0.987361622092794,0.9427170576677562,0.9263400504653838,0.9599209400966723,0.9206009931265084,0.9295383138813686,0.9649388547529846,0.9689340553133087,0.9699028808613288
Informational,0.9968718318945572,0.9531473979563773,1.0,0.9199316230006885,0.9740060765236692,0.9796767817604699,0.9905835586057874,0.9923976851760496,0.9562103909824656,0.989773367165688,0.9516591977236543,0.9228241512991813,0.9552301537532278,0.9192149329401562,0.921317024429183,0.9582890955573931,0.9703886079901675,0.9706149690995179
Informational_Duration,0.9776218053456944,0.9572912778489102,0.9199316230006885,1.0,0.9869701373229259,0.9488913224487817,0.9967778386049584,0.9972029543235503,0.9286631950489314,0.9996395176010034,0.945901009220053,0.9215649993734909,0.958836743402596,0.9155527022697155,0.9170018514878351,0.9563974468803496,0.9706560061780518,0.9678292670602526
ProductRelated,0.964702180471499,0.9797709209882172,0.9740060765236692,0.9869701373229259,1.0,0.9007136479149844,0.9848790693750983,0.9998775682783426,0.9727527431686435,0.9820916555514592,0.9237862590336338,0.9181321966403337,0.9510021663488362,0.913964815597478,0.9217693085296079,0.9516194749999489,0.9692067109205069,0.9700737469890321
ProductRelated_Duration,0.9874937849626635,0.9940102805552434,0.9796767817604699,0.9488913224487817,0.9007136479149844,1.0,0.9677990629298507,0.9775354931723184,0.9552742821170119,0.9866285552604929,0.9518195490127297,0.9159760705639137,0.9550493569445981,0.9218455411096601,0.9295202049926206,0.9549499040959093,0.9651560153785357,0.9685431077715464
BounceRates,0.9951638419931681,0.9869765624889751,0.9905835586057874,0.9967778386049584,0.9848790693750983,0.9677990629298507,1.0,0.9920726303591096,0.9940369079900564,0.9888630011924022,0.8806354058567067,0.8556499586854466,0.8699258966747699,0.8557986268204909,0.8560020597400557,0.8648624177177368,0.8769882172470809,0.8422609181265011
ExitRates,0.981270320625806,0.9970098021663155,0.9923976851760496,0.9972029543235503,0.9998775682783426,0.9775354931723184,0.9920726303591096,1.0,0.9691082145536717,0.9800636707892384,0.8259693439879804,0.8348648974671798,0.8365323756262536,0.8414886616450523,0.8080897371377966,0.8398471785036976,0.8547652518464495,0.8124785139495398
PageValues,0.9666925135641293,0.9563720459385842,0.9562103909824656,0.9286631950489314,0.9727527431686435,0.9552742821170119,0.9940369079900564,0.9691082145536717,1.0,0.9864269469692651,0.948665827621488,0.9203749240960086,0.9526053871607395,0.9197409669504018,0.9144537555936751,0.9661102369840171,0.9595629974650477,0.9619722098656641
SpecialDay,0.9914493746930284,0.987361622092794,0.989773367165688,0.9996395176010034,0.9820916555514592,0.9866285552604929,0.9888630011924022,0.9800636707892384,0.9864269469692651,1.0,0.8130850156831739,0.880002617026503,0.9175505216090156,0.890757106351459,0.8839269884655141,0.9115883160281483,0.8990144675417154,0.9181538104752911
Month,0.9241135333859269,0.9427170576677562,0.9516591977236543,0.945901009220053,0.9237862590336338,0.9518195490127297,0.8806354058567067,0.8259693439879804,0.948665827621488,0.8130850156831739,1.0,0.9022547903122119,0.9066555423568368,0.8815615878925138,0.7784062016518227,0.9441520410616132,0.9401445731895566,0.9264859438513459
OperatingSystems,0.9077226524381429,0.9263400504653838,0.9228241512991813,0.9215649993734909,0.9181321966403337,0.9159760705639137,0.8556499586854466,0.8348648974671798,0.9203749240960086,0.880002617026503,0.9022547903122119,1.0,0.7753038861383175,0.866981303740683,0.8418708468212912,0.9146736909683085,0.9204457532173216,0.9146579187103667
Browser,0.9390720596495112,0.9599209400966723,0.9552301537532278,0.958836743402596,0.9510021663488362,0.9550493569445981,0.8699258966747699,0.8365323756262536,0.9526053871607395,0.9175505216090156,0.9066555423568368,0.7753038861383175,1.0,0.8831177840094423,0.8585411011898416,0.9390386166210974,0.9468106888007914,0.9489362926373055
Region,0.9039346818224435,0.9206009931265084,0.9192149329401562,0.9155527022697155,0.913964815597478,0.9218455411096601,0.8557986268204909,0.8414886616450523,0.9197409669504018,0.890757106351459,0.8815615878925138,0.866981303740683,0.8831177840094423,1.0,0.8790337914784827,0.9151426235632276,0.9179781250465501,0.9136956649364889
TrafficType,0.8810484053517024,0.9295383138813686,0.921317024429183,0.9170018514878351,0.9217693085296079,0.9295202049926206,0.8560020597400557,0.8080897371377966,0.9144537555936751,0.8839269884655141,0.7784062016518227,0.8418708468212912,0.8585411011898416,0.8790337914784827,1.0,0.8738187235978974,0.9092832297378329,0.8985594086922082
VisitorType,0.9565262536535414,0.9649388547529846,0.9582890955573931,0.9563974468803496,0.9516194749999489,0.9549499040959093,0.8648624177177368,0.8398471785036976,0.9661102369840171,0.9115883160281483,0.9441520410616132,0.9146736909683085,0.9390386166210974,0.9151426235632276,0.8738187235978974,1.0,0.9606800530298362,0.9640630563189361
Weekend,0.9652449533885966,0.9689340553133087,0.9703886079901675,0.9706560061780518,0.9692067109205069,0.9651560153785357,0.8769882172470809,0.8547652518464495,0.9595629974650477,0.8990144675417154,0.9401445731895566,0.9204457532173216,0.9468106888007914,0.9179781250465501,0.9092832297378329,0.9606800530298362,1.0,0.9627431519922844
Revenue,0.9629629413274925,0.9699028808613288,0.9706149690995179,0.9678292670602526,0.9700737469890321,0.9685431077715464,0.8422609181265011,0.8124785139495398,0.9619722098656641,0.9181538104752911,0.9264859438513459,0.9146579187103667,0.9489362926373055,0.9136956649364889,0.8985594086922082,0.9640630563189361,0.9627431519922844,1.0
