,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.1841208139798851,0.06521688524243308,0.0604891883094264,0.04741379965491399,0.07646115910157947,0.010858034242078873,0.01175736634319069,0.01649514673043262,0.02078852043181112,0.08275178000153638,0.08745950691832571,0.0941999565970828,0.08899963869846161,0.09501149768396078,0.07326257625813692,0.07371252372775561,0.07335209842589951
Administrative_Duration,0.1841208139798851,0.0,0.10243676805967317,0.09250279519580495,0.06626551719578855,0.13079165689356442,0.022455608983245723,0.03299300028790009,0.0033456151847902627,0.014955297666485845,0.05168554323599417,0.047001328666692155,0.049989003231268314,0.06042658700313375,0.04860571779399858,0.02921474893048026,0.026486878503668376,0.023717240801195638
Informational,0.06521688524243308,0.10243676805967317,0.0,0.17841921852339748,0.07234822292583687,0.12984593728086646,0.015388527079105097,0.021904998383547758,0.009839517224639827,0.006502195647203335,0.06502244772007626,0.05970690471482443,0.07116223724221493,0.07760812539996553,0.06631460455590432,0.04661052716435543,0.04507010330536865,0.04507010330536865
Informational_Duration,0.0604891883094264,0.09250279519580495,0.17841921852339748,0.0,0.05280123965825212,0.10063662871774104,0.005671009066929855,0.00682978083749497,0.010570362824581125,0.005367364978700939,0.05221975545406132,0.053658097754702316,0.05763518942627821,0.06573526615539238,0.05464985149250834,0.0344350742303795,0.03251115084032552,0.030191460607471465
ProductRelated,0.04741379965491399,0.06626551719578855,0.07234822292583687,0.05280123965825212,0.0,0.2613613889918428,0.008125967853055749,0.0008057534307798209,0.011856437017358945,0.013237528971024148,0.04618847322498576,0.0430284721384524,0.048516633744512205,0.05587439207438194,0.0507206607524594,0.021104011323312855,0.016733197360892405,0.012008529870758067
ProductRelated_Duration,0.07646115910157947,0.13079165689356442,0.12984593728086646,0.10063662871774104,0.2613613889918428,0.0,0.015629415469997188,0.019462902795316372,0.005366926782032877,0.004913204804483429,0.04744353604676532,0.043296454484038294,0.05011401297939999,0.05447080715698327,0.04374698611135863,0.026141787341477873,0.023049402508898864,0.018131086740700852
BounceRates,0.010858034242078873,0.022455608983245723,0.015388527079105097,0.005671009066929855,0.008125967853055749,0.015629415469997188,0.0,0.12222704629115166,0.01908677575371387,0.011186372092184982,0.07569705347934552,0.07037274810857042,0.0724007976089257,0.08259201287016249,0.08206291203198379,0.07300510875117894,0.03948628587568015,0.05527694478512202
ExitRates,0.01175736634319069,0.03299300028790009,0.021904998383547758,0.00682978083749497,0.0008057534307798209,0.019462902795316372,0.12222704629115166,0.0,0.03601145701433872,0.016875868767044833,0.08028707261927259,0.08587600142884977,0.0759774491760894,0.091290851243365,0.11409812038497158,0.0751618189853005,0.05845782950948575,0.0596442538013332
PageValues,0.01649514673043262,0.0033456151847902627,0.009839517224639827,0.010570362824581125,0.011856437017358945,0.005366926782032877,0.01908677575371387,0.03601145701433872,0.0,0.011900131484846033,0.05060718811893328,0.05482947998573484,0.054442621547883485,0.05772456555461547,0.0588051112630571,0.020657714839328878,0.02549746139666842,0.03691686822541351
SpecialDay,0.02078852043181112,0.014955297666485845,0.006502195647203335,0.005367364978700939,0.013237528971024148,0.004913204804483429,0.011186372092184982,0.016875868767044833,0.011900131484846033,0.0,0.15433446474944157,0.08079587397732246,0.09236876824214968,0.09556746977641073,0.09051801060421472,0.06914353426508435,0.07829509485698793,0.06680953216854235
Month,0.08275178000153638,0.05168554323599417,0.06502244772007626,0.05221975545406132,0.04618847322498576,0.04744353604676532,0.07569705347934552,0.08028707261927259,0.05060718811893328,0.15433446474944157,0.0,0.07405527825913993,0.08536471740056828,0.11413901142408012,0.20701059340783878,0.04819578512693601,0.04817533960738174,0.05955516975184694
