,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,1.0,0.8158791860201149,0.9347831147575669,0.9395108116905736,0.952586200345086,0.9235388408984205,0.9891419657579211,0.9882426336568093,0.9835048532695674,0.9792114795681889,0.9172482199984636,0.9125404930816743,0.9058000434029172,0.9110003613015384,0.9049885023160392,0.9267374237418631,0.9262874762722444,0.9266479015741005
Administrative_Duration,0.8158791860201149,1.0,0.8975632319403268,0.907497204804195,0.9337344828042115,0.8692083431064356,0.9775443910167543,0.9670069997120999,0.9966543848152097,0.9850447023335142,0.9483144567640058,0.9529986713333078,0.9500109967687317,0.9395734129968663,0.9513942822060014,0.9707852510695197,0.9735131214963316,0.9762827591988044
Informational,0.9347831147575669,0.8975632319403268,1.0,0.8215807814766025,0.9276517770741631,0.8701540627191335,0.9846114729208949,0.9780950016164522,0.9901604827753602,0.9934978043527967,0.9349775522799237,0.9402930952851756,0.9288377627577851,0.9223918746000345,0.9336853954440957,0.9533894728356446,0.9549298966946314,0.9549298966946314
Informational_Duration,0.9395108116905736,0.907497204804195,0.8215807814766025,1.0,0.9471987603417479,0.899363371282259,0.9943289909330701,0.993170219162505,0.9894296371754189,0.9946326350212991,0.9477802445459387,0.9463419022452977,0.9423648105737218,0.9342647338446076,0.9453501485074917,0.9655649257696205,0.9674888491596745,0.9698085393925285
ProductRelated,0.952586200345086,0.9337344828042115,0.9276517770741631,0.9471987603417479,1.0,0.7386386110081572,0.9918740321469443,0.9991942465692202,0.988143562982641,0.9867624710289759,0.9538115267750142,0.9569715278615476,0.9514833662554878,0.9441256079256181,0.9492793392475406,0.9788959886766871,0.9832668026391076,0.9879914701292419
ProductRelated_Duration,0.9235388408984205,0.8692083431064356,0.8701540627191335,0.899363371282259,0.7386386110081572,1.0,0.9843705845300028,0.9805370972046836,0.9946330732179671,0.9950867951955166,0.9525564639532347,0.9567035455159617,0.9498859870206,0.9455291928430167,0.9562530138886414,0.9738582126585221,0.9769505974911011,0.9818689132592991
BounceRates,0.9891419657579211,0.9775443910167543,0.9846114729208949,0.9943289909330701,0.9918740321469443,0.9843705845300028,1.0,0.8777729537088483,0.9809132242462861,0.988813627907815,0.9243029465206545,0.9296272518914296,0.9275992023910743,0.9174079871298375,0.9179370879680162,0.9269948912488211,0.9605137141243199,0.944723055214878
ExitRates,0.9882426336568093,0.9670069997120999,0.9780950016164522,0.993170219162505,0.9991942465692202,0.9805370972046836,0.8777729537088483,1.0,0.9639885429856613,0.9831241312329552,0.9197129273807274,0.9141239985711502,0.9240225508239106,0.908709148756635,0.8859018796150284,0.9248381810146995,0.9415421704905143,0.9403557461986668
PageValues,0.9835048532695674,0.9966543848152097,0.9901604827753602,0.9894296371754189,0.988143562982641,0.9946330732179671,0.9809132242462861,0.9639885429856613,1.0,0.988099868515154,0.9493928118810667,0.9451705200142652,0.9455573784521165,0.9422754344453845,0.9411948887369429,0.9793422851606711,0.9745025386033316,0.9630831317745865
SpecialDay,0.9792114795681889,0.9850447023335142,0.9934978043527967,0.9946326350212991,0.9867624710289759,0.9950867951955166,0.988813627907815,0.9831241312329552,0.988099868515154,1.0,0.8456655352505584,0.9192041260226775,0.9076312317578503,0.9044325302235893,0.9094819893957853,0.9308564657349157,0.9217049051430121,0.9331904678314576
Month,0.9172482199984636,0.9483144567640058,0.9349775522799237,0.9477802445459387,0.9538115267750142,0.9525564639532347,0.9243029465206545,0.9197129273807274,0.9493928118810667,0.8456655352505584,1.0,0.9259447217408601,0.9146352825994317,0.8858609885759199,0.7929894065921612,0.951804214873064,0.9518246603926183,0.9404448302481531
OperatingSystems,0.9125404930816743,0.9529986713333078,0.9402930952851756,0.9463419022452977,0.9569715278615476,0.9567035455159617,0.9296272518914296,0.9141239985711502,0.9451705200142652,0.9192041260226775,0.9259447217408601,1.0,0.7469249208393294,0.9233960416889985,0.895613939521569,0.9648494786246474,0.9678171457879455,0.963603178168391
Browser,0.9058000434029172,0.9500109967687317,0.9288377627577851,0.9423648105737218,0.9514833662554878,0.9498859870206,0.9275992023910743,0.9240225508239106,0.9455573784521165,0.9076312317578503,0.9146352825994317,0.7469249208393294,1.0,0.9180019294728883,0.8775195086766404,0.9595302846337609,0.9544876893145581,0.9480488110492261
Region,0.9110003613015384,0.9395734129968663,0.9223918746000345,0.9342647338446076,0.9441256079256181,0.9455291928430167,0.9174079871298375,0.908709148756635,0.9422754344453845,0.9044325302235893,0.8858609885759199,0.9233960416889985,0.9180019294728883,1.0,0.8922507975943217,0.9414961680715173,0.9484975902034417,0.9488428274050575
TrafficType,0.9049885023160392,0.9513942822060014,0.9336853954440957,0.9453501485074917,0.9492793392475406,0.9562530138886414,0.9179370879680162,0.8859018796150284,0.9411948887369429,0.9094819893957853,0.7929894065921612,0.895613939521569,0.8775195086766404,0.8922507975943217,1.0,0.9013439424160704,0.9327056169391714,0.9403537016467114
VisitorType,0.9267374237418631,0.9707852510695197,0.9533894728356446,0.9655649257696205,0.9788959886766871,0.9738582126585221,0.9269948912488211,0.9248381810146995,0.9793422851606711,0.9308564657349157,0.951804214873064,0.9648494786246474,0.9595302846337609,0.9414961680715173,0.9013439424160704,1.0,0.9899288291464317,0.9900696111525051
Weekend,0.9262874762722444,0.9735131214963316,0.9549298966946314,0.9674888491596745,0.9832668026391076,0.9769505974911011,0.9605137141243199,0.9415421704905143,0.9745025386033316,0.9217049051430121,0.9518246603926183,0.9678171457879455,0.9544876893145581,0.9484975902034417,0.9327056169391714,0.9899288291464317,1.0,0.9899288291464317
Revenue,0.9266479015741005,0.9762827591988044,0.9549298966946314,0.9698085393925285,0.9879914701292419,0.9818689132592991,0.944723055214878,0.9403557461986668,0.9630831317745865,0.9331904678314576,0.9404448302481531,0.963603178168391,0.9480488110492261,0.9488428274050575,0.9403537016467114,0.9900696111525051,0.9899288291464317,1.0
