,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,0.0,0.05845467683672134,0.0025402837258522437,0.02294176422660199,0.04051304540831069,0.02160985676200089,0.011408526539914643,0.00823016465199422,0.013980900497000404,0.014787645428575913,0.10687574060243599,0.07390617200581939,0.09982919228806686,0.08990172422907972,0.12247757053485187,0.07206724356134075,0.07940908359384324,0.0818864964061159
Administrative_Duration,0.05845467683672134,0.0,0.006296466268326251,0.013067322296326678,0.010687328024393317,0.03451053056537201,0.017762372855515185,0.027095713260195442,0.017945859903995443,0.03051888974395489,0.08137608861438672,0.03920632829721249,0.06798076836014955,0.0575386573660972,0.08553996471103331,0.03840384165470845,0.030899167662898908,0.05245341853468133
Informational,0.0025402837258522437,0.006296466268326251,0.0,0.08302229044525533,0.0012249068914146344,0.013813524500905783,6.781904385344539e-05,0.012460684050652482,0.012183456897194245,0.008226523191932289,0.0727486635201986,0.03848255690499236,0.06733366766625792,0.05193088947064506,0.08165779866595901,0.029471632279736815,0.02972895374726936,0.046134292598166926
Informational_Duration,0.02294176422660199,0.013067322296326678,0.08302229044525533,0.0,0.02372260694399375,0.026508811001491384,0.0017918152486650074,0.0019429063788050094,0.006009699318102468,0.002302065342760451,0.07074354220962908,0.04263854687266799,0.07463636913275651,0.053296650176868354,0.08319486361816186,0.033984542603059276,0.027366327923351585,0.04605294863822618
ProductRelated,0.04051304540831069,0.010687328024393317,0.0012249068914146344,0.02372260694399375,0.0,0.07571538116440757,0.006592261948159206,0.0034728475616558896,0.006034781974900261,0.015451600337502147,0.09723129694984978,0.05488599724335985,0.0750810591830613,0.05070109146945745,0.08644862201579384,0.03448005437339885,0.025330100215174567,0.042622482535875306
ProductRelated_Duration,0.02160985676200089,0.03451053056537201,0.013813524500905783,0.026508811001491384,0.07571538116440757,0.0,0.023982683164634033,0.026813612037456802,0.004621396438777348,0.0016118511886048514,0.06660449281529834,0.04524812536491596,0.07229068388218352,0.04878899727285979,0.07841864421086575,0.03262476951327686,0.026290893594798415,0.04568376097084681
BounceRates,0.011408526539914643,0.017762372855515185,6.781904385344539e-05,0.0017918152486650074,0.006592261948159206,0.023982683164634033,0.0,0.08545151372619175,0.013922766119151997,0.008729880543062452,0.0900420681168771,0.07085029702958723,0.08967769975053541,0.07617810734657171,0.10367470243736876,0.046725752270986076,0.0409951652187831,0.05609914675005323
ExitRates,0.00823016465199422,0.027095713260195442,0.012460684050652482,0.0019429063788050094,0.0034728475616558896,0.026813612037456802,0.08545151372619175,0.0,0.025161788494657,0.0179207032250861,0.10647310990664283,0.07783141968138285,0.0949494309281711,0.09673593121893553,0.12743867585468838,0.06526414296909255,0.05674858407475114,0.07194018926125378
PageValues,0.013980900497000404,0.017945859903995443,0.012183456897194245,0.006009699318102468,0.006034781974900261,0.004621396438777348,0.013922766119151997,0.025161788494657,0.0,0.06163220411816861,0.0736059149472228,0.05111204641249767,0.07329119998551281,0.059698288388726595,0.08451053280147725,0.03704698935343376,0.03648108658005744,0.04144817951633495
SpecialDay,0.014787645428575913,0.03051888974395489,0.008226523191932289,0.002302065342760451,0.015451600337502147,0.0016118511886048514,0.008729880543062452,0.0179207032250861,0.06163220411816861,0.0,0.1580492696130218,0.09169873935847217,0.12734331210991034,0.11258894896301785,0.1351377283216887,0.10056902801707956,0.09414270914233092,0.11480290665189141
Month,0.10687574060243599,0.08137608861438672,0.0727486635201986,0.07074354220962908,0.09723129694984978,0.06660449281529834,0.0900420681168771,0.10647310990664283,0.0736059149472228,0.1580492696130218,0.0,0.08988478365573482,0.10456349838027679,0.1235294925159176,0.2161284188924779,0.07587332306578809,0.07082488616956994,0.09215496652338251
OperatingSystems,0.07390617200581939,0.03920632829721249,0.03848255690499236,0.04263854687266799,0.05488599724335985,0.04524812536491596,0.07085029702958723,0.07783141968138285,0.05111204641249767,0.09169873935847217,0.08988478365573482,0.0,0.1783878883078791,0.07806391444659966,0.09827650111734765,0.04672954929604611,0.045228410042488676,0.05565650125170396
Browser,0.09982919228806686,0.06798076836014955,0.06733366766625792,0.07463636913275651,0.0750810591830613,0.07229068388218352,0.08967769975053541,0.0949494309281711,0.07329119998551281,0.12734331210991034,0.10456349838027679,0.1783878883078791,0.0,0.09583662043739982,0.13135136413966864,0.06381601602695064,0.0615633578903495,0.07757526652925328
Region,0.08990172422907972,0.0575386573660972,0.05193088947064506,0.053296650176868354,0.05070109146945745,0.04878899727285979,0.07617810734657171,0.09673593121893553,0.059698288388726595,0.11258894896301785,0.1235294925159176,0.07806391444659966,0.09583662043739982,0.0,0.13087104046956932,0.06089581167690361,0.05898357144088051,0.06553460798491006
TrafficType,0.12247757053485187,0.08553996471103331,0.08165779866595901,0.08319486361816186,0.08644862201579384,0.07841864421086575,0.10367470243736876,0.12743867585468838,0.08451053280147725,0.1351377283216887,0.2161284188924779,0.09827650111734765,0.13135136413966864,0.13087104046956932,0.0,0.10111872041423786,0.07033988923785828,0.08415375848525575
