,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
Administrative,1.0,0.9415453231632787,0.9974597162741478,0.977058235773398,0.9594869545916893,0.9783901432379991,0.9885914734600854,0.9917698353480058,0.9860190995029996,0.9852123545714241,0.893124259397564,0.9260938279941806,0.9001708077119331,0.9100982757709203,0.8775224294651481,0.9279327564386592,0.9205909164061568,0.9181135035938841
Administrative_Duration,0.9415453231632787,1.0,0.9937035337316737,0.9869326777036733,0.9893126719756067,0.965489469434628,0.9822376271444848,0.9729042867398046,0.9820541400960046,0.9694811102560451,0.9186239113856133,0.9607936717027875,0.9320192316398505,0.9424613426339028,0.9144600352889667,0.9615961583452916,0.9691008323371011,0.9475465814653187
Informational,0.9974597162741478,0.9937035337316737,1.0,0.9169777095547447,0.9987750931085854,0.9861864754990942,0.9999321809561466,0.9875393159493475,0.9878165431028058,0.9917734768080677,0.9272513364798014,0.9615174430950076,0.9326663323337421,0.9480691105293549,0.918342201334041,0.9705283677202632,0.9702710462527306,0.9538657074018331
Informational_Duration,0.977058235773398,0.9869326777036733,0.9169777095547447,1.0,0.9762773930560062,0.9734911889985086,0.998208184751335,0.998057093621195,0.9939903006818975,0.9976979346572395,0.9292564577903709,0.957361453127332,0.9253636308672435,0.9467033498231316,0.9168051363818381,0.9660154573969407,0.9726336720766484,0.9539470513617738
ProductRelated,0.9594869545916893,0.9893126719756067,0.9987750931085854,0.9762773930560062,1.0,0.9242846188355924,0.9934077380518408,0.9965271524383441,0.9939652180250997,0.9845483996624979,0.9027687030501502,0.9451140027566401,0.9249189408169387,0.9492989085305426,0.9135513779842062,0.9655199456266012,0.9746698997848254,0.9573775174641247
ProductRelated_Duration,0.9783901432379991,0.965489469434628,0.9861864754990942,0.9734911889985086,0.9242846188355924,1.0,0.976017316835366,0.9731863879625432,0.9953786035612227,0.9983881488113951,0.9333955071847017,0.954751874635084,0.9277093161178165,0.9512110027271402,0.9215813557891342,0.9673752304867231,0.9737091064052016,0.9543162390291532
BounceRates,0.9885914734600854,0.9822376271444848,0.9999321809561466,0.998208184751335,0.9934077380518408,0.976017316835366,1.0,0.9145484862738082,0.986077233880848,0.9912701194569375,0.9099579318831229,0.9291497029704128,0.9103223002494646,0.9238218926534283,0.8963252975626312,0.9532742477290139,0.9590048347812169,0.9439008532499468
ExitRates,0.9917698353480058,0.9729042867398046,0.9875393159493475,0.998057093621195,0.9965271524383441,0.9731863879625432,0.9145484862738082,1.0,0.974838211505343,0.9820792967749139,0.8935268900933572,0.9221685803186171,0.9050505690718289,0.9032640687810645,0.8725613241453116,0.9347358570309074,0.9432514159252489,0.9280598107387462
PageValues,0.9860190995029996,0.9820541400960046,0.9878165431028058,0.9939903006818975,0.9939652180250997,0.9953786035612227,0.986077233880848,0.974838211505343,1.0,0.9383677958818314,0.9263940850527772,0.9488879535875023,0.9267088000144872,0.9403017116112734,0.9154894671985228,0.9629530106465662,0.9635189134199426,0.958551820483665
SpecialDay,0.9852123545714241,0.9694811102560451,0.9917734768080677,0.9976979346572395,0.9845483996624979,0.9983881488113951,0.9912701194569375,0.9820792967749139,0.9383677958818314,1.0,0.8419507303869782,0.9083012606415278,0.8726566878900897,0.8874110510369821,0.8648622716783113,0.8994309719829204,0.9058572908576691,0.8851970933481086
Month,0.893124259397564,0.9186239113856133,0.9272513364798014,0.9292564577903709,0.9027687030501502,0.9333955071847017,0.9099579318831229,0.8935268900933572,0.9263940850527772,0.8419507303869782,1.0,0.9101152163442652,0.8954365016197232,0.8764705074840824,0.7838715811075221,0.9241266769342119,0.92917511383043,0.9078450334766175
OperatingSystems,0.9260938279941806,0.9607936717027875,0.9615174430950076,0.957361453127332,0.9451140027566401,0.954751874635084,0.9291497029704128,0.9221685803186171,0.9488879535875023,0.9083012606415278,0.9101152163442652,1.0,0.8216121116921209,0.9219360855534003,0.9017234988826524,0.9532704507039539,0.9547715899575113,0.944343498748296
Browser,0.9001708077119331,0.9320192316398505,0.9326663323337421,0.9253636308672435,0.9249189408169387,0.9277093161178165,0.9103223002494646,0.9050505690718289,0.9267088000144872,0.8726566878900897,0.8954365016197232,0.8216121116921209,1.0,0.9041633795626002,0.8686486358603314,0.9361839839730494,0.9384366421096505,0.9224247334707467
Region,0.9100982757709203,0.9424613426339028,0.9480691105293549,0.9467033498231316,0.9492989085305426,0.9512110027271402,0.9238218926534283,0.9032640687810645,0.9403017116112734,0.8874110510369821,0.8764705074840824,0.9219360855534003,0.9041633795626002,1.0,0.8691289595304307,0.9391041883230964,0.9410164285591195,0.9344653920150899
TrafficType,0.8775224294651481,0.9144600352889667,0.918342201334041,0.9168051363818381,0.9135513779842062,0.9215813557891342,0.8963252975626312,0.8725613241453116,0.9154894671985228,0.8648622716783113,0.7838715811075221,0.9017234988826524,0.8686486358603314,0.8691289595304307,1.0,0.8988812795857621,0.9296601107621417,0.9158462415147443
VisitorType,0.9279327564386592,0.9615961583452916,0.9705283677202632,0.9660154573969407,0.9655199456266012,0.9673752304867231,0.9532742477290139,0.9347358570309074,0.9629530106465662,0.8994309719829204,0.9241266769342119,0.9532704507039539,0.9361839839730494,0.9391041883230964,0.8988812795857621,1.0,0.9687837807445849,0.9527178375182878
Weekend,0.9205909164061568,0.9691008323371011,0.9702710462527306,0.9726336720766484,0.9746698997848254,0.9737091064052016,0.9590048347812169,0.9432514159252489,0.9635189134199426,0.9058572908576691,0.92917511383043,0.9547715899575113,0.9384366421096505,0.9410164285591195,0.9296601107621417,0.9687837807445849,1.0,0.9538290515060608
Revenue,0.9181135035938841,0.9475465814653187,0.9538657074018331,0.9539470513617738,0.9573775174641247,0.9543162390291532,0.9439008532499468,0.9280598107387462,0.958551820483665,0.8851970933481086,0.9078450334766175,0.944343498748296,0.9224247334707467,0.9344653920150899,0.9158462415147443,0.9527178375182878,0.9538290515060608,1.0
