,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.07886049831096731,0.02263385314913635,0.07864198157073132,0.005785987829006745,0.15115183476087468,0.1051177596845645,0.13871168496294517,0.06641477299009357,0.06359986573778609,0.01332739346387457,0.003747654706371617,0.03389127669871417,0.07372289912013197,0.05646940941805112
workclass,0.07886049831096731,0.0,0.04641285603627798,0.04400538823365929,0.2887296439562339,0.03901509526437341,0.13385813565482718,0.04307323473530267,0.028424627089371546,0.03036236274245141,0.017854423940930286,0.017363321468333748,0.17837541197097673,0.0287272067208727,0.03010444387964928
fnlwgt,0.02263385314913635,0.04641285603627798,0.0,0.053692716000266816,0.014019458704611631,0.04378177128569616,0.08109656970968071,0.06026188540601285,0.05172614832968847,0.03916143199377353,0.007062587166581369,0.0004012195755014325,0.011173537890313279,0.05224559241519433,0.03916143199377364
education,0.07864198157073132,0.04400538823365929,0.053692716000266816,0.0,0.31059603011751125,0.042289786997746215,0.11635938330068707,0.0666571422550769,0.03551616414644354,0.031165792580843954,0.0290628924344839,0.030229217896499128,0.16706756487360486,0.05642553329669475,0.03474714184849381
education.num,0.005785987829006745,0.2887296439562339,0.014019458704611631,0.31059603011751125,0.0,0.2883307714974832,0.30767653088336855,0.2930591695544519,0.28740904475516027,0.2847994057744959,0.006740852305764822,0.0027614429552101916,0.006673423741309192,0.3020273227634245,0.2888527656868527
marital.status,0.15115183476087468,0.03901509526437341,0.04378177128569616,0.042289786997746215,0.2883307714974832,0.0,0.07983861780869861,0.10510527322925634,0.025659028132330897,0.041688713182205905,0.018998583115516388,0.022510457142256524,0.1627990644679913,0.03677555708244917,0.03461658860217798
occupation,0.1051177596845645,0.13385813565482718,0.08109656970968071,0.11635938330068707,0.30767653088336855,0.07983861780869861,0.0,0.09795693223138968,0.07158152861992506,0.12821099855118634,0.06580092979352059,0.065777805330971,0.21788732857992466,0.08285501721731292,0.08931154068893288
relationship,0.13871168496294517,0.04307323473530267,0.06026188540601285,0.0666571422550769,0.2930591695544519,0.10510527322925634,0.09795693223138968,0.0,0.0435333624995804,0.09244998671041282,0.03360149637076837,0.035475717084868186,0.17493310749372093,0.042560226266943446,0.04351310879004877
race,0.06641477299009357,0.028424627089371546,0.05172614832968847,0.03551616414644354,0.28740904475516027,0.025659028132330897,0.07158152861992506,0.0435333624995804,0.0,0.01929458755317992,0.014097849341236812,0.013945514586477192,0.15774399282482254,0.06423902890053079,0.014632367709344507
sex,0.06359986573778609,0.03036236274245141,0.03916143199377353,0.031165792580843954,0.2847994057744959,0.041688713182205905,0.12821099855118634,0.09244998671041282,0.01929458755317992,0.0,0.010135342537533343,0.011088451401218391,0.1598617522302337,0.018237041373722507,0.010426186409981941
capital.gain,0.01332739346387457,0.017854423940930286,0.007062587166581369,0.0290628924344839,0.006740852305764822,0.018998583115516388,0.06580092979352059,0.03360149637076837,0.014097849341236812,0.010135342537533343,0.0,0.036099641720261366,0.01871546026100468,0.019964404775089095,0.03207727363959667
capital.loss,0.003747654706371617,0.017363321468333748,0.0004012195755014325,0.030229217896499128,0.0027614429552101916,0.022510457142256524,0.065777805330971,0.035475717084868186,0.013945514586477192,0.011088451401218391,0.036099641720261366,0.0,0.0046138550122734046,0.019474275566984778,0.026764151101621114
hours.per.week,0.03389127669871417,0.17837541197097673,0.011173537890313279,0.16706756487360486,0.006673423741309192,0.1627990644679913,0.21788732857992466,0.17493310749372093,0.15774399282482254,0.1598617522302337,0.01871546026100468,0.0046138550122734046,0.0,0.16673753767448374,0.15912635659772723
native.country,0.07372289912013197,0.0287272067208727,0.05224559241519433,0.05642553329669475,0.3020273227634245,0.03677555708244917,0.08285501721731292,0.042560226266943446,0.06423902890053079,0.018237041373722507,0.019964404775089095,0.019474275566984778,0.16673753767448374,0.0,0.025656251687887655
income,0.05646940941805112,0.03010444387964928,0.03916143199377364,0.03474714184849381,0.2888527656868527,0.03461658860217798,0.08931154068893288,0.04351310879004877,0.014632367709344507,0.010426186409981941,0.03207727363959667,0.026764151101621114,0.15912635659772723,0.025656251687887655,0.0
