,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,0.0,0.0986405222775677,0.021154704890659737,0.13844214728372328,0.0031543419061589306,0.13807068089681962,0.09636244961196583,0.1000173444786151,0.09092282532404938,0.08291216444131999,0.010641063941990825,0.00931393797830582,0.04282087230452136,0.1027738898124716,0.08939896851014806
workclass,0.0986405222775677,0.0,0.05700341851985469,0.10893380149920606,0.05990036668758281,0.05136720612152279,0.10510932849797427,0.046267684960862754,0.05072465539477,0.0420578897569126,0.0498244611862535,0.0506283889739213,0.11708375991930997,0.06564602230083927,0.041074851123917955
fnlwgt,0.021154704890659737,0.05700341851985469,0.0,0.11547254695871034,0.0026182626019660704,0.0632237518243145,0.06258071446531555,0.0579749439620334,0.059977492240082975,0.05389566050862604,0.0041554003206157875,0.005673388585615391,0.005518347194483297,0.07456429759075323,0.053926371152935415
education,0.13844214728372328,0.10893380149920606,0.11547254695871034,0.0,0.2624837976925347,0.11563404096225804,0.12287982157964428,0.11166692812775958,0.10546558479792856,0.10076367613345949,0.1030375350919377,0.10552532362157208,0.14746055564605398,0.11704029875568289,0.10048857802066535
education.num,0.0031543419061589306,0.05990036668758281,0.0026182626019660704,0.2624837976925347,0.0,0.05162401591548493,0.07283804325822663,0.04603392041024745,0.04451117643752922,0.026324974930328815,0.015679294705654767,0.019503027988136856,0.006245366160516075,0.05719044374078175,0.03161516916759055
marital.status,0.13807068089681962,0.05136720612152279,0.0632237518243145,0.11563404096225804,0.05162401591548493,0.0,0.0541066250181893,0.08431229594972356,0.04525130258814947,0.035876136204246345,0.040517185659202704,0.04487864791320284,0.10603327337797719,0.05194293356449042,0.03403392759278856
occupation,0.09636244961196583,0.10510932849797427,0.06258071446531555,0.12287982157964428,0.07283804325822663,0.0541066250181893,0.0,0.04957091069663777,0.04848456645076871,0.06819119193974643,0.03195993868312985,0.03656699555537268,0.1204626173597596,0.058005530119023985,0.04249588141250493
relationship,0.1000173444786151,0.046267684960862754,0.0579749439620334,0.11166692812775958,0.04603392041024745,0.08431229594972356,0.04957091069663777,0.0,0.03853767507981398,0.0423863552060344,0.03414930847558484,0.03971057573566672,0.10406520431488742,0.04652572453864079,0.03148017210122844
race,0.09092282532404938,0.05072465539477,0.059977492240082975,0.10546558479792856,0.04451117643752922,0.04525130258814947,0.04848456645076871,0.03853767507981398,0.0,0.02595785051021049,0.043739521044170004,0.044170662124886406,0.11524711174142432,0.05915577785520132,0.02870435386701864
sex,0.08291216444131999,0.0420578897569126,0.05389566050862604,0.10076367613345949,0.026324974930328815,0.035876136204246345,0.06819119193974643,0.0423863552060344,0.02595785051021049,0.0,0.019992848241259353,0.022696022466445198,0.09905659284802548,0.02810354788783087,0.007784105279574294
capital.gain,0.010641063941990825,0.0498244611862535,0.0041554003206157875,0.1030375350919377,0.015679294705654767,0.040517185659202704,0.03195993868312985,0.03414930847558484,0.043739521044170004,0.019992848241259353,0.0,0.024523256537521854,0.02408618192405254,0.04585392683666001,0.02103693847325927
capital.loss,0.00931393797830582,0.0506283889739213,0.005673388585615391,0.10552532362157208,0.019503027988136856,0.04487864791320284,0.03656699555537268,0.03971057573566672,0.044170662124886406,0.022696022466445198,0.024523256537521854,0.0,0.012771978288871222,0.04855759146643501,0.024170152255007404
hours.per.week,0.04282087230452136,0.11708375991930997,0.005518347194483297,0.14746055564605398,0.006245366160516075,0.10603327337797719,0.1204626173597596,0.10406520431488742,0.11524711174142432,0.09905659284802548,0.02408618192405254,0.012771978288871222,0.0,0.1178540572691914,0.10276923474121769
native.country,0.1027738898124716,0.06564602230083927,0.07456429759075323,0.11704029875568289,0.05719044374078175,0.05194293356449042,0.058005530119023985,0.04652572453864079,0.05915577785520132,0.02810354788783087,0.04585392683666001,0.04855759146643501,0.1178540572691914,0.0,0.03075752321569669
income,0.08939896851014806,0.041074851123917955,0.053926371152935415,0.10048857802066535,0.03161516916759055,0.03403392759278856,0.04249588141250493,0.03148017210122844,0.02870435386701864,0.007784105279574294,0.02103693847325927,0.024170152255007404,0.10276923474121769,0.03075752321569669,0.0
