,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
age,1.0,0.9013594777224323,0.9788452951093403,0.8615578527162767,0.9968456580938411,0.8619293191031804,0.9036375503880342,0.8999826555213849,0.9090771746759506,0.91708783555868,0.9893589360580092,0.9906860620216942,0.9571791276954786,0.8972261101875284,0.9106010314898519
workclass,0.9013594777224323,1.0,0.9429965814801453,0.8910661985007939,0.9400996333124172,0.9486327938784772,0.8948906715020257,0.9537323150391372,0.94927534460523,0.9579421102430874,0.9501755388137465,0.9493716110260787,0.88291624008069,0.9343539776991607,0.958925148876082
fnlwgt,0.9788452951093403,0.9429965814801453,1.0,0.8845274530412897,0.9973817373980339,0.9367762481756855,0.9374192855346845,0.9420250560379666,0.940022507759917,0.946104339491374,0.9958445996793842,0.9943266114143846,0.9944816528055167,0.9254357024092468,0.9460736288470646
education,0.8615578527162767,0.8910661985007939,0.8845274530412897,1.0,0.7375162023074653,0.884365959037742,0.8771201784203557,0.8883330718722404,0.8945344152020714,0.8992363238665405,0.8969624649080623,0.8944746763784279,0.852539444353946,0.8829597012443171,0.8995114219793346
education.num,0.9968456580938411,0.9400996333124172,0.9973817373980339,0.7375162023074653,1.0,0.9483759840845151,0.9271619567417734,0.9539660795897525,0.9554888235624708,0.9736750250696712,0.9843207052943452,0.9804969720118631,0.9937546338394839,0.9428095562592183,0.9683848308324094
marital.status,0.8619293191031804,0.9486327938784772,0.9367762481756855,0.884365959037742,0.9483759840845151,1.0,0.9458933749818107,0.9156877040502764,0.9547486974118505,0.9641238637957537,0.9594828143407973,0.9551213520867972,0.8939667266220228,0.9480570664355096,0.9659660724072114
occupation,0.9036375503880342,0.8948906715020257,0.9374192855346845,0.8771201784203557,0.9271619567417734,0.9458933749818107,1.0,0.9504290893033622,0.9515154335492313,0.9318088080602536,0.9680400613168701,0.9634330044446273,0.8795373826402404,0.941994469880976,0.9575041185874951
relationship,0.8999826555213849,0.9537323150391372,0.9420250560379666,0.8883330718722404,0.9539660795897525,0.9156877040502764,0.9504290893033622,1.0,0.961462324920186,0.9576136447939656,0.9658506915244152,0.9602894242643333,0.8959347956851126,0.9534742754613592,0.9685198278987716
race,0.9090771746759506,0.94927534460523,0.940022507759917,0.8945344152020714,0.9554888235624708,0.9547486974118505,0.9515154335492313,0.961462324920186,1.0,0.9740421494897895,0.95626047895583,0.9558293378751136,0.8847528882585757,0.9408442221447987,0.9712956461329814
sex,0.91708783555868,0.9579421102430874,0.946104339491374,0.8992363238665405,0.9736750250696712,0.9641238637957537,0.9318088080602536,0.9576136447939656,0.9740421494897895,1.0,0.9800071517587406,0.9773039775335548,0.9009434071519745,0.9718964521121691,0.9922158947204257
capital.gain,0.9893589360580092,0.9501755388137465,0.9958445996793842,0.8969624649080623,0.9843207052943452,0.9594828143407973,0.9680400613168701,0.9658506915244152,0.95626047895583,0.9800071517587406,1.0,0.9754767434624781,0.9759138180759475,0.95414607316334,0.9789630615267407
capital.loss,0.9906860620216942,0.9493716110260787,0.9943266114143846,0.8944746763784279,0.9804969720118631,0.9551213520867972,0.9634330044446273,0.9602894242643333,0.9558293378751136,0.9773039775335548,0.9754767434624781,1.0,0.9872280217111288,0.951442408533565,0.9758298477449926
hours.per.week,0.9571791276954786,0.88291624008069,0.9944816528055167,0.852539444353946,0.9937546338394839,0.8939667266220228,0.8795373826402404,0.8959347956851126,0.8847528882585757,0.9009434071519745,0.9759138180759475,0.9872280217111288,1.0,0.8821459427308086,0.8972307652587823
native.country,0.8972261101875284,0.9343539776991607,0.9254357024092468,0.8829597012443171,0.9428095562592183,0.9480570664355096,0.941994469880976,0.9534742754613592,0.9408442221447987,0.9718964521121691,0.95414607316334,0.951442408533565,0.8821459427308086,1.0,0.9692424767843033
income,0.9106010314898519,0.958925148876082,0.9460736288470646,0.8995114219793346,0.9683848308324094,0.9659660724072114,0.9575041185874951,0.9685198278987716,0.9712956461329814,0.9922158947204257,0.9789630615267407,0.9758298477449926,0.8972307652587823,0.9692424767843033,1.0
