,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,0.0,0.28674287798190656,0.438423823812374,0.301482575992126,0.2586407655690488,0.2585243813266572,0.2407578330321719,0.2844914385088537,0.20231983798905762,0.2075179901563775,0.16491642687711827,0.16395922222302772
month,0.28674287798190656,0.0,0.5088825766062168,0.3801508961516591,0.18753946601125926,0.15862231353858847,0.17279636629411954,0.29501662549221075,0.1761853136285234,0.1189326559749192,0.06055818035536675,0.06888719604777205
day,0.438423823812374,0.5088825766062168,0.0,0.45890569865791964,0.42222997890674163,0.4734527606807323,0.4197128750415323,0.45288629544905,0.39414934056509887,0.36879610037491783,0.32242101851258587,0.3234324912214621
hour,0.301482575992126,0.3801508961516591,0.45890569865791964,0.0,0.2969339969609125,0.30795011905146086,0.3044764411856913,0.34760584872925293,0.34870632639897714,0.23274957154736908,0.19087412618016453,0.19489228737105346
pm2.5,0.2586407655690488,0.18753946601125926,0.42222997890674163,0.2969339969609125,0.0,0.00499222870231586,0.011115840656612308,0.015902242537462086,0.19331800416325606,0.13760248127218178,0.08650220650357099,0.0022879679666559793
DEWP,0.2585243813266572,0.15862231353858847,0.4734527606807323,0.30795011905146086,0.00499222870231586,0.0,0.028611609753058653,0.0633634600288604,0.16208003395897264,0.08316521091098583,0.037258145354503225,0.07106065929430383
TEMP,0.2407578330321719,0.17279636629411954,0.4197128750415323,0.3044764411856913,0.011115840656612308,0.028611609753058653,0.0,0.05415189292194089,0.18223845361614,0.04840103346463387,0.03943546746699067,0.0746012784437744
PRES,0.2844914385088537,0.29501662549221075,0.45288629544905,0.34760584872925293,0.015902242537462086,0.0633634600288604,0.05415189292194089,0.0,0.22405831865959702,0.06612202499337128,0.03747941172172253,0.05283227933802481
cbwd,0.20231983798905762,0.1761853136285234,0.39414934056509887,0.34870632639897714,0.19331800416325606,0.16208003395897264,0.18223845361614,0.22405831865959702,0.0,0.1714786953707368,0.10239427676442936,0.10811594143442993
Iws,0.2075179901563775,0.1189326559749192,0.36879610037491783,0.23274957154736908,0.13760248127218178,0.08316521091098583,0.04840103346463387,0.06612202499337128,0.1714786953707368,0.0,0.026795550224324005,0.04259705913931566
Is,0.16491642687711827,0.06055818035536675,0.32242101851258587,0.19087412618016453,0.08650220650357099,0.037258145354503225,0.03943546746699067,0.03747941172172253,0.10239427676442936,0.026795550224324005,0.0,0.021698029597523982
Ir,0.16395922222302772,0.06888719604777205,0.3234324912214621,0.19489228737105346,0.0022879679666559793,0.07106065929430383,0.0746012784437744,0.05283227933802481,0.10811594143442993,0.04259705913931566,0.021698029597523982,0.0
