,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
year,1.0,0.7132571220180934,0.561576176187626,0.698517424007874,0.7413592344309512,0.7414756186733428,0.7592421669678281,0.7155085614911463,0.7976801620109424,0.7924820098436225,0.8350835731228817,0.8360407777769723
month,0.7132571220180934,1.0,0.49111742339378317,0.6198491038483409,0.8124605339887407,0.8413776864614115,0.8272036337058805,0.7049833745077893,0.8238146863714766,0.8810673440250808,0.9394418196446332,0.931112803952228
day,0.561576176187626,0.49111742339378317,1.0,0.5410943013420804,0.5777700210932584,0.5265472393192677,0.5802871249584677,0.54711370455095,0.6058506594349011,0.6312038996250822,0.6775789814874141,0.6765675087785379
hour,0.698517424007874,0.6198491038483409,0.5410943013420804,1.0,0.7030660030390875,0.6920498809485391,0.6955235588143087,0.6523941512707471,0.6512936736010229,0.7672504284526309,0.8091258738198355,0.8051077126289465
pm2.5,0.7413592344309512,0.8124605339887407,0.5777700210932584,0.7030660030390875,1.0,0.9950077712976841,0.9888841593433877,0.9840977574625379,0.8066819958367439,0.8623975187278182,0.913497793496429,0.997712032033344
DEWP,0.7414756186733428,0.8413776864614115,0.5265472393192677,0.6920498809485391,0.9950077712976841,1.0,0.9713883902469413,0.9366365399711396,0.8379199660410274,0.9168347890890142,0.9627418546454968,0.9289393407056962
TEMP,0.7592421669678281,0.8272036337058805,0.5802871249584677,0.6955235588143087,0.9888841593433877,0.9713883902469413,1.0,0.9458481070780591,0.81776154638386,0.9515989665353661,0.9605645325330093,0.9253987215562256
PRES,0.7155085614911463,0.7049833745077893,0.54711370455095,0.6523941512707471,0.9840977574625379,0.9366365399711396,0.9458481070780591,1.0,0.775941681340403,0.9338779750066287,0.9625205882782775,0.9471677206619752
cbwd,0.7976801620109424,0.8238146863714766,0.6058506594349011,0.6512936736010229,0.8066819958367439,0.8379199660410274,0.81776154638386,0.775941681340403,1.0,0.8285213046292632,0.8976057232355706,0.8918840585655701
Iws,0.7924820098436225,0.8810673440250808,0.6312038996250822,0.7672504284526309,0.8623975187278182,0.9168347890890142,0.9515989665353661,0.9338779750066287,0.8285213046292632,1.0,0.973204449775676,0.9574029408606843
Is,0.8350835731228817,0.9394418196446332,0.6775789814874141,0.8091258738198355,0.913497793496429,0.9627418546454968,0.9605645325330093,0.9625205882782775,0.8976057232355706,0.973204449775676,1.0,0.978301970402476
Ir,0.8360407777769723,0.931112803952228,0.6765675087785379,0.8051077126289465,0.997712032033344,0.9289393407056962,0.9253987215562256,0.9471677206619752,0.8918840585655701,0.9574029408606843,0.978301970402476,1.0
